ID	Unlock	TXT
10000及以上不参与随机 必须连续	该内容在几级解锁	[Content]
1	1	Para maximizar a estabilidade, é melhor fazer planos para seus campos e plantações o mais rápido possível.
2	4	Eu não sei de onde eles vieram, aqueles que emboscaram a Seita Taiyi. Parece que o mundo do cultivo está se tornando um tanto instável...
3	3	[color=#D06508]Carnes secas[/color] e [color=#D06508]Pão[/color] tendem a se sair melhor no armazenamento do que alimentos frescos.
4	3	Você pode tomar [color=#D06508]Pílula de Formação[/color] se quiser progredir rapidamente em seu Treinamento Básico.
5	4	O cultivo exige que você esteja atento às distrações, mesmo como discípulo interior. Você não deve se preocupar com assuntos triviais, pois isso pode impedir sua prática.
6	4	Você gasta [color=#D06508]Stamina[/color] ao cultivar e aumenta seu [color=#D06508]Max Qi[/color]. Isso é o que é conhecido como Refinamento Qi.
7	1	Se estiver com pouca comida, você pode [color=#D06508]coletar[/color] recursos de plantas próximas ou [color=#D06508]caçar[/color] animais na área. Eu também darei uma mão quando chegar a hora.
8	1	Os discípulos externos certamente têm seu trabalho cortado para eles. Você pode construir algumas estruturas de [color=#D06508]lazer[/color] para desabafar quando necessário.
9	1	[color=#D06508]Exploração[/color] consome muita [color=#D06508]energia[/color]. Quando você acabou de começar, é uma boa ideia explorar com moderação.
10	3	O [color=#D06508]Livro de Taiyi (F1) [/color] está repleto de informações importantes. Se você ficar preso, não hesite em folhear.
11	1	Você deve cavar um [color=#D06508]poço[/color] o mais rápido possível para garantir uma fonte de água limpa.
12	1	Tenha cuidado para não emitir muitos comandos de uma só vez, ou seus discípulos terão dificuldade para fazer todos eles.
13	4	Então, esta é a última remanescente das Cinco Grandes Leis da Seita Taiyi...
14	4	Quase lá...
15	4	Conheci muitos em meus anos, alguns com técnicas que são verdadeiramente...
16	4	O olhar em seus olhos não é particularmente amigável.
17	4	As coisas estão desequilibradas dentro do mundo do cultivo. Eu testemunhei muitas traições e traições. Cuidado, meus amigos.
18	4	Só poderei sair quando tiver certeza de que você está no caminho certo.
10000	-1	Parece seguro aqui, por enquanto. Você pode [color=#D06508]cortar[/color] um pouco de madeira para acender uma [color=#D06508]fogueira[/color].
10001	-1	Hm... Por que você não constrói uma [color=#D06508]Estação de Trabalho[/color] e processa [color=#D06508]madeira[/color] em [color=#D06508]Madeira[/color] para mais tarde usar.
10002	-1	O início da primavera traz consigo um ar frio. Você pode construir [color=#D06508]paredes[/color] para criar uma [color=#D06508]sala[/color]. Então você pode sossegar e abrigar-se do vento e da chuva.
10003	-1	O Líder da Seita e eu voltamos há muito tempo. Fiquei sabendo dos problemas de Taiyi e vim assim que pude, mas era tarde demais. Felizmente, os deuses são gentis e não permitiram que este fosse o fim da Seita Taiyi. Finalmente, encontrei vocês!\nNão se preocupem, ficarei isolado por um tempo e protegerei todos vocês. Se você encontrar alguma dificuldade no caminho para o cultivo, não seja tímido. Pergunta à vontade.
10004	-1	É hora de eu partir. Que a sorte favoreça a seita Taiyi... Espero que seu cultivo progrida suavemente.
10005	-1	Sinto uma sensação de alívio, vendo que você está no caminho certo. Vou continuar fornecendo minha proteção por algum tempo. Se você tiver alguma dúvida, é só me avisar.
10006	-1	*Suspirar*...
