ID	IsHide	Desc	Sex	LastName	FristName	Age	BodyType	Hair	Beard	BodyColor	BackStory1	BackStory2	BackStory3	Feature1	Feature2	Experience1	Experience2	Experience3	Feature3	Relation1	ClothesStuff	Experience4

-1	2	Reincarnator who had lost their identity. No one knows who they are or where are they from. (Empty)	1																			
1	1		1	Zi	Feiyu	45	1	10	5	3	200045	200046	200027	LunHui_1	LunHui_2	Experiences6	Experiences11	Experiences13				
2	0		1	Zhou	Young Lord	22	1	9		3	200043	200044	200028	LunHui_4								
3	0	This Reincarnator is in commemoration of the spring of 2017.	1	Xu	Wugui	27	1	8		3	200023	200035		LunHui_5								
4	0	This Reincarnator is in commemoration of the spring of 2017.	1	Yang	Big	32	2	3		3	200023	200034		LunHui_2	HighMan							
5	0		1	Dou	Dou	27	1	2		3	23	200026										
6	0		1	Lu	Lu	26	1	7		3	200025	610										
7	0	This Reincarnator is in commemoration of the spring of 2017.	1	Black	Huang	45	2	8	2	2	200023	200024		LunHui_2								
8	0		2	Tempest	Tempest	18	1	5		1	200036	200037		Enthusiasm	Sensitive				Strong			
9	0		2	Yisi	Bugou	18	2	2		1	200038	200039	200030									
10	0		2	Ye	Qingxin	18	1	1		3	200040	200041										
11	0		1	Zhang	Sihai	34	2	8	2	1	200049	200050	200031									
12	0		1	Xianyu	Qi	23	1	1		1	200047	200048	200029									
13	2		1	Feng	Zhihai								200032									
14	0		1	Night	Mao	29	1	8		1	200051	200052	200033	LunHui_14								
15	0		1	Bu	Huagu	23	1				200053	200054										
16	0		1	Shangshui	Chigua	99	1	9	3	1	200055	200056										
17	0		2	Jin	Yu	18	1	5		1	200061	200062										
18	0		1	Sword	XXIII	27	1	10		0	200063	200064				Experiences11						
19	0		1	Xian	Hao	27	1	3		3	200065	200066	200067			LunHui_Experiences3						
20	0		1	Xue	Yi	27	1	4		3	200068	200069	200070									
1000	0	Indie game developer and the producer of indie game documentary Indie Games in China.	1	Pinming	Wansanlang	40	1				200003	200004										
