ID	Content	WholeContent	TipDesc	Desc
	Message	After merging with ID,	tips will display descriptions or further clarification	
1	Insufficient food reserves.	Insufficient food reserves.		
2	Insufficient medicine reserves.	Insufficient medicine reserves.		
3	Insufficient stamina reserves.	Insufficient stamina reserves.		
4	Summer is coming.	Summer is coming.	Please prepare for the hot weather.	
5	Winter is coming.	Winter is coming.	Please prepare for the cold weather.	
6	Your enemy showed up.	Your enemy showed up.		
7	{0}{1} is under attack.	The sect is under attack.		
8	There is a fire.	There is a fire.		
9	Passerby is in need of help.	Passerby is in need of help.		
10	{0} is trying to take item {1}.	The enemy is trying to take an item.		
11	Enemy {0} took item {1}.	The enemy took the item.		
12	Magic beast {0} shows up.	Magic beast shows up.		
13	Falling treasure.	Falling treasure.		
14	Immortal {0}_arrives/leaves.	An immortal has arrived.		
15	{0} fell in love with {1}.	New feelings of love.		
16	{0} stopped loving {1}.	Feelings of love faded away.		
17	{0} declared feelings to {1} _and they became lovers/but failed.	Someone declared their feelings.		
18	{0} persuaded {1} _and succeeded/and failed.	Someone attempted persuasion.		
19	Abandoned	Abandoned		
20	{0} is in a bad mood.	Someone is in a bad mood.		
21	{0}'s mood is deteriorating due to {1}.	Someone's mood soured.		
22	{0} is mentally unstable.	Someone is mentally unstable.		
23	{0}:  _fell to the ground/lost consciousness/is dying.	Someone is incapacitated.		
24	Abandoned	Abandoned		
25	{0}: died.	Someone died.		
26	{0}: slacked in work.	Someone slacked in their work.		
27	{0}: stopped slacking.	Someone stopped slacking in their work.		
28	{0} needs a weapon for hunting.	Someone needs a weapon for hunting.		
29	{0} needs a tool for chopping.	Someone needs a tool for chopping.		
30	{0} needs a mining tool.	Someone needs a mining tool.		
31	{0} needs a farm tool.	Someone needs a farm tool.		
32	{0}'s skill for {1} leveled up.	Skill leveled up.		
33	{0}: fell to the demon side.	Someone fell to the demon side.		
34	{0} succeeded in laying foundation.	Someone succeeded in laying their foundation.		
35	{0} reached a limit.	Someone reached a limit.		
36	{0}'s limit is almost over.	Someone's limit is almost over.		
37	{0}'s limit is over.	Someone's limit is over.		
38	{0} crafted artifact {1} _and succeeded/but failed.	Someone crafted an artifact.		
39	Performed alchemy _and succeeded/but failed.	Someone performed alchemy.		
40	{0} acknowledged {1} as master.	Someone has a new master.		
41	{0} has complaints about the sect.	Someone has complaints about the sect.		
42	{0} came back from adventure.	Someone came back from adventure.		
43	{0} perform a breakthrough _and succeeded/but failed.	Someone is performing a breakthrough.		
44	Universal Foresight: {0}.	Universal Foresight.		
45	{0} needs a branch leader.	Branch needs a new leader.		
46	{0} is hungry.	Someone is hungry.	More food is needed.	
47	{0} is thirsty.	Someone is thirsty.	More water sources are needed.	
48	{0} is bored.	Someone is bored.	More entertainment facilities are needed.	
49	{0} is tired.	Someone is tired.	More rest and sleep is needed.	
50	{0}: hurt.	Someone is hurt.		
51	{0}: injury deteriorating.	Someone's injury is deteriorating.		
52	{0}: crippled.	Someone is crippled.		
53	Saving completed.			
54	{0}: unsuitable growing conditions.	Spiritual plants' growing conditions became unsuitable.		
55	{0} is in danger.	A strange feeling of danger is present.		
56	A {1} sensed Qi and broke through to become a beast.			
57	Beast {0} has appeared.	A beast is showing up.		
58	Beast {0} sensed Qi and broke through.	Beast broke through.		
59	Ancient beast {0} is attacking!	An ancient beast is attacking!		
60	{0} activated the artifact {1}.			
61	{0} went through the Tribulation _and succeeded/but failed.	Survive Tribulation		
62	Relic appears!	Relic Appears		
63	{0} is claimed by {1}.			
64	New version available		New version available: {0}.	
