ID	Name	Desc	sParam1	sParam2
ID	Name	Description	胜利字符串	失败字符串
20000	Positive Interaction	A disciple of {0} was on adventure near {1} when they met a few disciples of {1}. They soon joined each other on exciting adventures that made their names amongst cultivators. Therefore, the two sects have become slightly friendlier than before.		
20001	Positive Interaction	An elder of {0} was on adventure near {1} when they met a few disciples of {1} practicing. The elder of {0} was delighted to help the {1} disciples out, and one of them even broke through right then. The inspiring story was told amongst cultivators. The two sects have become slightly friendlier than before.		
20002	Positive Interaction	A disciple of {0} was on adventure near [PLACE] when they met an elder of {1} practicing. The {0} disciple helped to run their errands and earned the {1} elder's favor and trust. They even received the best blessing from the elder afterwards. The inspiring story was told amongst cultivators. The two sects have become slightly friendlier than before.		
20003	Positive Interaction	An elder of {0} was on adventure near [PLACE] when they met an elder of {1}. The two of them felt a rapport with each other and began in-depth discussions about cultivation. As the ingenious discussion went on, strange phenomena began happening and animals turned spiritual. The story spread amongst cultivators. Therefore, the two sects have become friendlier than before.		
20004	Positive Interaction	An elder of {0} was on adventure near [PLACE] when they met an elder of {1}. Together, the two visited scenic spots nearby, accidentally discovered an ancient immortal's cave mansion, and they both found many treasures after searching the place. The story was retold in different versions and spread amongst cultivators. Therefore, the two sects have become friendlier than before.		
20005	Positive Interaction	An elder of {0} was on adventure near [PLACE] when they saved a caravan of mortals who were attacked by beasts. Oddly enough, the group of people are families of the {1} main elder. Afterwards, the whole {1} expressed their gratitude as their favor to {0} increased. Therefore, the two sects have become friendlier than before.		
20006	Positive Interaction	An elder of {0} was trying to subdue artifacts unearthed in [PLACE] when they found there were a pair of spiritual legacy artifacts. Taken by surprise, {0} almost lost the artifacts. Thankfully, an elder of {1} happened to be there to help subdue them. The two split the spiritual legacy artifacts and became good friends afterwards. The inspiring story was told amongst cultivators. The two sects have become friendlier than before.		
20007	Positive Interaction	An elder of {0} was on adventure near [PLACE] when they met an elder of {1} attacked by many dangerous beasts. The {0} elder decided to take the risk and help kill the beasts, making great gains in the end. The two developed admiration for each other and eventually became a Taoist couple. The story was told amongst cultivators. The two sects have become friendlier than ever.		
20008	Positive Interaction	An elder of {0} was on adventure near [PLACE] when they met an elder of {1} chased by their enemies. Without any help or backup, the {0} elder stepped in, killed dozens of people and escorted them to the base of {1}. The sensational story was told amongst cultivators. The two sects have become friendlier than ever.		
20009	Positive Interaction	A disciple of {0} was visiting the {1} mountain when they met a few inner disciples of {1} practicing sword fighting. They all shared different techniques with each other and fought many incredible matches, both the host and the guest satisfied. The matches were told amongst cultivators. The two sects have become slightly friendlier than before.		
20010	Positive Interaction	An elder of {0} visited the base of {1}, met the {1} sect leader face to face, and had a secret discussion that lasted for days before they eventually left discreetly. Someone deliberately leaked out the story, arousing speculations amongst cultivators. Therefore, the two sects have become friendlier than before.		
20011	Negative Interaction	A disciple of {0} was on adventure near {1} when they met a few disciples of {1}. A fight broke out between them due to a slight disagreement, causing unwanted casualties on both sides. The story was discussed amongst cultivators. The two sects have become slightly more hostile to each other than before.		
20012	Negative Interaction	An elder of {0} was on adventure near {1} when they met a few arrogant and domineering disciples of {1} who then insulted {0}. Provoked by their words, the {0} elder went on a killing rampage. The story was speculated and discussed amongst cultivators. The two sects have become more hostile to each other than before.		
20013	Negative Interaction	A disciple of {0} was on adventure near [PLACE] when they noticed an elder of {1} was practicing in seclusion there. The {0} disciple hid there for days and sneak attacked the elder at the critical moment of their practice. Taken by surprise, the elder lost the control over their power and the practice backfired, completely destroying the elder's body and soul. Cultivators engaged in heated debates over the story. The two sects have become more hostile to each other than before.		
20014	Negative Interaction	An elder of {0} was on adventure near [PLACE] when they met an elder of {1} giving lecture. The {0} elder concealed their presence and deliberately sabotaged it, turning {1}'s lecture into a farce and damaging {1}'s reputation. The story was told as a joke amongst cultivators. The two sects have become more hostile to each other than before.		
20015	Negative Interaction	An elder of {0} was on adventure near [PLACE] when they met an elder of {1}. After following, they found out the {1} elder had discovered an ancient immortal's cave mansion. The {0} elder wanted to split the fortune but was rejected by the other elder. A fight broke out between the two, causing severe collateral damages to the nearby plants and animals. The story drew attention from many cultivators. The two sects have become more hostile to each other than before.		
20016	Negative Interaction	An elder of {0} was on adventure near [PLACE] when they discovered a hidden spot where Qi converged, which turned out to be an elder of {1} going through a tribulation there. The {0} elder cast a formation that changed the Five Elements of the location, drastically increasing the power of the Tribulation. The {1} elder's body and soul were instantly obliterated. The story shook the world of cultivators. The two sects have become more hostile to each other than before.		
20017	Negative Interaction	An elder of {0} was looking for artifacts unearthed in [PLACE] when they found out that an elder of {1} had already been one step ahead. The {0} elder started the fight as both of them called for backups, turning it into an aggressive battle of many cultivators. The story drew much attention from many cultivators. The two sects have become more hostile to each other than before.		
20018	Negative Interaction	An elder of {0} was on adventure near [PLACE] when they met a caravan from {1} carrying rare medicine and treasures. {0} jumped in and robbed them of all the resources. {1} was furious and notified all cultivators of this incident, demanding {0} to respond. The two sects have become more hostile to each other than ever.		
20019	Negative Interaction	A disciple of {0} was on adventure near [PLACE] when they met an extremely genius disciple who might be an ancient cultivator's reincarnation. But unexpectedly, this disciple had already been chosen by an elder of {1} and was under their secret observation. An intense fight broke out between the two elders over this disciple, eventually causing their sect leaders to step in. The sensational story was told amongst cultivators. The two sects have become more hostile to each other than ever.		
20020	Negative Interaction	An elder of {0} sneaked into the {1}'s treasure room, took many treasures and even left without arousing any suspicion. It was later found out by {1}, the whole {1} sect enraged. The sensational story was told amongst cultivators. The two sects have become more hostile to each other than ever.		
20021	Negative Interaction	An elder of {1} sneaked into the {0}'s treasure room, trying to steal rare medicine and treasures before caught in the action by {0}. Infuriated, the sect leader of {0} blinded and incapacitated the invader as a warning to the rest of the world. The sensational story was told amongst cultivators. The two sects have become more hostile to each other than ever.		
20022	Negative Interaction	Recently, the favorite disciple of {0}'s elders had a fallout with a few disciples of {1} near [PLACE], and it escalated quickly until both sects' elders came and joined the fight, turning it into a huge battle of magic.	The battle continued for months with countless casualties, and {0} finally won. Its disciples also advanced their skills in the battle of magic, strengthening the sect's power. On the other hand, {1} was greatly damaged and weakened. After the battle, the two sects have become more hostile to each other than ever.	The battle continued for months with countless casualties, but {0} finally lost as their sect's power was greatly weakened. On the other hand, {1} was strengthened and gained a lot of power. After the battle, the two sects have become more hostile to each other than ever.
20023	Negative Interaction	Recently, {0} and {1} discovered the ruins of a cave mansion near [PLACE] at the same time, which was told to hold the important teachings of an ancient sage. Both sects sent out their elites to fight for the fortune of this place; an intense battle of magic broke out.	After several fights, {0} eventually earned the Immortal Abode, strengthening the sect's power. On the other hand, {1} was greatly damaged and weakened. After the battle, the two sects have become more hostile to each other than ever.	After several fights, {1} eventually earned the Immortal Abode, strengthening the sect's power. On the other hand, {0} was greatly damaged and weakened. After the battle, the two sects have become more hostile to each other than ever.
20024	Negative Interaction	For whatever reason, {0} recently ordered many of their disciples to attack the {1} mountain all at once. Both sects formed formations there, disrupting the natural phenomena nearby; the event shook the world of cultivators.	{0} had the upper hand and eventually won. Its disciples also advanced their skills in the battle of magic, strengthening the sect's power. On the other hand, {1} was greatly damaged and weakened. After the battle, the two sects have become more hostile to each other than ever.	{1} had the upper hand of facing away from the sect gate and eventually won. Its disciples also advanced their skills in the battle of magic, strengthening the sect's power. {0} was greatly damaged and weakened. After the battle, the two sects have become more hostile to each other than ever.
20025	Negative Interaction	Recently, the sage of {0} was assassinated in [PLACE] by {1}. Having lost their central figure, the whole {0} was infuriated and launched an attack at {1} in [PLACE] for revenge. Both sects sent out hundreds of disciples and fought for several days; their sword aura swept across the nearby land, harming and killing countless creatures.	In the battle of magic, the infuriated {0} started attacking and almost wiped out the opponent sect. Its disciples also advanced their skills, strengthening the sect's power. On the other hand, {1} was greatly damaged and weakened. After the battle, the two sects have become more hostile to each other than ever.	In the battle of magic, the infuriated {0} lost their position in defense and stepped right in the {1}'s interlocking traps, eventually losing to the opponent as the sect's power was weakened. On the other hand, {1} was strengthened and gained a lot of power. After the battle, the two sects have become more hostile to each other than ever.
20026	Negative Interaction	Recently, many rare medicine and treasures of {0} were stolen. A sect elder used Mirror Tracking to find clues, and it turned out to be stolen by a disciple of {1}. When asked about it by {0}, {1} refused to admit that they knew anything. Their differences became irreconcilable, leading to their planned battle of magic near [PLACE] to decide who's right.	{0} sent out all their elites in the battle of magic, gained the upper hand and finally forced {1} to surrender and pay for compensation. The {0}'s power was also strengthened. On the other hand, {1} paid a double penalty and was greatly weakened. The two sects have become more hostile to each other than ever.	In the battle of magic, {1} gained the upper hand as they had prepared in advance and successfully forced {0} to retreat, strengthening the sect's power. {0} lost many treasures over nothing, and the sect's power was weakened.
