房间	Quarto
蜚皮休闲衣衫	Camisa Casual de Couro Fei
蜚皮薄下裳	Calças Finas de Couro Fei
巧夺天工的神兵，融合制作者的心血与灵感而成。	Uma arma divina de habilidade incomparável, forjada com o esforço e a inspiração de seu criador.
斩电	Lâmina de Madeira Dourada
石髓	Essência de Pedra
戊土圭	Tablete Sombrio
紫布	Tecido Roxo
长生问心罗	Tecido da Consciência Clara da Longevidade
佩戴者可以提高神国信仰获取加成。	Aumenta o bônus de aquisição de fé do portador.
神感符	Talismã da Percepção Divina
佩戴者可以提高护体技能等级。	Aumenta o nível da habilidade de proteção do portador.
天甲符	Talismã da Armadura Celestial
佩戴者可以降低神性。	Reduz a divindade do portador.
神隐符	Talismã da Ocultação Divina
大理石砖	Bloco de Mármore
坤元先天阙	Duplo Jade da União Celestial Terrestre
牛皮修行下裳	Calças de Cultivador
万里诛神御	Vestes Marchantes de Punição Divina
鱼肉	Peixe
玄光幕	Camada de Luz Sombria
灵木料	Madeira Espiritual
长生天心柱	Coluna do Coração Celestial da Longevidade
奇怪的蘑菇	Cogumelo Estranho
苍莽魂菇	Cogumelo da Alma Colossal
小麦	Trigo
玉衡斩仙索	Corda de Abate Imortal de Alioth
符纸	Papel de Talismã
碧光妖咒	Feitiço Demoníaco da Luz Opalescente
木料	Madeira
长生灵骨木	Madeira do Espírito Ósseo da Longevidade
棉花	Algodão
青龙万象绳	Corda de Todos os Fenômenos do Dragão Azul
狼皮	Pele de Lobo
己土先天革	Couro Sombrio da União Celestial
粪便	Fezes
行疆五色屎	Excremento Prismático de Jornada
棕石	Pedra Marrom
己土圣印	Torre Sagrada Sombria
木角料	Retalho de Madeira
五云碎	Prego das Cinco Nuvens
苍莽环空纱	Gaze do Chakram Colossal
天柱石铃铛	Sino
戊己大日铃	Sino do Grande Dia Central
牛皮	Couro de Touro
万里冲虚障	Couro da Marcha ao Vazio
铁矿石	Minério de Ferro
断岳诛神印	Selo de Punição Divina da Montanha Cortada
灵晶角料	Retalho de Cristal Espiritual
紫薇万魂钉	Prego de Todas as Almas de Ziwei
灵晶砖	Bloco de Cristal Espiritual
莲花七杀镇	Torre das Sete Mortes da Flor de Lótus
野猪皮休闲衣衫	Camisa Casual de Pele de Javali
腾岳斩魔甲	Armadura de Abate Demoníaco da Montanha Elevada
原木	Tora de Madeira
苍莽荡魔桩	Estaca Exorcista Colossal
坤元屠魔索	Corda de Abate Demoníaco da União Celestial Terrestre
角色出生点	Ponto de Nascimento
逻辑点	Ponto Lógico
大理石置物台	Expositor de Mármore
大理石墙	Parede de Mármore
大理石巨灵雕像	Estátua do Gigante de Mármore
灵石灯柱	Poste de Lâmpada de Pedra Espiritual
灵石置物台	Expositor de Pedra Espiritual
灵石门	Porta de Pedra Espiritual
朱	Zhu
乐语	Yueyu
天苍 231年第72日,通过从闻药味获取的理智，对有点愤怒的感知，对墙的认知，产生了一点灵智碎片。  	Tian Cang, Ano 231, Dia 72 - Através da racionalidade obtida ao cheirar remédios, uma percepção de leve raiva e um entendimento sobre paredes, nasceu um fragmento de inteligência espiritual.  
天苍 232年第85日,通过从发呆获取的理智，对有点恐惧的感知，对雾的认知，产生了一点灵智碎片。  	Tian Cang, Ano 232, Dia 85 - Através da racionalidade obtida ao ficar distraído, uma percepção de leve medo e um entendimento sobre a névoa, nasceu um fragmento de inteligência espiritual.  
天苍 236年第107日,通过从听弟子练功获取的理智，对非常恐惧的感知，对自己的认知，产生了一点灵智碎片。  	Tian Cang, Ano 236, Dia 107 - Através da racionalidade obtida ao ouvir discípulos treinando, uma percepção de medo intenso e um entendimento sobre si mesmo, nasceu um fragmento de inteligência espiritual.  
天苍 238年第111日,通过从做梦获取的理智，对平静的感知，对裤子的认知，产生了一点灵智碎片。  	Tian Cang, Ano 238, Dia 111 - Através da racionalidade obtida ao sonhar, uma percepção de calma e um entendimento sobre calças, nasceu um fragmento de inteligência espiritual.  
天苍 244年第98日,通过从面朝北方获取的理智，对非常高兴的感知，对人的认知，产生了一点灵智碎片。  	Tian Cang, Ano 244, Dia 98 - Através da racionalidade obtida ao encarar o norte, uma percepção de extrema alegria e um entendimento sobre pessoas, nasceu um fragmento de inteligência espiritual.  
永世之奴役	Escravidão Eterna
赤霄宫覆灭	Destruição do Palácio Chixiao
震雷流光神雷	Trovão Divino do Relâmpago Fluente
坤元流光诀	Técnica da Luz Fluente da União Celestial Terrestre
玄武陨星真言	Verdadeiro Feitiço da Estrela Cadente de Xuanwu
万源归真镇神真言	Verdadeiro Feitiço de Contenção Divina do Retorno às Origens
丁火飞星	Estrela Voadora do Fogo Ding
麒麟化影诀	Técnica da Transformação Sombria do Qilin
呼噜呼噜……这，这些宝藏……呼噜……都，都是…我，我我的！ 	Uma arma divina de habilidade incomparável, forjada com o esforço e a inspiração de seu criador.Ronco...Ronco...Esses...esses tesouros...ronco...são todos...todos meus! Meussss!  
你，你是谁？你也想抢我的宝物…？你，你你别想，别想拿！！！嗷哈哈哈哈！ 	Vo-você...quem é você? Você também quer roubar meus tesouros...? Você...você não vai...não vai pegar!!! Ahahahaha! 
