拜祖师	Worshipping ancestors
清心草	Purity Leaf
人参	Ginseng
灵芝	GanodermaLucidum
灵仙草	Spirit Leaf
麦田	Wheat
草药	Herb
储存区	Storage
杂役卧室	Peon Room
外门卧室	Outer Room
工作室	Work Room
祖师殿	Founder's Hall
藏宝楼	Treasure Room
内门卧室	Inner Roon
房间	Room
布修行衣衫	Patterned Fabric Sect Uniform
布休闲下裳	White Fabric Casual Pants
邬谷云	
熊皮薄衣衫	Bear Hide Thin Shirt
布清凉衣衫	Black Fabric Summer Shirt
狼皮薄衣衫	Wolf Hide Thin Shirt
熊皮薄下裳	Bear Hide Thin Pants
棕石环	Brownstone Chakram
铁弓	Iron Bow
玉石弓	Jade Bow
金丝木弓	Goldwood Bow
寒晶剑	Ice Crystal Sword
兔皮薄下裳	Rabbit Hide Thin Pants
大理石刀	Marble Blade
布薄衣衫	Red Fabric Thin Shirt
狼皮薄下裳	Wolf Hide Thin Pants
木弓	Wood Bow
石匣	Stone Casket
三清屠魔灵宝	Triple Purity Demon Slaughtering Box
玉石农具	Farming Tool
行疆万世锄	Trekking All Generations Hoe
天地魔灵宝	Heaven and Earth Demon Box
布清凉下裳	Summer Pants
甲乙千光衣	Eastern Thousand Rays  Shirt
火铜环	Chakram
玉衡千魂环	Alioth Thousand Souls Chakram
火铜矿石	Igneocopper Ore
紫火环空碑	Metal
炽凰五色圭	 Seal
玉衡莲花灵宝	Alioth Lotus Flower Box
炽凰大日珏	 Seal
石髓	Stone Essence
苍穹屠魔碑	The Firmament of Heaven Demon Slaughtering Stone
火铜剑	Sword
朱雀九宫剑	Vermillion Bird The Nine Palaces Sword
画	Painting
长生白虹图	 Picture
玄铁矿石	Darksteel Ore
断岳圣金	 Seal
斩魔灵宝	Demon Slaying Box
梧桐神木	Phoenixwood
长生紫薇柱	 Branch
奔烈星宿圭	 Dualjade
焚日斩仙剑	Blazing Immortal Slaying Sword
紫薇妖印	Crape Myrtle Devil  Seal
观音土	Guanyin Clay
麒麟神灵宝	Numinous Treasure
朱雀恶魄剑	Vermillion Bird Evil Soul Sword
碧光辟邪卷	 Picture
天地天璇灵宝	Heaven and Earth Merak Box
草	Hay
碧光霓光绳	 Cord
火铜伐木斧	Timber Axe
环空万魂斧	Chakram All Souls Axe
赤炎诛神剑	Fiery God Punishing Sword
磨骨灵宝	Bone Grinding Box
琴谱	Sheet Music
碧光恶魄谱	 Scroll
金丝木手镯	Bracelet
幻空道德琢	Eon Moral  Carving
棋局	Go
苍龙异骨局	Sheet
玉石剑	Sword
万里天府剑	Marching Heavenly Abode Sword
幻空灵宝	Eon Box
五行玄光灵宝	The Five Elements Dark Light Box
棕石手镯	Bracelet
戊土庇世镯	Grim Secluded Bracelet
碧光斩魔甲	Opalescent Demon Slaying  Armor
野猪皮修行下裳	Cultivator Pants
白虹涤心衣	Fogbow Clean Mind Clothes
狼皮香囊	Scented Sachet
行疆幻空囊	Trekking Eon Bag
兔皮休闲衣衫	Casual Shirt
行疆甲	Trekking Clothes
霹雳白骨碑	 Tower
青龙斩仙草	Rope
垃圾	Rubbish
七魄毒	Seven Souls  Dreg
苍莽飞星谱	 Scroll
灰石环	Chakram
腾岳辟邪环	Hill Rise Evil Deterring Chakram
苍龙神卷	Sheet
雌蛇粪便	Feces
母兔子粪便	Feces
布薄下裳	Black Fabric Thin Pants
兔皮薄衣衫	Rabbit Hide Thin Shirt
野猪皮薄下裳	Boar Hide Thin Pants
星髓弓	Lumina Core Bow
灵石刀	Spirit Stone Blade
寒晶长枪	Ice Crystal Spear
星髓剑	Lumina Core Sword
大理石锤	Marble Mace
三千烦恼	Soup Dumplings of Morality
干锅田鸡	Dry-braised Frog Meat
棕石锤	Brownstone Mace
玄铁铃铛	Bell
断岳白骨铃	Demolition White Bone Bell
碧光斩仙弓	Opalescent Immortal Slaying Bow
五内摄欲	
铁剑	Iron Sword
兔皮厚制下裳	Winter Pants
万里飞星衣	Marching Starlite  Armor
九宫飞羽散	The Nine Palaces Plume Powder
灰石剑	Graystone Sword
狼皮厚制下裳	Winter Pants
万里磨骨衫	Marching Bone Grinding  Shirt
五戒琢玉	Five Precepts Jade Polishing
棕石弓	Brownstone Bow
原木	Wood
甲乙玄光柱	 Column
碧光索	 Cord
布修行下裳	Red Fabric Cultivator Pants
碧光落樱甲	Opalescent Falling Cherry Blossom  Shirt
野猪皮休闲下裳	Boar Hide Casual Pants
大理石剑	Marble Sword
布伞	Umbrella
青龙圣伞	Azuragon Sagely Umbrella
熊皮休闲衣衫	Bear Hide Casual Shirt
铁矿镐	Iron Pickaxe
狼皮休闲下裳	Wolf Hide Casual Pants
青冥	Spirit Stone Sword
灵石剑	Sword
万里异骨剑	Sword
玄铁刀	Darksteel Blade
霹雳万骨金	 Tablet
口味蛇	Spiced Snake Meat
甲乙千魂局	 Match
野猪皮香囊	Scented Sachet
地龙玄光囊	Groundragon Dark Light Bag
赤炎庇世镇	 Dualjade
布香囊	Scented Sachet
碧光灵血囊	Opalescent Spirit Blood Bag
寒晶铃铛	Bell
归源七魄铃	Primeval Seven Souls Bell
星髓	Lumina Core
开天恶魄金	 Seal
苍莽赤血甲	Colossal Crimson Blood  Armor
铁矿石	Iron Ore
白虎涤心珏	 Seal
书	Script
长生紫薇册	 Book
公兔子粪便	Feces
大理石墙	Marble Wall
铁门（通常）	Iron Door
玉石墙	Jade Wall
铁书架	Iron Decoration Shelf
梧桐木法座	Parasol Wood Qi Cushion
铁墙	Iron Wall
铁琴台	Iron Zither Table
木灯柱	Wood Lamp Post
铁假人桩	Iron Wooden Dummy
木栅栏	Wood Fence
铁门派山门	Iron Sect Gate
铁陵墓	Iron Tomb
铁香炉	Iron Censer
铁手工桌	Iron Handcraft Station
铁制药桌	Iron Medicine Table
铁桌子	Iron Table
铁床	Iron Bed
木油灯	Wood Oil Lamp
铁小方桌	Iron Square Table
草蒲团	Hay Cushion
铁丹炉	Iron Alchemy Furnace
铁炼宝台	Iron Crafting Table
铁花瓶	Iron Vase
铁书画桌	Iron Talisman Table
铁虫鸟架	Iron Bird Cage
铁法座	Iron Qi Cushion
铁鼎	Iron Cauldron
灵石置物台	Spirit Stone Display
灵石道德天尊雕像	Spirit Stone Virtue Statue
灵石灵宝天尊雕像	Spirit Stone Treasures Statue
灵石屏风	Spirit Stone Folding Screen
灵石墙	Spirit Stone Wall
灵石门（通常）	Spirit Stone Door
灵石花瓶	Spirit Stone Vase
灵石双人床	Spirit Stone Double Bed
灵石琴台	Spirit Stone Zither Table
灵石围棋桌	Spirit Stone Go Table
灵石鼎	Spirit Stone Cauldron
大理石门（通常）	Marble Door
灵石桌子	Spirit Stone Table
铁灯笼	Iron Lantern
