Prefixo de Cultivador Antigo, Grande Vastidão, Primordial, Caos, Começo e Fim, Nuvem Púrpura, Compreensão, Infinito, Primordial, Sem Fim, Taiji, Começo do Mundo, Taizhong, Supremo, Primordial Antigo, Nona Céu, Céu Espiritual, Céu Vast, Céu Profundo, Céu de Jade, Céu de Cúpula, Imensidão, Primordial, Sem Fim, Vazio Claro, Taixu, Vazio Profundo  
Prefixo Comum Nível 1, Geralmente Propagado, Comumente Propagado, Universalmente Propagado  
Prefixo Comum Nível 2, Pílula Sombria, Verdadeira Pílula, Verdadeiro Vazio  
Prefixo Comum Nível 3, Vagando, Liberado, Sem Restrições  
Prefixo Comum Nível 4, Esclarecedor, Verdadeiro Yang, Observador  
Prefixo de Residência de Sombrinha, Sombrinha, Clareza Suprema, Tesouro Numinoso  
Prefixo do Palácio de Kunlun, Kunlun, Vazio de Jade, Primordial  
Prefixo do Palácio do Céu, Céu do Céu, Oblivion, Sábios do Elixir  
Prefixo do Templo da Nuvem Púrpura, Nuvem Púrpura, Céu e Terra, Yin Yang  
Prefixo da Seita da Unidade Mística, Verdadeira Unidade, Essencial, Guardião Venerado  
Templo da Lótus Azul, Lótus Azul, Venusiano, Liberado  
Prefixo da Residência do Crepúsculo, Crepúsculo, Pentalotus, Clareza Suprema  
Prefixo da Montanha dos Cem Insetos, Cem Insetos, Devaneio, Pentatoxico  
Prefixo da Fossa da Desgraça, Fossa da Desgraça, Mãe da Terra, Magnético Profundo  
Prefixo da Seita dos Sete Mortes, Sete Mortes, Maldição Mortal, Venerado Ultimate  
Prefixo da Seita Exultante, Exultante, Seis Desejos, Sete Emoções  
Prefixo do Templo Daemonia, Daemonia, Eterno, Tumultuoso  
