Key	Value
竹林深处	Deep in the Bamboo Forest
武当仙踪	Immortal Tales of Wudang
钓鲲者	Kraken Catcher
湖仙钓者	Lake Fairy Catcher
湖怪钓者	Lake Monster Catcher
垂钓仙	Fisher Immortal
垂钓圣者	Fisher Saint
垂钓翁	Fisher Elder
战斗	Battle
气感	Qi Sense
处世	Social
内视	Inner Sight
烹饪	Cooking
版筑	Construction
农耕	Farming
金石	Mining
雅艺	Artisanry
格物	Comprehension
斗法	Magic
丹器	Magic Crafting
御器	Artifact Mastery
术法	Spell
护体	Protect
阵法	Formation
炼丹	Alchemy
炼器	Artifact Crafting
歧黄	Medicine
巧匠	Crafting
神识	PER
根骨	CON
魅力	CHA
悟性	INT
机缘	LUK
痛感	Pain
意识	Will
经脉	Meridians
移动	Move
身手	Action
感知	Sense
影响战斗能力。	Affects combat prowess.
对灵气的感知能力，影响灵气护盾穿透率，法宝镇压几率。	The ability to perceive Qi. Affects Qi Barrier Penetration Chance and Artifact Suppression Chance.
影响角色之间互动事件发生的概率，招募角色的概率等。	Affects the chance of events triggering during interactions between characters and the chance of recruiting new characters.
对自身身体了解掌控的能力，影响淬体效率，淬体时出现有效进化的概率。在凡人阶段的岐黄技能会一定程度上影响该值。	The ability to comprehend and command one's own body. Affects Remold efficiency, as well as chance of an effective evolution to occur when Remolding. One's Healing skill as a mortal will affect this value to some extent.
影响烹饪速度，烹饪成功率等。	Affects speed and success rate when cooking.
影响建筑速度，建筑受伤时的概率等。	Affects speed and chances of being injured during construction work.
影响种植作物速度，收获作物产量等。	Affects the growth rate of crops and their harvest yield.
影响采掘速度，采掘产量等。	Affects speed and output of mining.
对灵感的把握能力，影响淬体时高级进化方向的出现概率。	The ability to handle inspirations. Affects the chance of advanced Evolution Directions to occur in Remolding.
对世界万物规律的理解能力，影响吐纳和吞噬获得精华的效率。在凡人阶段的巧匠技能会一定程度上影响该值。	The ability to comprehend the laws of everything in nature. Affects the efficiency of gaining essence by Breathing and Devouring. One's Crafting skill as a mortal will affect this value to a certain extent.
影响进入内门时，御物，术法，护体的初始等级。	Affects the initial level of Artifact Mastery, Spell and Protection when a character becomes an inner disciple.
影响岐黄，巧匠技巧，在进入内门时转化为炼丹，炼器的比例。	Affects healing and crafting skill. These will be converted into Alchemy and Artifact Crafting when a character becomes an inner disciple.
影响角色驾驭法宝的能力。	Affects a character's ability to use artifacts.
影响角色施展咒法的能力。	Affects a character's ability to cast spells.
影响角色灵气抵挡伤害的能力。	(Protection) Affects a character's ability to defend themself against damage using Qi.
影响角色结阵的能力。	Affects a character's ability to form formations.
影响角色灵气最大值。	Affects a character's Max Qi.
影响炼丹时的速度，炼丹时的产量，炼丹时的成功率。	Affects speed, output and success rate of alchemy.
影响制作物品品质等。	Affects the quality of crafted Items.
影响炼器时的速度，炼器产品的质量，炼器成功率以及炼器品阶加成。	Affects speed, product quality, success rate and tier bonus of artifact crafting.
影响制药速度，治疗外门伤的疗效等	Affects the speed of creating medicine and their effectiveness of treating physical wounds.
影响制作物品速度，制作物品品质等。	Affects speed and product quality when creating items.
春	Spring 
夏	Summer 
秋	Autumn 
冬	Winter 
思	Si 
长孙	Zhangsun 
山	Hill 
闻人	Wenren 
玉	Yu 
隋	Sui 
文烟	Wenyan 
[color=#9e6404]相关工作：[/color]\n移除地板\n拆除建筑\n修理建筑\n移动和安装建筑\n建造建筑\n搬运建筑原料	[color=#9e6404]Related work:[/color]\nRemoving floor\nDemolishing buildings\nRepairing buildings\nMoving and erecting buildings\nConstructing buildings\nCarrying building material
[color=#9e6404]相关工作：[/color]\n搬人上床\n照顾病人	[color=#9e6404]Related work:[/color]\nMoving people to beds\nAttending to patients
