拜祖师	Culto aos ancestrais
房间	Quarto
仓库	Armazém
木伐木斧	Machado de Madeira
熊皮休闲衣衫	Camisa Casual de Pele de Urso
兔皮修行下裳	Calças de Cultivador de Pele de Coelho
牛皮休闲衣衫	Camisa Casual de Pele de Touro
靛蓝布休闲下裳	Calças Casuais de Tecido Índigo
巧夺天工的神兵，融合制作者的心血与灵感而成。	Arma divina engenhosamente criada, fundindo o esforço e a inspiração do seu criador.
饮血	Espada de Aço Negro
狼皮薄衣衫	Camisa Fina de Pele de Lobo
兔皮薄下裳	Calças Finas de Pele de Coelho
灵木锤	Maça de Madeira Espiritual
熊皮	Pele de Urso
万象赤血障	Couro de Sangue Carmesim de Todas as Coisas
牛皮薄衣衫	Camisa Fina de Pele de Touro
蓝布休闲下裳	Calças Casuais de Tecido Azul
火铜锭	Lingote de Cobre Ígneo
炽凰天心镇	Torre do Coração Celestial em Chamas
书	Livro
碧光鬼书	Livro Fantasma Opalescente
靛蓝布休闲衣衫	Camisa Casual de Tecido Índigo
狼皮修行下裳	Calças de Cultivador de Pele de Lobo
寒精锤	Maça de Essência de Gelo
佩戴者可以提高御器技能等级。	Aumenta o nível da habilidade de Domínio de Artefatos do portador.
神剑符	Talismã da Espada Divina
莲藕	Raiz de Lótus
壬水炼心藕	Raiz de Lótus de Mente Refinada em Cascata
棕石砖	Bloco de Pedra Marrom
麒麟极光圭	Tablet de Aurora do Kirin
虎皮薄衣衫	Camisa Fina de Pele de Tigre
红布薄下裳	Calças Finas de Tecido Vermelho
木锤	Maça de Madeira
黄布休闲衣衫	Camisa Casual de Tecido Amarelo
苍龙甲	Armadura Marinagon
癸水极光藕	Raiz de Lótus Aurora Equânime
蓝布修行衣衫	Uniforme de Seita de Tecido Azul
牛皮修行下裳	Calças de Cultivador de Pele de Touro
木环	Chakram de Madeira
垃圾	Lixo
镇岳五色毒	Detrito Prismático da Colina
金丝灵木	Madeira Dourada
长生七魄木	Galho das Sete Almas da Longevidade
黑布薄衣衫	Camisa Fina de Tecido Preto
麒麟磨骨碑	Pedra de Moagem Óssea do Kirin
虎皮厚制衣衫	Camisa de Inverno
万里御	Armadura Marchante
野猪皮修行衣衫	Uniforme de Seita de Pele de Javali
可以提高炎热抵抗的符咒。	Talismã que aumenta a resistência ao calor.
避暑符	Talismã Resistência ao Calor
大理石砖	Bloco de Mármore
行疆落樱阙	Trekking Queda de Cerejeira Dualjade
香菇	Cogumelo
长生白骨菇	Cesta Longeva de Ossos Brancos
琴谱	Partitura
长生三清谱	Partitura Tríplice Pureza da Longevidade
火精剑	Espada de Essência de Fogo
天火长青要诀	Instrução Eterna do Fogo Celestial
使头脑清明，提高学习能力。	Usado para clarear a mente e melhorar as habilidades de aprendizado.
文昌符	Talismã da Prosperidade Civil
铁矿石	Minério de Ferro
霹雳神圭	Dualjade do Trovão Divino
棕石	Pedra Marrom
天府流光石	Selo do Tempo da Morada Celestial
熊皮薄衣衫	Camisa Fina
戊己降龙御	Camisa de Derrota do Dragão Central
花布薄衣衫	Camisa Fina de Tecido Estampado
寒晶弓	Arco de Cristal de Gelo
熊皮修行衣衫	Uniforme de Seita de Pele de Urso
花布修行下裳	Calças de Cultivador de Tecido Estampado
玄铁锤	Maça de Aço Negro
寒晶锭	Lingote de Cristal de Gelo
惊波磨骨珏	Metal de Moagem Óssea Turquesa
三才大日枝	Coluna dos Três Talentos do Grande Dia
兔皮修行衣衫	Uniforme de Seita de Pele de Coelho
牛皮薄下裳	Calças Finas de Pele de Touro
佩戴者可以提高抵御水属性伤害之力。	Aumenta a resistência do portador contra danos de água.
水甲符	Talismã de Armadura de Água
万里落影镇	Selo das Sombras Caídas Marchantes
木角料	Retalho de Madeira
青龙圣镖	Dardo Sagrado do Dragão Azul
蓝布薄衣衫	Camisa Fina de Tecido Azul
红布休闲下裳	Calças Casuais de Tecido Vermelho
棉花	Algodão
碧光白骨线	Fio de Osso Branco Opalescente
虎皮休闲下裳	Calças Casuais
极光甲	Armadura Aurora
黑布薄下裳	Calças Finas de Tecido Preto
棕石长枪	Lança de Pedra Marrom
兔皮	Pele de Coelho
镇岳恶魄障	Cobertura da Alma Maligna da Colina
蛇蛋	Ovo de Cobra
坤元万魂珠	Pérola de Todas as Almas Terrenas
野猪皮薄下裳	Calças Finas de Pele de Javali
玄机气摄密卷	Pergaminho Secreto de Absorção de Qi Ingênuo
灰石砖	Bloco de Pedra Cinzenta
行疆天璇碑	Tablet Merak de Trekking
白布清凉下裳	Calças de Verão
碧光乾坤御	Camisa do Universo Opalescente
狼皮薄下裳	Calças Finas de Pele de Lobo
木弓	Arco de Madeira
狼皮	Pele de Lobo
坤元障	Couro Terreno
龟蛋	Ovo de Tartaruga
戊土荡魔蛋	Ovo Exorcizador do Mal Sombrio
观音土	Argila Guanyin
天心庇世灵宝	Tesouro Numinoso Secluso do Coração Celestial
莲花炼心菇	Cogumelo da Flor de Lótus de Mente Refinada
灵晶角料	Retalho de Cristal Espiritual
六合钉	Fragmento das Seis Direções
多宝琢玉秘传	Método Secreto de Polimento de Jade Duobao
己土阴魂罩	Barreira da Aparição Sombria
狼皮厚制衣衫	Camisa de Inverno
腾岳五行甲	Túnica dos Cinco Elementos do Ascenso da Colina
花布薄下裳	Calças Finas de Tecido Estampado
棕石锤	Maça de Pedra Marrom
木料	Madeira
苍龙五色柱	Coluna Prismática Marinagon
地龙天璇灵宝	Tesouro Numinoso Merak do Dragão Terrestre
肉干	 Carne Seca
昙花水梨汤	Sopa de Pera com Baga de Espinheiro e Tâmaras
