talk	notarget	thing	int
NotEatShit	Eu jamais sonharia em comer fezes		
NotEatEssence	Eu não comeria materiais raros, a menos que me fossem servidos		
NotEatDrug	Eu nem petiscaria Elixirs se minha vida dependesse disso, a menos que me fossem servidos		
NotEatWheat	Eu só como Trigo quando estou bem e com fome		
NotEatDryMeat	Eu realmente não comeria Carne Seca		
NotEatPear	O que é uma "Pera"? Você pode comê-la		
NotEatMeat	Carne Crua é ASQUEROSA, eu só comeria se minha vida dependesse disso		
NotEatCook	Não há comida que eu queira comer menos do que Comida Cozida		
NotBiteBuilding	Eu realmente não quero atacar edifícios		
NotBiteClothes	Eu não brincaria com roupas		
NotBiteOuter	Eu não atacaria Discípulos Externos		
NotBiteInner	Eu não atacaria Discípulos Internos		
NotBiteVisitor	Eu não atacaria visitantes		
NotBiteIncoming	Eu não atacaria um mortal que tenha passado por aqui		
NotAtkEnemy	Eu não vou atacar inimigos, a menos que eles tenham dado o primeiro movimento		
NotShitAtShitPlace	Eu não vou defecar onde se deve		
NotShitAtPlants	Eu não vou defecar em Plantas		
NotShitAtDogHouse	Eu não vou defecar ao lado da minha cama		
NotShitAtStorage	Eu não vou defecar em um Depósito		
NotShitOnBed	Eu não vou defecar em uma Cama		
NotShitInFarm	Eu não vou defecar em um Campo		
NotCarryOuterToBed	Eu não moveria discípulos inconscientes para uma Cama		
NotCarryVisitorToDest	Eu não vou mover visitantes inconscientes para uma Área de Estágio		
NotCarryEnemyToDest	Eu não vou mover inimigos inconscientes para uma Área de Estágio		
NotCarryIncomingToDest	Eu não vou mover mortais inconscientes para uma Área de Estágio		
NotCarryEnemyBodyToDest	Eu não vou mover os corpos dos inimigos para uma Área de Estágio		
NotCarryVisitorBodyToDest	Eu não vou mover os corpos dos visitantes para uma Área de Estágio		
NotCarryIncomingBodyToDest	Eu não vou mover os corpos dos mortais para uma Área de Estágio		
NotHelpCarry	Eu não ajudaria a organizar itens		
NotHelpTimber	Eu não ajudaria a derrubar árvores		
NotHelpMine	Eu não ajudaria a minerar		
NotHelpFind	Eu não ajudaria a furtar itens		
NotHelpKill	Eu não ajudaria a abater animais		
NotHelpPlant	Eu não ajudaria a fertilizar plantas		
NotCureFreeze	Eu não ajudaria a curar congelamento		
NotCureHot	Eu não ajudaria a curar golpe de calor		
NotHelpCook	Eu não ajudaria a cozinhar		
NotHeatEndure	Eu não ajudaria a aumentar a Resistência ao Calor		
NotColdEndure	Eu não ajudaria a aumentar a Resistência ao Frio		
NotHelpPlay	Eu não brincaria com os Discípulos		
NotPlayToy	Eu não brincaria com brinquedos		
NotTrainQiGan	Eu não lapidaria meu Qi		
NotTrainNeiDan	Eu não praticaria Core		
NotTrainHuTi	Eu não lapidaria minha Proteção		
NotTrainLingZhi	Eu não lapidaria meu Intelecto		
NotTrainShuFa	Eu não praticaria Feitiços		
WannaEatShit		Este {0}, é bom?	
WannaEatEssence		Este {0} está me fazendo salivar	
WannaEatDrug		Eu quero petiscar Elixirs	
WannaEatWheat		Este {0} parece simplesmente divino	
WannaEatDryMeat		Eu não consigo resistir à fragrância de {0}	
WannaEatPear		Eu não aguento mais, eu quero comer {0}	
WannaEatMeat		Eu vou comer este {0}	
WannaEatCook		Eu realmente quero comer {0}	
WannaBiteBuilding		{0}, já aguento você há bastante tempo	
WannaBiteClothes		Este {0} deve ser bom para ranger os dentes	
WannaBiteOuter		Eu me pergunto como é o gosto do Discípulo Externo {0}	
WannaBiteInner		Hora de mostrar ao Discípulo Interno {0} o meu verdadeiro poder	
WannaBiteVisitor		O Visitante {0} parece uma boa pessoa para praticar habilidades	
WannaBiteIncoming		O Convidado {0} parece uma boa pessoa para praticar habilidades	
WannaAtkEnemy		{0}, sua hora chegou	
WannaShitAtShitPlace		Eu quero defecar onde devo	
WannaShitAtPlants		Eu quero defecar em Plantas	
WannaShitAtDogHouse		Eu quero defecar ao lado da cama	
WannaShitAtStorage		Minhas fezes são preciosas, o Depósito seria um ótimo lugar para elas	
WannaShitOnBed		Seria interessante defecar em uma Cama	
WannaShitInFarm		Defecar no Campo deve ajudar, certo	
WannaCarryOuterToBed		Eu devo ajudar os {0} inconscientes	
WannaCarryVisitorToDest		Eu quero mover o visitante inconsciente {0} para uma Área de Estágio	
WannaCarryEnemyToDest		Eu quero mover o inimigo inconsciente {0} para uma Área de Estágio	
WannaCarryIncomingToDest		Eu quero mover o convidado inconsciente {0} para uma Área de Estágio	
WannaCarryEnemyBodyToDest		Eu quero mover o corpo do inimigo {0} para uma Área de Estágio	
WannaCarryVisitorBodyToDest		Eu quero mover o corpo do visitante {0} para uma Área de Estágio	
WannaCarryIncomingBodyToDest		Eu quero mover o corpo do convidado {0} para uma Área de Estágio	
WannaHelpCarry	Eu quero ajudar a organizar itens		
WannaHelpTimber	Parece que estas árvores precisam ser derrubadas, deixe-me ajudar	Parece que estas árvores precisam ser derrubadas, deixe-me ajudar	
WannaHelpMine	Estas Pedras parecem valiosas, pegue isto!	Estas Pedras parecem valiosas, pegue isto!	
WannaHelpFind	Deixe-me ver o que esses caras têm	Deixe-me ver o que esses caras têm	
WannaHelpKill	Cadáveres não deveriam ser deixados apodrecer, deixe-me ajudar	Cadáveres não deveriam ser deixados apodrecer, deixe-me ajudar	
WannaHelpPlant	As plantas no campo parecem úteis, deixe-me ajudar a fertilizá-las	As plantas no campo parecem úteis, deixe-me ajudar a fertilizá-las	
WannaCureFreeze	O congelamento de {0} é sério, deixe-me curá-lo	O congelamento de {0} é sério, deixe-me curá-lo	
WannaCureHot	O golpe de calor de {0} é sério, deixe-me curá-lo	O golpe de calor de {0} é sério, deixe-me curá-lo	
WannaHeatEndure	Eu quero ajudar a aumentar a Resistência ao Calor	Eu quero ajudar a aumentar a Resistência ao Calor	
WannaColdEndure	Eu quero ajudar a aumentar a Resistência ao Frio	Eu quero ajudar a aumentar a Resistência ao Frio	
WannaHelpPlay	Parece que {0} não está de bom humor	Parece que {0} não está de bom humor	
WannaPlayToy	Eu quero brincar com {0} como se não houvesse amanhã	Eu quero brincar com {0} como se não houvesse amanhã	
DoTalkEatShit		Eu estou atualmente comendo {0}	
DoTalkEatEssence		Eu estou atualmente comendo {0}	
DoTalkEatDrug		Eu estou atualmente comendo {0}	
DoTalkEatWheat		Eu estou atualmente comendo {0}	
DoTalkEatDryMeat		Eu estou atualmente comendo {0}	
