ID	Flag	Desc	Txt	Pic	Link	Voice
ID	实装flag 无意义	Description: Has no practical effect	[Content]	说明图片	链接到帮助系统的位置	语音
1	1	Select a character for the first time.	The Character Menu displays the character's condition, for example, [color=#D06508]Hunger[/color] and [color=#D06508]Mood[/color]. The player can also use the Character Menu's [color=#D06508]interact button[/color] to give commands to the character directly.	ui\Help2_en\001	21	m1
2	1	Click the resource collection commands at the bottom of the screen for the first time.	Players can give commands to collect resources using the commands at the bottom: [color=#D06508]Click[/color] a resource once to command a target to collect it. [color=#D06508]Drag[/color] over an area to command the target to collect the resources in that area.	ui\Help2_en\002	33	m2
3	1	Click explore at the bottom of the screen for the first time.	Use the explore command on an area covered in fog, characters that [color=#D06508]Hunt[/color] will explore the area. Take note, exploring consumes more [color=#D06508]Energy[/color], which can only be restored by sleeping.	ui\Help2_en\003		m3
4	1	Select Plant/Item/Mineral, etc. for the first time.	After selecting Item, the interact button can be used in the top part of the Item menu to give commands accordingly. Item details can be seen by hovering the mouse over the item.	ui\Help2_en\004		m4
5	1	Open up the Work menu for the first time.	Outer disciples' tasks can be arranged in the Work menu. In the work menu, priority of tasks descends from [color=#D06508]left to right[/color], but players can select a character and give a task [color=#D06508]special priority[/color]. Inner disciple's behavior is not restrained by the work menu.	ui\Help2_en\005	31	m5
6	1	Open the Sect menu for the first time.	When a character finishes Foundation Training, they become an inner disciple and can use Establishment in the Sect menu. Using the sect menu, the player can manage the sect, access Sect data, and other operations.	ui\Help2_en\006	611	m6
7	1	Open the World menu for the first time.	After Establishment is finished, inner disciples can be dispatched to Adventure using this menu. While a character is on an Adventure, they may encounter a Fortuitous Adventure that may have various benefits such as adding to their reputation or gaining access to a rare Resource.	ui\Help2_en\007	610	m7
8	1	Click on the Build button for the first time.	Buildings that can be constructed can be found in the Build menu. From this menu build order can also be given. As you progress in the game, more options will become unlocked. Please note, some buildings require a [color=#D06508] build point [/color], make sure to leave space for the build point when choosing the location of the structure.	ui\Help2_en\008	41	m8
9	1	Construct an observatory for the first time.	You have built an observatory, you can now Check the Feng Shui using the Yin Yang symbol bottom-left corner. Feng Shui indirectly affects all aspects of the game, so it should be taken into account in the Sect's construction.	ui\Help2_en\009	51	m9
10	1	Construct an Artifact Platform for the first time.	You have constructed a Crafting Table. You can now craft artifacts using the craft button in the Inner Disciple Character Menu. Any item can be used to craft artifacts. Different items have different properties that influence the stats of the artifact that is crafted.	ui\Help2_en\010	68	m10
11	1	Construct an Alchemy Furnace for the first time.	You have constructed an alchemy furnace. You can now concoct elixirs using the concoct button in the Inner Disciple Character Menu. As you progress through the game, you will come across new recipes, all you have to do is have a character read the recipe to unlock the formula.	ui\Help2_en\011	68	m11
12	1	Open the Talisman menu for the first time.	Talismans have strong effects. Talismans that have already been prepared can be equipped by characters to alter their stats. As you progress through the game, you will come across new designs, all you have to do is have a character inspect the design to unlock the talisman.	ui\Help2_en\012	68	m12
