ID	Name	Desc
ID	Achievement Title	Description
1	First-time Ascension	1 person ascended
2	Ascension Adept	3 people ascended
3	Frequent Ascension	5 people ascended
4	Renowned Cultivator	10 people ascended
5	Young and Inexperienced	1 adventure in total
6	Casual Adventurer	100 adventures in total
7	Expert Adventurer	500 adventures in total
8	Adventure Master	1,000 adventures in total
9	First-time Alchemist	1 alchemical practice
10	Skilled Alchemist	50 alchemical practices
11	Great Alchemist	100 alchemical practices
12	Master Alchemist	500 alchemical practices
13	First-time Craftsman	1 artifact crafted
14	Skilled Craftsman	50 artifacts crafted
15	Expert Craftsman	100 artifacts crafted
16	Master Craftsman	500 artifacts crafted
17	First-time Drawing	1 talisman drawn
18	Skilled Drawing	50 talismans drawn
19	Expert Drawing	100 talismans drawn
20	Master Drawing	500 talismans drawn
21	First-time Killer	1 creature killed
22	Professional Killer	100 creatures killed
23	Stone Cold Killer	500 creatures killed
24	Slayer	1,000 creatures killed
25	Cultivator Killer	1 cultivator killed
26	Cultivators' Nemesis	100 cultivators killed
27	Butcher of Cultivators	500 cultivators killed
28	Slayer of Cultivators	1,000 cultivators killed
29	First-time Searcher	1 soul searched
30	Skilled Searcher	10 souls searched
31	Expert Searcher	50 souls searched
32	Master Searcher	100 souls searched
33	Cook	10 types of food cooked
34	Chef	20 types of food cooked
35	Master Chef	50 types of food cooked
36	A Flash of Insight	1 piece of Tier VII art made
37	Flow of Ideas	10 pieces of Tier VII art made
38	Gifted Artist	50 pieces of Tier VII art made
39	One More Sell	1 traveler persuaded to join
40	Five More Sells	5 travelers persuaded to join
41	Ten More Sells	10 travelers persuaded to join
42	The More The Merrier	20 travelers persuaded to join
43	First-time Reader	1 manual learned through reading
44	Avid Reader	10 manuals learned through reading
45	Scholar	50 manuals learned through reading
46	Bibliophile	100 manuals learned through reading
47	Unfortunate Accident	1 disciple deceased
48	Misfortunes Never Come Singly	5 disciples deceased
49	When It Rains, It Pours	10 disciples deceased
50	Fragility of Life	50 disciples deceased
51	Heavy Loss	1 inner disciple deceased
52	Great Loss	5 inner disciples deceased
53	Tragic Loss	10 inner disciples deceased
54	Heartbroken	20 inner disciples deceased
55	I Am You	1 person possessed
56	They Are Me	5 people possessed
57	I Am Everyone	10 people possessed
58	King of Possession	20 people possessed
59	Blink of an Eye	100 years of meditation in total
60	As Time Goes By	500 years of meditation in total
61	Forgotten Years	1,000 years of meditation in total
62	Master of Solitude	5,000 years of meditation in total
63	Give Me Your Life	10 years of others' lifespan stolen in total
64	Give Me More Life	50 years of others' lifespan stolen in total
65	Such Is Life	500 years of others' lifespan stolen in total
66	Grim Reaper	1,000 years of others' lifespan stolen in total
67	Grave Pain	1 soul refined
68	Wailing Souls	10 souls refined
69	Source of Misery	50 souls refined
70	Devil	100 souls refined
71	Soul Snatcher	1 soul taken
72	Fresh Souls	10 souls taken
73	Proxy of Souls	50 souls taken
74	Master of Souls	100 souls taken
75	Sanguine Absorption	Sanguine Absorption done once
76	Circle of Life	Sanguine Absorption done 10 times
77	Yin-Yang Rule	Sanguine Absorption done 50 times
78	The King of Death	Sanguine Absorption done 100 times
79	Evildoer	1 sacrifice completed
80	Faith of Evil	10 sacrifices completed
81	Evilbringer	50 sacrifices completed
82	Evil Apostle	100 sacrifices completed
83	Soul Possession	1 person's soul possessed
84	Undead Soul	10 people's souls possessed
85	Eternal Soul	50 people's souls possessed
86	Violation of Creed	100 people's souls possessed
87	Ally	1 greater artifact acquired
88	Harmony	10 greater artifact acquired
89	Traveler	5 new spots discovered during adventures (spots learned through books not included)
90	Explorer	25 new spots discovered during adventures (spots learned through books not included)
91	Great Wanderer	50 new spots discovered during adventures (spots learned through books not included)
1002	Purification	Concoct a Samsara Pill
1003	Crystallization	Concoct an Eternity Pill
1004	My Destiny	Golden Core Shaped
1005	The Chosen One	Tier I Golden Core Shaped
1006	Scion of Supreme Steps	Cultivate the Sixteen Supreme Steps Law
1007	Orthodox Training: Supreme Steps	Cultivate the Sixteen Supreme Steps Law with over 150% of compatibility
1008	Tier I: Supreme Steps	Shape the Tier I Golden Core with the Sixteen Supreme Steps Law
1009	Mastery: Supreme Steps	Ascend through the Sixteen Supreme Steps Law
