ItemName	Type
Item_Cake	Food
Item_Jerky	Food
Item_HomeFood	Food
Item_DeliciousFood	Food
Item_DelicacyFood	Food
Item_LingStone	Coin
Item_Ginseng	Herb
Item_GanodermaLucidum	Herb
Item_MagicHerb	Herb
Item_Mint	Herb
Item_Ginkgo	Herb
Item_Healroot	Herb
Item_SmallCycle	Herb
Item_Hemostatics	Herb
Item_Plaster	Herb
Item_Anodyne	Herb
Item_StoneEssenceDrug	Herb
Item_Flour	Ingredient
Item_Wheat	Ingredient
Item_Mushroom	Ingredient
Item_Lotusroot	Ingredient
Item_Pear	Ingredient
Item_BoarMeat	Ingredient
Item_FrogMeat	Ingredient
Item_TurtleMeat	Ingredient
Item_BearMeat	Ingredient
Item_Beef	Ingredient
Item_RabbitMeat	Ingredient
Item_ChickenMeat	Ingredient
Item_WolfMeat	Ingredient
Item_FishMeat	Ingredient
Item_SnakeMeat	Ingredient
Item_CatMeat	Ingredient
Item_TigerMeat	Ingredient
Item_IronBlock	Material
Item_CopperBlock	Material
Item_SilverBlock	Material
Item_BrownRockBlock	Material
Item_GrayRockBlock	Material
Item_MarbleBlock	Material
Item_JadeBlock	Material
Item_LingStoneBlock	Material
Item_RoughWoodBlock	Material
Item_HardWoodBlock	Material
Item_LingWoodBlock	Material
Item_WoodLeftover	Material
Item_HardWoodLeftover	Material
Item_ParasolWoodLeftover	Material
Item_LingWoodLeftover	Material
Item_BrownRockLeftover	Material
Item_GrayRockLeftover	Material
Item_MarbleLeftover	Material
Item_JadeLeftover	Material
Item_SkyStoneLeftover	Material
Item_LingStoneLeftover	Material
Item_LingCrystalLeftover	Material
Item_IronRockLeftover	Material
Item_CopperRockLeftover	Material
Item_SilverRockLeftover	Material
Item_DarksteelRockLeftover	Material
Item_StarEssenceLeftover	Material
Item_SilverGrit	Material
Item_CopperGrit	Material
Item_CottonCloth	Fabric
Item_PurpleCloth	Fabric
Item_YellowCloth	Fabric
Item_BlueCloth	Fabric
Item_RedCloth	Fabric
Item_WhiteCloth	Fabric
Item_BlackCloth	Fabric
Item_RabbitLeather	Fabric
Item_BearLeather	Fabric
Item_WolfLeather	Fabric
Item_BoarLeather	Fabric
Item_CattleLeather	Fabric
Item_TigerLeather	Fabric
Item_DeepBlueCloth	Fabric
Item_Cotton	Raw Material
Item_Cinnabar	Raw Material
Item_IronRock	Raw Material
Item_CopperRock	Raw Material
Item_SilverRock	Raw Material
Item_BrownRock	Raw Material
Item_GrayRock	Raw Material
Item_Marble	Raw Material
Item_Wood	Raw Material
Item_HardWood	Raw Material
Item_LingWood	Raw Material
Item_Shit	Raw Material
