房间	Room
仓库	Storage
交易区	Trade Area
狼皮薄衣衫	Wolf Hide Thin Shirt
熊皮休闲下裳	Bear Hide Casual Pants
紫布修行衣衫	Purple Fabric Sect Uniform
黄布薄下裳	Yellow Fabric Thin Pants
可以提高视野范围，并提高历练时发现新地点的速度。	Talisman used to improve range of views, and reduce time spent discovering a new location in adventure.
松豪	
千里神视符	Talisman of Foreseer
寒精弓	Ice Essence Bow
木农具	Wood Farming Tool
黄布修行衣衫	Yellow Fabric Sect Uniform
蓝布修行下裳	Blue Fabric Cultivator Pants
南海神视纪要	South Sea Divine Sight Summary
可以轻微提高炼制法宝的品阶。	Used to slightly raise the tier of crafted artifact.
五方灵宝符	Wonder Talisman
野猪皮	Boar Hide
麒麟天心罩	Kirin Heavenly Heart  Barrier
棉花	Cotton
甲乙丝	Eastern  Rope
面饼	Bread
戊己天罡饼	Central The Big Dipper Pancake
牛皮休闲下裳	Bull Hide Casual Pants
木弓	Wood Bow
莲藕	Lotus Root
壬水七魄藕	Cascade Seven Souls Lotus Root
符纸	Talisman Paper
青龙道德符	Azuragon Moral  Incantation
大理石砖	Marble Block
戊土魂圭	Grim Soul  Seal
野猪皮修行衣衫	Boar Hide Sect Uniform
靛蓝布薄下裳	Indigo Fabric Thin Pants
紫薇鬼手秘传	Crape Myrtle Ghost Hand Secret Method
狼肉	Wolf Meat
行疆荡魔幕	Trekking Evil Exorcising Meatstew
虎皮	Tiger Hide
戊土戮血革	Grim Slaughter  Barrier
肉干	 Dried Meat
牛皮休闲衣衫	Bull Hide Casual Shirt
狼皮修行下裳	Wolf Hide Cultivator Pants
可以轻微提高炼制丹药的产量。	Used to slightly raise yield of Alchemy.
万化承丹符	Impermanence Talisman
黄布厚制衣衫	Winter Shirt
苍莽千光甲	Colossal Thousand Rays  Shirt
棕石	Brownstone
地龙圭	Groundragon Stone
干锅田鸡	Dry-braised Frog Meat
姜龙	
猪肉饼	Grilled Boar Leg
灵石墙	Spirit Stone Wall
灵石门	Spirit Stone Door
灵石床	Spirit Stone Bed
灵石灯笼	Spirit Stone Lantern
灵石水缸	Spirit Stone Water Vat
梧桐木水井	Parasol Wood Well
灵晶墙	Spirit Crystal Wall
灵晶门	Spirit Crystal Door
梧桐木床	Parasol Wood Bed
梧桐木法座	Parasol Wood Qi Cushion
梧桐木琴台	Parasol Wood Zither Table
梧桐木小方桌	Parasol Wood Square Table
火铜床	Igneocopper Bed
火铜法座	Igneocopper Qi Cushion
火铜琴台	Igneocopper Zither Table
火铜小方桌	Igneocopper Square Table
寒精置物台	Ice Essence Display
火铜置物台	Igneocopper Display
梧桐木灯笼	Parasol Wood Lantern
梧桐木藏经阁书架	Parasol Wood Manual Pavilion
梧桐木屏风	Parasol Wood Folding Screen
梧桐木梳妆台	Parasol Wood Dressing Table
寒晶灯笼	Ice Crystal Lantern
寒晶屏风	Ice Crystal Folding Screen
寒晶梳妆台	Ice Crystal Dressing Table
天柱石法座	Holy Stone Qi Cushion
火铜灯笼	Igneocopper Lantern
火铜梳妆台	Igneocopper Dressing Table
火铜屏风	Igneocopper Folding Screen
寒晶藏经阁书架	Ice Crystal Manual Pavilion
火铜藏经阁书架	Igneocopper Manual Pavilion
火精墙	Fire Essence Wall
梧桐木墙	Parasol Wood Wall
棕石床	Brownstone Bed
棕石小方桌	Brownstone Square Table
棕石琴台	Brownstone Zither Table
寒精墙	Ice Essence Wall
寒精灯笼	Ice Essence Lantern
天柱石炉灶	Holy Stone Stove
火精灯笼	Fire Essence Lantern
玄铁灯笼	Darksteel Lantern
寒精门派石碑	Ice Essence Sect Stele
寒精观星台	Ice Essence Observatory
傀儡停放点	Vessel Spot
棕石墙	Brownstone Wall
棕石门	Brownstone Door
玄铁床	Darksteel Bed
玄铁小方桌	Darksteel Square Table
玄铁琴台	Darksteel Zither Table
玄铁法座	Darksteel Qi Cushion
天柱石藏经阁书架	Holy Stone Manual Pavilion
天柱石梳妆台	Holy Stone Dressing Table
天柱石灯笼	Holy Stone Lantern
天柱石屏风	Holy Stone Folding Screen
灵石置物台	Spirit Stone Display
<font color=MYCOLOR>程雪青</font>在割除<font color=OBJCOLOR>长草</font>时满怀动力，她觉得这也是修行的一环。	
1天 17:07	1d 17:07
<font color=MYCOLOR>程雪青</font>好像听到有谁在喊自己的名字。	
1天 19:13	1d 19:13
4天 03:02	4d 03:02
<font color=MYCOLOR>程雪青</font>突然觉得右眼跳了跳。	
5天 08:02	5d 08:02
<font color=MYCOLOR>程雪青</font>有些关于<font color=OBJCOLOR>工作</font>的事想找人聊聊，	
5天 17:31	5d 17:31
<font color=MYCOLOR>程雪青</font>看到<font color=HECOLOR>仰厚</font>打老远过来，就向他挥了挥手，打了个招呼。	
6天 19:47	6d 19:47
<font color=MYCOLOR>程雪青</font>打了个哈欠。	
7天 05:17	7d 05:17
晨光初露，<font color=MYCOLOR>程雪青</font>看<font color=HECOLOR>仰厚</font>好像正无聊，就拉着他聊了聊关于<font color=OBJCOLOR>灵晶地板</font>的事。	
7天 06:42	7d 06:42
8天 19:53	8d 19:53
日暮时分，<font color=MYCOLOR>程雪青</font>正在<font color=OBJCOLOR>工作</font>。看<font color=HECOLOR>轩辕士</font>从旁边经过，就抬手打了个招呼。但<font color=HECOLOR>轩辕士</font>面无表情的看了一眼，并没有回应，这让<font color=MYCOLOR>程雪青</font>心里一堵。	
8天 20:22	8d 20:22
