Name	DisplayName	Tips
		
DisplayName	Name	Item Name
Desc	Description	Item Description
Element	Cinco Elementos	Estatísticas de cinco elementos do item
Rate	Camada	Nível do item
Zhuji	Fundação	Fundação aumentada usando/consumindo este item. (Intervalo: 0-30.000) (Somente para discípulos externos)
Fesistance	Tolerância à Medicina	Taxa de enfraquecimento dos efeitos medicinais do item devido a múltiplos usos. Tolerância a medicamentos de 1 significa que na próxima vez que o item for usado, ele não terá nenhum efeito. (Intervalo: 0-1; Suporte de precisão: 0,01)
Ling	Qi	Qi aumentado usando/consumindo este item. (Intervalo: 0-999.999.999)
Nutrition	Valor nutricional	Fome reabastecida consumindo este item. (Intervalo: 0-100)
Water	Sede	Sede reabastecida consumindo este item. (Intervalo: 0-100)
PracticeNutrition	Energia	Vigor reabastecido ao consumir este item. (Intervalo: 0-9.999)
DiscipleOnly	Apenas eficaz para discípulos internos	Se o item é efetivo apenas para Discípulos Internos.
DanModifier	Efeito de elixir	Efeitos Especiais obtidos ao consumir o item.
Color	Cor do ícone	Cor do ícone do item do item
EquipLable	Tipo de equipamento	Tipo de equipamento
EquipModel	Modelo	Modelo de Equipamento
Sex	Gênero	Requisito de gênero para usar o Gear.
TemperatureMaxAdd	Temperatura mais alta adequada	O valor de ajuste básico que o Gear tem para a temperatura máxima adequada do personagem. O valor real tem a ver com a qualidade do equipamento e os materiais usados. (Intervalo: -999-999)
TemperatureMinAdd	Temperatura mais baixa adequada	O valor de ajuste básico que o Gear tem para a temperatura mínima adequada do personagem. O valor real tem a ver com a qualidade do equipamento e os materiais usados. (Intervalo: -999-999)
WeaponKind	Arma	Tipo de arma
Damage	Dano base	O dano base da arma. O valor real tem a ver com a qualidade do equipamento e os materiais usados. (Intervalo: 1-999)
AttackSpeed	Velocidade de ataque	A taxa de ataque da arma por segundo. (Intervalo: 0,3-3)
AttackRange	Alcance do ataque	A distância máxima na qual a arma pode atacar. Unidade: Azulejos. (Intervalo: 1,5-20)
Difficulty	Dificuldade de estudo	A dificuldade do Manual: quanto maior a dificuldade, mais inspiração será necessária para seu estudo, mas a Realização, por sua vez, também será maior. (Intervalo: 0-999)
EsotericaType	Tipo manual	O Tipo do Manual.
MaxStack	Multiplicador	
Duration	Duração	A quantidade de tempo que o Efeito Especial dura. Unidade: Segundo. (Intervalo: -1 ou 1-999.999, se o valor for -1, então terá efeito perpétuo)
Skill	Bônus de Habilidade	Bônus de Estatísticas de Habilidade adicionais causado pelo Efeito Especial.
Property	Bônus de Estatística	Bônus de estatísticas adicionais causado pelo efeito especial.
GLevel	Estado	Estado obrigado a estudar o Manual.
DanLevel	Nível de Alquimia	Habilidade de alquimia necessária para inventar o elixir. (Intervalo: 1-20)
DanCount	Quantidade de alquimia	A quantidade teórica produzida ao preparar o Elixir. A quantidade real depende do nível de Alquimia da pessoa que está inventando e da área em que foi inventada. Ao inventar, o valor real será de pelo menos 1. (Intervalo: 0,1-999)
DanRate	Dificuldade de Alquimia	A dificuldade de preparar o elixir. Quanto maior a dificuldade, mais difícil é inventar com sucesso.
ELearn	Manuais de Aprendizagem	Como Preparar o Elixir pode ser aprendido em um Manual
WorldDrop	Drop Mundial	É possível obter o Elixir ativando uma recompensa aleatória de Elixir durante a Aventura.
Businessman	Vendido por comerciantes	O Elixir pode ser comprado de um Mercador Viajante.
InitialUnlock	Destravamento inicial	O Elixir pode ser inventado por qualquer pessoa por padrão.
DropCount	Quantidade de Drop	A quantidade de Elixir obtida durante a Aventura.
DropRate	Taxa de queda	A chance de obter o elixir quando uma recompensa aleatória de elixir é acionada durante a aventura.
SellPrice	Preço do item	O preço para comprar o item do Comerciante Viajante.
SellCount	Quantidade em Estoque	Quantos Elixires o Mercador Viajante está carregando ao mesmo tempo.
StuffSelect	Materiais Secundários	Escolha os materiais para fazer o item.
EsoDropRate	Taxa de Drop	A chance de obter o Manual quando uma recompensa aleatória do Manual é acionada durante a Aventura.
StartUnlock	Desbloqueado por padrão	Obtido automaticamente ao iniciar um novo jogo.
EsoWorldDrop	Drop Mundial	É possível obter o Manual quando uma recompensa aleatória do Manual é acionada durante a Aventura.
EquipModifier	Efeito do Equipamento	Os efeitos especiais concedidos ao equipar o equipamento.
EsoModifier	Efeito Manual	Os Efeitos Especiais concedidos pelo estudo do Manual.
MaterialSelect	Material Principal	Os tipos de Materiais Principais necessários para fazer o Item.
BuildSelect	Estrutura de Produção	Os edifícios necessários para criar o item.
MainCostItemCount	Quantidade de material principal	A quantidade base de Materiais Principais necessários para fazer o Item. (Intervalo: 1-999)
DanSelect	Receita de Elixir	A Fórmula do Elixir que pode ser aprendida estudando o Manual.
ModSelect	Modelo	O modelo da arma.
Ignorelimit	Ignorar limite	Se o bônus de nível de habilidade ignora o limite de habilidade de nível 20.
PpTypeSelect	Tipo	O tipo de bônus do Stat.
