拜祖师	Culto aos Ancestrais
房间	Sala
仓库	Armazém
木伐木斧	Machado de Madeira
熊皮休闲衣衫	Camisa Casual de Pele de Urso
兔皮修行下裳	Calças de Cultivador de Pele de Coelho
牛皮休闲衣衫	Camisa Casual de Pele de Touro
靛蓝布休闲下裳	Calças Casuais de Tecido Índigo
巧夺天工的神兵，融合制作者的心血与灵感而成。	Arma divina engenhosamente feita, fundindo o esforço vital e a inspiração do criador.
饮血	Espada de Aço Negro
狼皮薄衣衫	Camisa Fina de Pele de Lobo
兔皮薄下裳	Calças Finas de Pele de Coelho
灵木锤	Maça de Madeira Espiritual
熊皮	Pele de Urso
万象赤血障	Cobertura de Sangue Carmesim de Todos os Fenômenos
牛皮薄衣衫	Camisa Fina de Pele de Touro
蓝布休闲下裳	Calças Casuais de Tecido Azul
火铜锭	Lingote de Cobre Ígneo
炽凰天心镇	Torre do Coração Celestial  em Chamas
书	Escrito
碧光鬼书	Volume Fantasma Opalescente
靛蓝布休闲衣衫	Camisa Casual de Tecido Índigo
狼皮修行下裳	Calças de Cultivador de Pele de Lobo
寒精锤	Maça de Essência de Gelo
佩戴者可以提高御器技能等级。	Aumenta o nível de habilidade de Maestria em Artefatos do portador.
神剑符	Talismã da Espada Divina
莲藕	Raiz de Lótus
壬水炼心藕	Raiz de Lótus de Mente Refinada em Cascata
棕石砖	Bloco de Pedra Marrom
麒麟极光圭	Kirin Aurora  Rochedo
虎皮薄衣衫	Camisa Fina de Pele de Tigre
红布薄下裳	Calças Finas de Tecido Vermelho
木锤	Maça de Madeira
黄布休闲衣衫	Camisa Casual
苍龙甲	Marinagon  Armadura
癸水极光藕	Raiz de Lótus Aurora Equável
蓝布修行衣衫	Uniforme de Seita de Tecido Azul
牛皮修行下裳	Calças de Cultivador de Pele de Touro
木环	Chakram de Madeira
垃圾	Lixo
镇岳五色毒	Veneno Prismático da Queda da Colina
金丝灵木	Madeira Dourada
长生七魄木	Madeira dos Sete Almas da Longevidade
黑布薄衣衫	Camisa Fina de Tecido Preto
麒麟磨骨碑	Selo de Trituração de Ossos de Kirin
虎皮厚制衣衫	Camisa de Inverno
万里御	Roupas de Marcha
野猪皮修行衣衫	Uniforme de Seita de Pele de Javali
可以提高炎热抵抗的符咒。	Talismã que aumenta a resistência ao calor.
避暑符	Talismã Resistente ao Calor
大理石砖	Bloco de Mármore
行疆落樱阙	Estela de Queda de Cerejeira  Itinerante
香菇	Cogumelo
长生白骨菇	Cogumelo de Ossos Brancos da Longevidade
琴谱	Partitura
长生三清谱	Partitura dos Três Claros da Longevidade
火精剑	Espada de Essência de Fogo
天火长青要诀	Instrução Eterna do Fogo Celestial
使头脑清明，提高学习能力。	Usado para clarear a mente e melhorar as habilidades de aprendizado.
文昌符	Talismã de Prosperidade Civil
铁矿石	Minério de Ferro
霹雳神圭	Selo Divino do Trovão
棕石	Pedra Marrom
天府流光石	Selo do Tempo da Morada Celestial
熊皮薄衣衫	Camisa Fina
戊己降龙御	Camisa de Subjugação Central do Dragão
花布薄衣衫	Camisa Fina de Tecido Estampado
寒晶弓	Arco de Cristal de Gelo
熊皮修行衣衫	Uniforme de Seita de Pele de Urso
