梧桐木料	Madeira de Wutong
长生玄光柱	Coluna do Brilho Escuro da Longevidade
云浪斩仙柱	Coluna da Onda de Nuvens de Extermínio de Imortais
碧光极光桩	Pilar do Aurora Opalescente
长生魂柱	Coluna da Alma da Longevidade
青龙驱邪柱	Coluna de Expulsão de Mal do Dragão Azul
碧光辟邪桩	Pilar de Defesa contra o Mal do Brilho Esmeralda
甲乙阴魂桩	Pilar de Aparição Jia-Yi
灵木料	Madeira Espiritual
长生炼魔木	Coluna de Fusão de Demônios da Longevidade
苍龙柱	Coluna de Madeira do Dragão Marino
落影斩魔桩	Coluna de Extermínio de Demônios das Sombras Caídas
甲乙恶魄木	Madeira de Alma Maléfica Jia-Yi
苍龙万骨柱	Coluna de Todos os Ossos do Dragão Marino
