白布薄衣衫	White Fabric Thin Shirt
白布休闲下裳	White Fabric Casual Pants
靛蓝布修行下裳	Indigo Fabric Cultivator Pants
棕石锤	Brownstone Mace
蓝布修行衣衫	Blue Fabric Sect Uniform
紫布修行下裳	Purple Fabric Cultivator Pants
铁锤	Iron Mace
虎皮修行衣衫	Tiger Hide Sect Uniform
紫布薄下裳	Purple Fabric Thin Pants
棕石长枪	Brownstone Spear
紫布修行衣衫	Purple Fabric Sect Uniform
牛皮薄下裳	Bull Hide Thin Pants
鹿蜀皮薄衣衫	Lushu Hide Thin Shirt
鹿蜀皮薄下裳	Lushu Hide Thin Pants
巧夺天工的神兵，融合制作者的心血与灵感而成。	
青霜	Ice Crystal Blade
蜚皮休闲衣衫	Fei Hide Casual Shirt
蜚皮薄下裳	Fei Hide Thin Pants
龙雀	Igneocopper Mace
妖韧皮薄衣衫	Tough Demon Hide Thin Shirt
妖韧皮休闲下裳	Tough Demon Hide Casual Pants
梧桐木环	Parasol Wood Chakram
鹿蜀皮修行下裳	Lushu Hide Cultivator Pants
梧桐木弓	Parasol Wood Bow
鹿蜀皮休闲衣衫	Lushu Hide Casual Shirt
火精剑	Fire Essence Sword
灵石弓	Spirit Stone Bow
妖韧皮休闲衣衫	Tough Demon Hide Casual Shirt
妖韧皮薄下裳	Tough Demon Hide Thin Pants
流星	Goldwood Spear
鹿蜀皮修行衣衫	Lushu Hide Sect Uniform
金丝木弓	Goldwood Bow
玉石刀	Jade Blade
妖韧皮修行下裳	Tough Demon Hide Cultivator Pants
棕石剑	Brownstone Sword
妖韧皮修行衣衫	Tough Demon Hide Sect Uniform
梧桐木锤	Parasol Wood Mace
铁环	Iron Chakram
灵木剑	Spiritwood Sword
鹿蜀皮休闲下裳	Lushu Hide Casual Pants
千韧弓	Goldwood Bow
射魄	Ice Crystal Bow
镇狱	Spiritwood Mace
牛皮薄衣衫	Bull Hide Thin Shirt
黄布薄下裳	Yellow Fabric Thin Pants
花布薄衣衫	Patterned Fabric Thin Shirt
虎皮薄下裳	Tiger Hide Thin Pants
黄布修行衣衫	Yellow Fabric Sect Uniform
寒晶刀	Ice Crystal Blade
角色出生点	Born Point
逻辑点	Logic Point
木栅栏	Wood Fence
木桌子	Wood Table
灵石炉灶	Spirit Stone Stove
木水缸	Wood Water Vat
木灯笼	Wood Lantern
木置物台	Wood Display
木龙旗	Wood Dragon Flag
矢车菊	Cornflower
上古残骸	Ancient Remains
骆驼刺	Camelthorn
冀	Ji
明	Ming
富	Fu
静枫	Jingfeng
靳	Jin
菁	Jing
诸葛	Zhuge
民	Min
博	Bo
郏	Jia
凝荷	Ninghe
闾丘	Lüqiu
如巧	Ruqiao
晁	Chao
梅	Mei
安	An
蒙	Meng
清愁	Qingchou
墨	Mo
锦	Jin
达	Da
曼寒	Manhan
狄	Di
茜	Qian
堵	Du
国	Guo
裴	Pei
流素	Liusu
史定	Shiding
慕容	Murong
南春	Nanchun
姬	Ji
清风	Qingfeng
彬	Bin
云	Yun
浅画	Qianhua
学智	Xuezhi
能	Nai
绍	Shao
身躯	Body 
混元臂·左	Mixed Element Arm - Left
混元臂·右	Mixed Element Arm - Right
天盾腿·左	Heavenly Shield Leg - Left
天盾腿·右	Heavenly Shield Leg - Right
丁	Ding
雅绿	Yalü
奇文	Qiwen
蔚	Yu
莉	Li
桂	Gui
中	Zhong
军	Jun
暨	Ji
柔	Rou
武	Wu
承	Cheng
磊	Lei
伍	Wu
纯	Chun
卢	Lu
飞昂	Feiang
曜瑞	Yaorui
余	Yu
宁	Ning
方	Fang
夜蓉	Yerong
古	Gu
恨风	Henfeng
海	Hai
东方	Dongfang
丽	Li
凤	Feng
振国	Zhenguo
池	Chi
抹萦	Moying
田	Tian
访蕊	Fangrui
刁	Diao
香月	Xiangyue
於	Yu
谈	Tan
亚	Ya
寅	Yin
鲜于	Xianyu
娟	Juan
卫	Wei
念寒	Nianhan
起灵	Qiling
吉	Ji
凌珍	Lingzhen
从	Cong
宏胜	Hongsheng
百里	Baili
千茉	Qianmo
仲	Zhong
怡	Yi
步	Bu
行	Xing
壤驷	Rangsi
豪	Hao
樊	Fan
娅	Ya
祖	Zu
保	Bao
义	Yi
公冶	Gongye
倩	Qian
慕	Mu
生	Sheng
舄	Xi
婉	Wan
信	Xin
元	Yuan
熊	Xiong
盛	Sheng
糜	Mi
尔珍	Erzhen
有	You
齐	Qi
新柔	Xinrou
习	Xi
贝	Bei
栾	Luan
壮	Zhuang
索	Suo
榕	Rong
