talk	notarget	int	string	float	thing
BabySleep1	Xiuxiu wants to sleep.				
BabySleep2	Xiuxiu is tired.				
BabySleep3	Xiuxiu is going to sleep.				
BabyPandaTalk	Xiuxiu made progress again.				
BabySilly	Xiuxiu wants to play with Xianxian.				
BabyFollow1	Follow Xianxian.				
BabyFollow2	Go to Xianxian.				
Roll	Roll and roll.				
Chop	Exercise.				
Happy	Happy.				
PlayBB	I am awesome.				
NotEat_Item_Bamboo	I won't eat bamboo.				I won't eat bamboo.
NotEat_Item_BambooShoot	I won't eat bamboo shoots.				I won't eat bamboo shoots.
WannaEat_Item_Bamboo	I want to eat bamboo.				I want to eat bamboo.
WannaEat_Item_BambooShoot	I want to eat bamboo shoots.				I want to eat bamboo shoots.
DoTalkEat_Item_Bamboo	I'm eating bamboo.				I'm eating bamboo.
DoTalkEat_Item_BambooShoot	I'm eating bamboo shoots.				I'm eating bamboo shoots.
CantEat_Item_Bamboo	No bamboo to eat.				No bamboo to eat.
CantEat_Item_BambooShoot	No bamboo shoots to eat.				No bamboo shoots to eat.
EatTogether	Eat with Xianxian.
BabyHelpPlay	Play with them.				Play with {0}.
