ID	Name	Des	InitialKey1	InitialKey2	IgnoreCombinationkeys	Lock	Type
Function ID	Name	Des	Hotkey Set 1	Hotkey Set 2	Ignore key combination conflict	Locked (cannot be modified by palyers)	Category
Up	Cima		W	UpArrow	LeftAlt		Jogador
down	Baixo		S	DownArrow	LeftAlt		Jogador
left	Esquerda		A	LeftArrow	LeftAlt		Jogador
right	Direita		D	RightArrow	LeftAlt		Jogador
SpeedP	Diminuir Vel. Jogo		Q				Jogador
SpeedN	Aumentar Vel. Jogo		E				Jogador
GamePauseOrPlay	Pausar		Space				Jogador
Attack	Ataque		BackQuote				Personagem
RunAway	Fugir		LeftControl+BackQuote				Personagem
Moveto	Mover Para		V				Personagem
StopJob	Interromper	Interrupts the current action (some actions cannot be interrupted).	LeftAlt+S				Personagem
Work	Trabalho		T				Menu
School	Seita		G				Menu
World	Map. Mundo		M				Menu
Help	Ajuda		F10				Menu
AttributePanel	Estatus		C				Personagem
MoodPanel	Social/Humor		F				Personagem
HealthPanel	Saúde		H				Personagem
PracticePanel	Cultivo		X				Personagem
EquipmentPanel	Equipmento		Z				Personagem
Interaction	Interação 1-9	F1-F9				1	Personagem
RotBuilding	Rotac. Edifício		R				Área
RepeatBuild	Copi. Edifício		LeftControl+V				Área
Harvest	Colher		LeftControl+G				Área
Log	Cortar		LeftControl+X				Área
Mine	Minerar		LeftControl+T				Área
Cutoff	Limpar Área		LeftControl+E				Área
Dismantle	Demolir		LeftControl+C				Área
RemoveFloor	Remover Andar		LeftControl+B				Área
Explore	Área de Pesquisa		LeftControl+F				Área
Melting	Fundir Itens		LeftControl+Y				Área
Hunting	Caçar Animais		LeftControl+H				Área
CancelCMD	Cancelar Ordem		LeftControl+D				Área
BuildPanel	Construção		B				Menu
SearchPanel	Pesquisa		Y				Menu
ProducePanel	Produção		P				Menu
SwichNpc	Mudar Alvo		Tab				Jogador
33	Equipe Alvo	L-Ctrl + 1-9				1	Jogador
34	Selec. Equipe	1-9				1	Jogador
36	Múltiplo	L-Shift				1	Jogador
Story1	Avt. Opção 1		Alpha1				Aventura
Story2	Avt. Opção 2		Alpha2				Aventura
Story3	Avt. Opção 3		Alpha3				Aventura
Story4	Avt. Opção 4		Alpha4				Aventura
Story5	Avt. Opção 5		Alpha5				Aventura
Story6	Avt. Opção 6		Alpha6				Aventura
Story7	Avt. Opção 7		Alpha7				Aventura
Story8	Avt. Opção 8		Alpha8				Aventura
Story9	Avt. Opção 9		Alpha9				Aventura
QuickSave	Salvar Rápido		F9				Sistema
ShowOrHide	Ocultar UI		F11				Sistema
37	Sistema Menu	Esc				1	Sistema
Zhen	Formação		N				Menu
MinMap	Minimap		Comma				Menu
ShowElement	Cinco Elementos		L				Menu
Power	Poder		K				Menu
Miwen	Secreto		U				Menu
IllHand	Enciclopédia		O				Menu
