蜚皮薄衣衫	Fei Hide Thin Shirt
蜚皮修行下裳	Fei Hide Cultivator Pants
天柱石长枪	Holy Stone Spear
角色出生点	Born Point
逻辑点	Logic Point
灵石七杀神碑	Spirit Stone Stele of Slaughter
上古残迹	Ancient Ruins
上古残骸	Ancient Remains
灵石巨兽骨雕	Spirit Stone Behemoth Bone Carving
虬	Qiu
胤	Yin
身躯	Body 
混元臂·左	Mixed Element Arm - Left
混元臂·右	Mixed Element Arm - Right
天盾腿·左	Heavenly Shield Leg - Left
天盾腿·右	Heavenly Shield Leg - Right
六合玄通尺	Directional Concord Measure
撼渊腿·左	Wild Shock Leg - Left
两界通圣手·左	Realm Cross Hand - Left
无形手·左	Ethereal Hand - Left
无形手·右	Ethereal Hand - Right
焚神掌·左	Divine Blaze Palm - Left
冻魄掌·右	Frozen Soul Palm - Right
千触邪臂	Granular Arms
玄龟甲	Dark Turtle Shell
六御摘雷手·右	Void Thundercatch Hand - Right
吞灵灭劫圈	Qi Devourer Circle
妖御玄鳞	Demonshield Scale
虚化之体	Illusion Body
洞真之体	Perception Body
外骨邪甲	Bony Shell
真阳玲珑心	Luster of Yang Heart
玄阴琉璃心	Glaze of Yin Heart
天龙脊	Heavenly Dragon Spine
蛮神心	Barbarian God Heart
蛮极战意	Barbarian Will
八极之眼	Polar Eyes
太虚妖识	Illusion Will
万兽归息	Bestial Breath
缪	Miao
行	Xing
许	Xu
羽倾	Yuqing
云	Yun
武	Wu
不朽的痛苦	Immortal pain
不朽？不过是末日的开端，永翳的阴影，毁灭的前驱……	Immortal? It is just the beginning of Armageddon, shadow of everlasting shade, front body of oblivion...
成为不朽就意味着一切的衰亡……这个轮回，就从你开始！	Being immortal means all others' failure...This reincarnation, begins from you.
