拜祖师	Reverenciando os Ancestrais
房间	Quarto
仓库	Armazém
木伐木斧	Machado de Corte de Madeira
熊皮休闲衣衫	Camisa Casual de Couro de Urso
兔皮修行下裳	Calças de Cultivo de Couro de Coelho
牛皮休闲衣衫	Camisa Casual de Couro de Touro
靛蓝布休闲下裳	Calças Casuais de Tecido Índigo
巧夺天工的神兵，融合制作者的心血与灵感而成。	Arma divina de artesanato magistral, forjada com o esforço e a inspiração de seu criador.
饮血	Espada de Aço Negro
狼皮薄衣衫	Camisa Fina de Couro de Lobo
兔皮薄下裳	Calças Finas de Couro de Coelho
灵木锤	Maça de Madeira Espiritual
熊皮	Couro de Urso
万象赤血障	Cobertura de Sangue Carmesim dos Dez Mil Fenômenos
牛皮薄衣衫	Camisa Fina de Couro de Touro
蓝布休闲下裳	Calças Casuais de Tecido Azul
火铜锭	Barra de Cobre Ígneo
炽凰天心镇	Torre do Coração Celestial em Chamas
书	Escritura
碧光鬼书	Volume Fantasma Opalescente
靛蓝布休闲衣衫	Camisa Casual de Tecido Índigo
狼皮修行下裳	Calças de Cultivo de Couro de Lobo
寒精锤	Maça de Essência de Gelo
佩戴者可以提高御器技能等级。	Aumenta o nível da habilidade de Maestria em Artefatos do usuário.
神剑符	Talismã da Espada Divina
莲藕	Raiz de Lótus
壬水炼心藕	Raiz de Lótus Refinadora da Mente (Água Ren)
棕石砖	Bloco de Pedra Marrom
麒麟极光圭	Jade Duplo da Aurora do Qilin
虎皮薄衣衫	Camisa Fina de Couro de Tigre
红布薄下裳	Calças Finas de Tecido Vermelho
木锤	Maça de Madeira
黄布休闲衣衫	Camisa Casual de Tecido Amarelo
苍龙甲	Robe do Dragão Azul
癸水极光藕	Raiz de Lótus da Aurora (Água Gui)
蓝布修行衣衫	Uniforme de Seita de Tecido Azul
牛皮修行下裳	Calças de Cultivo de Couro de Touro
木环	Chakram de Madeira
垃圾	Lixo
镇岳五色毒	Pó Prismático da Queda da Montanha
金丝灵木	Madeira Espiritual Dourada
长生七魄木	Estaca das Sete Almas da Longevidade
黑布薄衣衫	Camisa Fina de Tecido Preto
麒麟磨骨碑	Pedra de Trituração Óssea do Qilin
虎皮厚制衣衫	Camisa de Inverno de Couro de Tigre
万里御	Roupas de Marcha
野猪皮修行衣衫	Uniforme de Seita de Couro de Javali
可以提高炎热抵抗的符咒。	Talismã usado para aumentar a resistência ao calor.
避暑符	Talismã de Resistência ao Calor
大理石砖	Bloco de Mármore
行疆落樱阙	Torre da Jornada das Cerejeiras Caídas
香菇	Cogumelo
长生白骨菇	Cesto de Ossos Brancos da Longevidade
琴谱	Partitura
长生三清谱	Partitura das Três Purezas da Longevidade
火精剑	Espada da Essência de Fogo
天火长青要诀	Instrução Eterna do Fogo Celestial
使头脑清明，提高学习能力。	Usado para clarear a mente e melhorar a capacidade de aprendizado.
文昌符	Talismã de Prosperidade Acadêmica
铁矿石	Minério de Ferro
霹雳神圭	Estela Divina do Trovão
棕石	Pedra Marrom
天府流光石	Placa do Tempo da Morada Celestial
熊皮薄衣衫	Camisa Fina de Couro de Urso
戊己降龙御	Robe de Subjugação do Dragão Central
花布薄衣衫	Camisa Fina de Tecido Estampado
寒晶弓	Arco de Cristal de Gelo
熊皮修行衣衫	Uniforme de Seita de Couro de Urso
花布修行下裳	Calças de Cultivo de Tecido Estampado
玄铁锤	Maça de Aço Negro
寒晶锭	Barra de Cristal de Gelo
惊波磨骨珏	Selo de Trituração Óssea Turquesa
三才大日枝	Estaca do Grande Sol dos Três Talentos
兔皮修行衣衫	Uniforme de Seita de Couro de Coelho
牛皮薄下裳	Calças Finas de Couro de Touro
佩戴者可以提高抵御水属性伤害之力。	Aumenta a resistência do usuário a dano do atributo Água.
水甲符	Talismã de Armadura Aquática
万里落影镇	Estela das Sombras Caídas da Marcha
木角料	Retalho de Madeira
青龙圣镖	Prego Sagrado do Dragão Azul
蓝布薄衣衫	Camisa Fina de Tecido Azul
红布休闲下裳	Calças Casuais de Tecido Vermelho
棉花	Algodão
碧光白骨线	Linha de Ossos Brancos Opalescente
虎皮休闲下裳	Calças Casuais de Couro de Tigre
极光甲	Armadura da Aurora
黑布薄下裳	Calças Finas de Tecido Preto
棕石长枪	Lança de Pedra Marrom
兔皮	Couro de Coelho
镇岳恶魄障	Barreira de Alma Maligna da Queda da Montanha
蛇蛋	Ovo de Cobra
坤元万魂珠	Prole de Todas as Almas Terrenas
野猪皮薄下裳	Calças Finas de Couro de Javali
玄机气摄密卷	Pergaminho Secreto de Absorção de Qi Engenhoso
灰石砖	Bloco de Pedra Cinza
行疆天璇碑	Pedra Merak da Jornada
白布清凉下裳	Calças de Verão
碧光乾坤御	Armadura do Universo Opalescente
狼皮薄下裳	Calças Finas de Couro de Lobo
木弓	Arco de Madeira
狼皮	Couro de Lobo
坤元障	Barreira Terrena
龟蛋	Ovo de Tartaruga
戊土荡魔蛋	Conta de Exorcismo do Mal Sombrio (Terra Wu)
观音土	Argila Guanyin
天心庇世灵宝	Tesouro Numinoso do Coração Celestial Oculto
莲花炼心菇	Cesto de Lótus Refinador da Mente
灵晶角料	Retalho de Cristal Espiritual
六合钉	Sucata das Seis Direções
多宝琢玉秘传	Método Secreto de Lapidação de Jade Duobao
己土阴魂罩	Couro de Aparição Sombria
狼皮厚制衣衫	Camisa de Inverno de Couro de Lobo
腾岳五行甲	Vestes dos Cinco Elementos da Ascensão da Montanha
花布薄下裳	Calças Finas de Tecido Estampado
棕石锤	Maça de Pedra Marrom
木料	Madeira
苍龙五色柱	Coluna Prismática do Dragão Azul
