阳鱼	Peixe Yang
阴鱼	Peixe Yin
阳眼	Olho Yang
阴眼	Olho Yin
蜚皮休闲衣衫	Camisa Casual de Pele de Fei
蜚皮薄下裳	Calças Finas de Pele de Fei
巧夺天工的神兵，融合制作者的心血与灵感而成.	Arma divina de habilidade incomparável, feita com o sangue e a inspiração do criador.
狂战	Faca de Madeira
梧桐神木	Árvore Sagrada de Phoenixwood
枝	Ramo
梧桐木角料	Restos de Madeira de Phoenixwood
甲乙诛神钉	Estaca Punidora de Deuses (Tipo A e B)
观音土	Terra de Guanyin
冲虚魔灵宝	Treasure Demon Numinous do Vazio
狼皮	Pele de Lobo
行疆千魂障	Barreira das Mil Almas de Jornada
天柱石	Pedra Celestial
坤元七魄镇	Pedra das Sete Almas Terrenas
垃圾	Lixo
万里饮血渣	Resíduos de Sangue de Mil Milhas
佩戴者可以从根本上提高法术威力，法术灵气消耗.	Fundamentalmente aumenta o poder dos feitiços do portador e o custo de Qi dos feitiços.
圣咒符	Talismã de Maldição Sagrada
佩戴者可以从根本上提高法宝威力，并全面提高法宝能力.	Fundamentalmente aumenta o poder dos artefatos do portador e melhora globalmente as habilidades dos artefatos.
圣剑符	Talismã da Espada Sagrada
提高饮气辟谷的效率.	Aumenta a eficiência da absorção de Qi e jejum.
饮气符	Talismã de Absorção de Qi
可以提高炼制法宝成功率的符咒.	Talismã usado para melhorar a taxa de sucesso na fabricação de artefatos.
太上通宝符	Talismã das Riquezas
角色出生点	Ponto de Nascimento do Personagem
逻辑点	Ponto Lógico
天	Céu
法道	Caminho da Lei
通	Tong
刚	Gang
宗政	Zongzheng
秋灵	Qiuling
道法源流	Origem do Taoísmo
紫霄清心咒	Feitiço de Clareza do Céu Púrpura
华山落花诀	Técnica da Flor Caindo de Hua Mountain
丙丁开天咒	Feitiço da Criação do Céu Bingding
多宝七星	Feitiço das Sete Estrelas do Tesouro
归真八极诀	Técnica dos Oito Extremos da Verdade
壬水七星	Feitiço das Sete Estrelas da Água Ren
丙丁飞星	Feitiço das Estrelas Voadoras Bingding
太上天星神雷	Relâmpago Divino da Estrela Celestial Supremo
御神化伤神雷	Relâmpago Divino da Cura do Deus
腾岳震地诀	Técnica de Tremor do Monte Teng Yue
太上通天诀	Técnica de Conexão Celestial Supremo
本源回魂诀	Técnica de Retorno da Alma Original
华山震地咒	Feitiço de Tremor da Terra de Hua Mountain
震雷天星神雷	Relâmpago Divino da Estrela Celestial do Trovão
奔烈陨星	Estrela Cadente Ardente
嵩山清心	Clareza do Coração de Mount Song
麒麟落花	Flor Caindo do Qilin
凝光甘霖真言	Verdadeiro Feitiço da Luz Condensada e da Doçura
乙木落花神雷	Relâmpago Divino da Flor Caindo de Madeira Yi
行疆镇神真言	Verdadeiro Feitiço de Contenção do Deus
现在贤先天一气诀	Técnica de Qi Original do Sábio Atual
造化落花真言	Verdadeiro Feitiço da Flor Caindo do Destino
太上飞星诀	Técnica das Estrelas Voadoras Supremo
紫薇流光咒	Feitiço da Luz Fluente de Ziwei
吾成道太初，观无极二分，化天地万物，有感于心，开辟道法修行之路。本望生灵能超脱天地之锢…	Alcancei a imortalidade quando o tempo começou, observei o caos se separar, todas as coisas formadas, criei leis para a prática espiritual. Meu desejo era que os seres vivos pudessem se libertar da prisão do céu e da terra…
然世间因修行超脱者寡，沉沦者众……流毒自吾而始…便由吾而终罢……	No entanto, há poucos que conseguem se libertar por meio da prática espiritual, a maioria permanece caída... Como o veneno começa comigo, também terminará comigo.
