丹霞道册-百炼	Manual Danxia - Têmpera
丹霞秘册-琢玉	Manual Secreto Danxia - Polimento de Jade
丹霞道册-鬼手	Manual Danxia - Mão Fantasma
灵晶	Cristal Espiritual
晶晶	Tablete
灵石	Pedra Espiritual
晶体矿	Minério Cristalino
丹霞秘册-百炼	Manual Secreto Danxia - Têmpera
妄化之册	Tomo da Ilusão
五色金莲	Lótus Dourada de Cinco Cores
五色妄荷	Lótus Prismática
雀喙弓	Arco de Bico de Pardal
流星异骨弓	Arco de Ossos Estranhos da Estrela Cadente
蛮牛角剑	Espada de Chifre de Touro Selvagem
三才辟邪剑	Espada dos Três Talentos Expulsora do Mal
豹齿长枪	Lança de Presa de Leopardo
妖枪	Lança Demoníaca
甲壳环	Chakram de Carapaça
五行赤血环	Chakram de Sangue Vermelho dos Cinco Elementos
麋踵锤	Marreta de Casco de Alce
飞羽魂锤	Marreta da Alma da Pena Voadora
兔皮手帕	Lenço de Pele de Coelho
坤元道德帛	Tecido Moral de Kunyuan
黄布香囊	Saquinho Perfumado de Tecido Amarelo
苍龙天心囊	Bolsa do Coração Celestial do Dragão Azul
兔皮薄下裳	Calças Finas de Pele de Coelho
腾岳七魄甲	Armadura das Sete Almas da Montanha Ascendente
玉石环	Chakram de Jade
戊土恶魄环	Chakram da Alma Maligna do Solo Wu
清心草	Erva da Pureza
甲乙紫薇花	Flor de Crape Myrtle Jia-Yi
玉髓	Essência de Jade
冲虚诛神镇	Selo de Punição Divina da Ilusão
兔皮	Pele de Coelho
九宫炽魂革	Barreira da Alma Ardente dos Nove Palácios
野猪皮	Pele de Javali
坤元飞羽障	Barreira da Pena Voadora de Kunyuan
蜚之皮	Pele de Fei
天岭涤心障	Barreira Purificadora da Mente da Cordilheira Celestial
花布厚制下裳	Calças de Inverno de Tecido Floral
苍莽落樱御	Armadura da Queda da Flor de Cerejeira Colossal
星髓锭	Barra de Núcleo Estelar
天雷异骨珏	Joia de Ossos Estranhos do Trovão Celestial
星髓	Núcleo Estelar
断岳五色珏	Joia Prismática da Montanha Despedaçada
寒精矿镐	Picareta do Espírito Gelado
惊波斩魄镐	Picareta Cortadora de Almas da Onda Surpreendente
大理石锤	Marreta de Mármore
万象万骨锤	Marreta de Todos os Fenômenos e Ossos
妖兽的韧皮	Pele Resistente da Fera Demoníaca
紫薇万魂障	Barreira das Mil Almas de Crape Myrtle
紫布手帕	Lenço de Tecido Roxo
苍莽斩魔帕	Tecido Colossal de Extermínio Demoníaco
花布香囊	Saquinho Perfumado de Tecido Floral
青龙囊	Bolsa do Dragão Azul
金丝木环	Chakram de Madeira Dourada
甲乙环	Chakram Jia-Yi
梧桐木剑	Espada de Madeira de Parasol
甲乙流光剑	Espada do Brilho Fluente Jia-Yi
戊土饮血革	Barreira da Terra Wu que Bebe Sangue
万里诛神罩	Manto de Punição Divina das Milhas Infinitas
万里炽魂罩	Manto da Alma Ardente das Milhas Infinitas
蓝布厚制下裳	Calças de Inverno de Tecido Azul
苍莽开阳甲	Armadura Colossal de Kaiyang
断岳戮血圭	Stele de Sangue Massacrado da Montanha Despedaçada
天雷霓光金	Ouro de Luz de Arco-Íris do Trovão Celestial
灵晶矿镐	Picareta de Cristal Espiritual
驱邪镐	Picareta Expulsora do Mal
灵晶锤	Marreta de Cristal Espiritual
落影千光锤	Marreta das Mil Luzes das Sombras Caídas
己土摇光罩	Barreira da Luz Tremeluzente da Terra Ji
野猪皮手帕	Lenço de Pele de Javali
阴魂绢	Lenço Fantasmagórico
白布香囊	Saquinho Perfumado de Tecido Branco
苍龙荡魔囊	Bolsa do Dragão Azul Exorcizadora do Mal
野猪皮薄下裳	Calças Finas de Pele de Javali
戊己紫云甲	Armadura da Nuvem Roxa Wu-Ji
天柱石环	Chakram de Pedra do Pilar Celestial
行疆妖环	Chakram Demoníaco do Caminho
长生天心花	Flor do Coração Celestial da Longevidade
镇岳炼心珏	Joia do Refinamento do Coração da Montanha Sagrada
坤元圣障	Barreira Sagrada de Kunyuan
麒麟炽魂罩	Manto da Alma Ardente do Qilin
红布厚制衣衫	Camisa de Inverno de Tecido Vermelho
苍莽御	Manto Colossal
熊皮厚制下裳	Calças de Inverno de Pele de Urso
七星道德甲	Armadura Moral das Sete Estrelas
震雷千魂镇	Selo das Mil Almas do Trovão Estrondoso
断岳碑	Stele da Montanha Despedaçada
梧桐木矿镐	Picareta de Madeira de Parasol
苍莽万骨镐	Picareta de Ossos Infinitos Colossal
行疆环空罩	Barreira do Vazio Circular do Caminho
