仓库	Armazém
房间	Quarto
狼皮休闲衣衫	Camisa Casual de Pele de Lobo
狼皮修行下裳	Calças de Cultivador de Pele de Lobo
黄布修行衣衫	Camisa de Cultivador de Tecido Amarelo
白布修行下裳	Calças de Cultivador de Tecido Branco
肉干	Carnes Secas
灵石墙	Parede de Pedra Espiritual
灵石门	Porta de Pedra Espiritual
灵石床	Cama de Pedra Espiritual
灵石制药桌	Mesa de Medicamentos de Pedra Espiritual
公兔子	Coiote Masculino
母鸡	Galinha Fêmea
公鸡	Galo
雄龟	Cuidador Masculino
雌龟	Cuidadora Fêmea
雌青蛙	Frog Feminino
雄青蛙	Frog Masculino
<font color=MYCOLOR>空鹏云</font>舔了下嘴唇.	Kong Pengyun lambeu os lábios.
1天 08:10	1d 08:10
<font color=MYCOLOR>空鹏云</font>看着旁边的<font color=OBJCOLOR>野草</font>笑起来。	Kong Pengyun olhou para a grama ao lado e sorriu.
1天 12:38	1d 12:38
空	Kong
鹏云	Pengyun
惊魂初定	Acalmando o susto
野外的水	Água no campo
胜	Sheng
郏	Jia
凡白	Fanbai
乌	Wu
乐	Yue
<font color=MYCOLOR>越心</font>哼起了小曲.	Yue Xin começou a cantarolar uma melodia.
1天 12:53	1d 12:53
越	Yue
心	Xin
光赫	Guanghe
邱	Qiu
念芹	Nianqin
存档写入完成	Jogo salvo
食物储量不足	Reservas de comida insuficientes
药物储量不足	Reservas de medicamentos insuficientes
越心感到危险	Yue Xin sentiu perigo
鬼手纲要	Esboço das Mãos Demoníacas
曳影宝典	Livro da Sombra Rápida
少量的	Quantidade Pequena
迅击	Golpe Rápido
迅影	Sombra Rápida
气摄	Controle do Qi
化伤术	Técnica de Cura de Ferimentos
大衍神算	Cálculo Derivado
天道神丹	Elixir Divino do Caminho Celestial
天道神器	Artefato Divino do Caminho Celestial
化形神农	Transformação Espiritual de Shennong
