野猪皮	Pele de Javali
戊己云浪障	Cobertura da Nuvem do Mar Central
蜚之皮	Pele de Fei
万骨障	Cobertura de Todos os Ossos
兔皮厚制衣衫	Camiseta de Inverno
镇岳极光衫	Camiseta Aurora da Queda da Colina
红布厚制下裳	Calças de Inverno de Tecido Vermelho
苍龙荡魔御	Armadura Marinagon Exorcizando Demônios
兔皮	Pele de Coelho
坤元流光革	Cobertura do Tempo Terrestre
镇岳斩仙障	Barreira de Matar Imortais da Queda da Colina
麒麟七杀障	Cobertura Kirin das Sete Mortes
熊皮厚制衣衫	Camiseta de Inverno de Pele de Urso
万里霓光衫	Robe Neon Light Marching
狼皮厚制下裳	Calças de Inverno de Pele de Lobo
己土屠神衣	Camiseta de Abate de Deus Central
