灵石灯柱	Spirit Stone Lamp Post
金丝木小方桌	Goldwood Square Table
金丝木法座	Goldwood Qi Cushion
角色出生点	Character Spawn Point
寒精太玄冰柱	Ice Essence Ever-Ice Pillar
天柱石钟	Holy Stone Bell
寒精妖刑架	Ice Essence Demonic Rack
玉石栅栏	Jade Fence
灵晶栅栏	Spirit Crystal Fence
水生灵树	Aqua Spirit Tree
天柱石盘龙座	Holy Stone Coiled Dragon Throne
天柱石剑心玉莲	Holy Stone Swordheart Lotus
天柱石假山-叠嶂	Holy Stone Rock Garden (Hill)
玉树	Immortal Tree
天柱石黄龙灯台	Holy Stone Dragon Lampstand
天柱石灯柱	Holy Stone Lamp Post
天柱石灵地水池	Holy Stone Spirit Pond
天柱石八卦旗	Holy Stone Trigrams Flag
逻辑点	Logic Point
应天台	Heaven Echo Altar
共鸣	Resonate
逐应天之巅	Fight for the Top of Heaven Echo
