ID	Des	Disname
		
-1	Empty	Empty
1	Bestow the artifact with a small amount of Artifact Mastery Epiphany.	Tao Epiphany: Small
2	Bestow the artifact with a small amount of Artifact Mastery Epiphany.	Tao Epiphany: Large
3	Bestow the artifact with a small amount of Spellcraft Epiphany.	Tao Epiphany: Small
4	Bestow the artifact with a large amount of Spellcraft Epiphany.	Tao Epiphany: Large
5	Bestow the artifact with a small amount of Protection Epiphany.	Tao Epiphany: Small
6	Bestow the artifact with a large amount of Protection Epiphany.	Tao Epiphany: Large
7	Bestow the artifact with a small amount of Alchemy Epiphany.	Tao Epiphany: Small
8	Bestow the artifact with a large amount of Alchemy Epiphany.	Tao Epiphany: Large
9	Bestow the artifact with a small amount of Artifact Crafting Epiphany.	Tao Epiphany: Small
10	Bestow the artifact with a large amount of Artifact Crafting Epiphany.	Tao Epiphany: Large
11	Bestow the artifact with a novice manual of Artifact Mastery.	Secret Epiphany: [TXT]
12	Bestow the artifact with an advanced manual of Artifact Mastery.	Secret Epiphany: [TXT]
13	Bestow the artifact with an exquisite manual of Artifact Mastery.	Secret Epiphany: [TXT]
14	Bestow the artifact with a profound manual of Artifact Mastery.	Secret Epiphany: [TXT]
15	Bestow the artifact with a novice manual of Spellcraft.	Secret Epiphany: [TXT]
16	Bestow the artifact with an advanced manual of Spellcraft.	Secret Epiphany: [TXT]
17	Bestow the artifact with an exquisite manual of Spellcraft.	Secret Epiphany: [TXT]
18	Bestow the artifact with a profound manual of Spellcraft.	Secret Epiphany: [TXT]
19	Bestow the artifact with a novice manual of Protection.	Secret Epiphany: [TXT]
20	Bestow the artifact with an advanced manual of Protection.	Secret Epiphany: [TXT]
21	Bestow the artifact with an exquisite manual of Protection.	Secret Epiphany: [TXT]
22	Bestow the artifact with a profound manual of Protection.	Secret Epiphany: [TXT]
23	Bestow the artifact with a novice manual of Alchemy.	Secret Epiphany: [TXT]
24	Bestow the artifact with an advanced manual of Alchemy.	Secret Epiphany: [TXT]
25	Bestow the artifact with an exquisite manual of Alchemy.	Secret Epiphany: [TXT]
26	Bestow the artifact with a profound manual of Alchemy.	Secret Epiphany: [TXT]
