ID	Name	Desc

1	Primeira Ascensão	1 pessoa ascendeu
2	Adepto da Ascensão	3 pessoas ascenderam
3	Ascensão Frequente	5 pessoas ascenderam
4	Cultivador Renomado	10 pessoas ascenderam
5	Jovem e Inexperiente	1 aventura no total
6	Aventureiro Casual	100 aventuras no total
7	Aventureiro Especialista	500 aventuras no total
8	Mestre Aventureiro	1.000 aventuras no total
9	Primeiro Alquimista	1 prática alquímica
10	Alquimista Habilidoso	50 práticas alquímicas
11	Grande Alquimista	100 práticas alquímicas
12	Mestre Alquimista	500 práticas alquímicas
13	Primeiro Artesão	1 artefato criado
14	Artesão Habilidoso	50 artefatos criados
15	Artesão Especialista	100 artefatos criados
16	Mestre Artesão	500 artefatos criados
17	Primeiro Desenhista	1 talismã desenhado
18	Desenhista Habilidoso	50 talismãs desenhados
19	Desenhista Especialista	100 talismãs desenhados
20	Mestre Desenhista	500 talismãs desenhados
21	Primeiro Assassino	1 criatura morta
22	Assassino Profissional	100 criaturas mortas
23	Assassino Frio	500 criaturas mortas
24	Matador	1.000 criaturas mortas
25	Assassino de Cultivadores	1 cultivador morto
26	Nêmesis dos Cultivadores	100 cultivadores mortos
27	Carniceiro de Cultivadores	500 cultivadores mortos
28	Matador de Cultivadores	1.000 cultivadores mortos
29	Primeiro Buscador	1 alma procurada
30	Buscador Habilidoso	10 almas procuradas
31	Buscador Especialista	50 almas procuradas
32	Mestre Buscador	100 almas procuradas
33	Cozinheiro	10 tipos de alimentos cozidos
34	Chef	20 tipos de alimentos cozidos
35	Mestre Chef	50 tipos de alimentos cozidos
36	Um Flash de Percepção	1 peça de arte Nível VII feita
37	Fluxo de Ideias	10 peças de arte Nível VII feitas
38	Artista Talentoso	50 peças de arte Nível VII feitas
39	Uma Venda a Mais	1 viajante persuadido a participar
40	Cinco Vendas a Mais	5 viajantes persuadidos a participar
41	Dez Vendas a Mais	10 viajantes persuadidos a participar
42	Quanto Mais, Melhor	20 viajantes persuadidos a participar
43	Primeiro Leitor	1 manual aprendido através da leitura
44	Leitor Ávido	10 manuais aprendidos através da leitura
45	Erudito	50 manuais aprendidos através da leitura
46	Bibliófilo	100 manuais aprendidos através da leitura
47	Acidente Infeliz	1 discípulo falecido
48	Desgraças Nunca Vêm Sozinhas	5 discípulos falecidos
49	"Quando Chove, Transborda"	10 discípulos falecidos
50	Fragilidade da Vida	50 discípulos falecidos
51	Grande Perda	1 discípulo interno falecido
52	Perda Significativa	5 discípulos internos falecidos
53	Perda Trágica	10 discípulos internos falecidos
54	De Coração Partido	20 discípulos internos falecidos
55	Eu Sou Você	1 pessoa possuída
56	Eles São Eu	5 pessoas possuídas
57	Eu Sou Todos	10 pessoas possuídas
58	Rei da Possessão	20 pessoas possuídas
59	Piscar de Olhos	100 anos de meditação no total
60	Conforme o Tempo Passa	500 anos de meditação no total
61	Anos Esquecidos	1.000 anos de meditação no total
62	Mestre da Solidão	5.000 anos de meditação no total
63	Me Dê Sua Vida	10 anos da vida de outras pessoas roubados no total
64	Me Dê Mais Vida	50 anos da vida de outros roubados no total
65	Assim É a Vida	500 anos da vida de outros roubados no total
66	Ceifador	1.000 anos de vida de outras pessoas roubados no total
67	Dor Profunda	1 alma refinada
68	Almas Lamentadoras	10 almas refinadas
69	Fonte de Miséria	50 almas refinadas
70	Demônio	100 almas refinadas
71	Arrancador de Almas	1 alma tomada
72	Almas Frescas	10 almas tomadas
73	Procurador de Almas	50 almas tomadas
74	Mestre de Almas	100 almas tomadas
