ID	Name	Desc	EndDesc

1	Desenterrando Artefato	A luz fraca do tesouro foi vista à noite em [TXT] nos últimos dias. Diz-se que algum artefato perdido é desenterrado lá.	O artefato em [TXT] foi levado por outros.
2	Desenterrando Artefato	Um farol de luz brilhante atravessando as nuvens geralmente aparece em [TXT] nos últimos dias. Dizem que algum artefato precioso está prestes a ser desenterrado lá.	O artefato em [TXT] foi levado por outros.
3	Desenterrando Artefato	Mudanças drásticas na terra e no céu foram observadas à medida que o vento e as nuvens convergem em [TXT]. Dizem que algum artefato antigo está prestes a ser desenterrado lá.	O artefato em [TXT] foi levado por outros.
4	Desenterrando Artefato	Mudanças drásticas na terra e no céu foram observadas à medida que o vento e as nuvens convergem em [TXT]. Dizem que algum artefato antigo está prestes a ser desenterrado lá. Diz-se que devido ao efeito do selo, os arredores tornaram-se Terra Amaldiçoada do Gelo ([temperature]-150[/temperature]) e não podem ser abordados.	 O artefato em [TXT] foi levado por outros.
5	Desenterrando Artefato	Mudanças drásticas na terra e no céu foram observadas à medida que o vento e as nuvens convergem em [TXT]. Dizem que algum artefato antigo está prestes a ser desenterrado lá. Diz-se que devido ao efeito do selo, os arredores tornaram-se Terra Amaldiçoada do Inferno ([temperature]500[/temperature]) e não podem ser abordados.	 O artefato em [TXT] foi levado por outros.
6	Manifestando Caverna	Diz-se que uma misteriosa caverna pertencente a um antigo imortal desconhecido está se manifestando em [TXT].	 A Caverna Imortal em [TXT] já apareceu, e os tesouros secretos nela foram saqueados por outros cultivadores.
7	Manifestando Caverna	Diz-se que uma misteriosa caverna pertencente a um antigo imortal desconhecido está se manifestando em [TXT]. A caverna é protegida por feitiços de proteção e seu interior envolto em frieza ([temperature]-150[/temperature]), matando qualquer um que não tenha resistência a ela.	 A Caverna Imortal em [TXT] já apareceu, e os tesouros secretos nela foram saqueados por outros cultivadores.
8	Manifestando Caverna	Diz-se que uma misteriosa caverna pertencente a um antigo imortal desconhecido está se manifestando em [TXT]. A caverna é protegida por feitiços de proteção e seu interior queima com fogo ([temperature]500[/temperature]), matando qualquer um que não tenha resistência a ela.	 A Caverna Imortal em [TXT] já apareceu, e os tesouros secretos nela foram saqueados por outros cultivadores.
9	Manifestando Caverna	Diz-se que uma misteriosa caverna pertencente a um antigo imortal desconhecido está se manifestando em [TXT]. O dono da caverna era um mestre em fabricação de artefatos, que montou inúmeras armadilhas e feitiços de proteção com essa habilidade. Não se pode sobreviver e explorar a caverna sem ser proficiente em Artefato.	 A Caverna Imortal em [TXT] já apareceu, e os tesouros secretos nela foram saqueados por outros cultivadores.
10	Manifestando Caverna	Diz-se que uma misteriosa caverna pertencente a um antigo imortal desconhecido está se manifestando em [TXT]. O dono da caverna era um mestre alquimista, que montou inúmeras armadilhas e feitiços de proteção com essa habilidade. Não se pode sobreviver e explorar a caverna sem ser proficiente em Alquimia.	 A Caverna Imortal em [TXT] já apareceu, e os tesouros secretos nela foram saqueados por outros cultivadores.
11	Traços de Livro Antigo	Diz-se que um mortal havia desenterrado um livro notável que há muito se pensava estar perdido de uma tumba antiga. Mas o livro foi então passado para outros e acabou perdido no [TXT].	 O livro notável desenterrado em [TXT] foi levado por algum cultivador.
12	Desenterrando Manual	Diz-se que um cultivador encontrou pistas de um manual secreto deixado por algum antigo imortal sendo enterrado em [TXT].	 Um cultivador misterioso, favorecido pela fortuna, adquiriu o manual perdido.
