ID	Content	WholeContent	TipDesc	Desc
	Message	After merging with ID,	dicas exibirão descrições ou esclarecimentos adicionais	
1	Reservas alimentares insuficientes.	Reservas alimentares insuficientes.		
2	Reservas de medicamentos insuficientes.	Reservas de medicamentos insuficientes.		
3	Reservas de resistência insuficientes.	Reservas de resistência insuficientes.		
4	O verão está chegando.	O verão está chegando.	Por favor, prepare-se para o clima quente.	
5	O inverno está chegando.	O inverno está chegando.	Por favor, prepare-se para o tempo frio.	
6	Seu inimigo apareceu.	Seu inimigo apareceu.		
7	{0}{1} está sob ataque.	A seita está sob ataque.		
8	Há um incêndio.	Há um incêndio.		
9	O transeunte precisa de ajuda.	O transeunte precisa de ajuda.		
10	{0} está tentando pegar o item {1}.	O inimigo está tentando pegar um item.		
11	O inimigo {0} pegou o item {1}.	O inimigo pegou o item.		
12	A fera mágica {0} apareceu.	A fera mágica aparece.		
13	Tesouro caindo.	Tesouro caindo.		
14	Imortal {0}_chega/sai.	Um imortal chegou.		
15	{0} se apaixonou por {1}.	Novos sentimentos de amor.		
16	{0} parou de amar {1}.	Sentimentos de amor desapareceram.		
17	{0} declarou sentimentos a {1} _e eles se tornaram amantes/mas falharam.	Alguém declarou seus sentimentos.		
18	{0} persuadiu {1} _e conseguiu/e falhou.	Alguém tentou persuasão.		
19	Abandonado	Abandonado		
20	{0} está de mau humor.	Alguém está de mau humor.		
21	O humor de {0} está se deteriorando devido a {1}.	O humor de alguém azedou.		
22	{0} é mentalmente instável.	Alguém é mentalmente instável.		
23	{0}: _caiu no chão/perdeu a consciência/está morrendo.	Alguém está incapacitado.		
24	Abandonado	Abandonado		
25	{0}: morreu.	Alguém morreu.		
26	{0}: relaxado no trabalho.	Alguém relaxou em seu trabalho.		
27	{0}: parou de afrouxar.	Alguém parou de relaxar no trabalho.		
28	{0} precisa de uma arma para caça.	Alguém precisa de uma arma para caçar.		
29	{0} precisa de uma ferramenta para cortar.	Alguém precisa de uma ferramenta para cortar.		
30	{0} precisa de uma ferramenta de mineração.	Alguém precisa de uma ferramenta de mineração.		
31	{0} precisa de uma ferramenta de fazenda.	Alguém precisa de uma ferramenta agrícola.		
32	A habilidade de {0} para {1} subiu de nível.	Habilidade nivelada.		
33	{0}: caiu para o lado do demônio.	Alguém caiu para o lado do demônio.		
34	{0} conseguiu lançar as bases.	Alguém conseguiu lançar suas bases.		
35	{0} atingiu um limite.	Alguém atingiu um limite.		
36	O limite de {0} está quase no fim.	O limite de alguém está quase no fim.		
37	O limite de {0} acabou.	O limite de alguém acabou.		
38	{0} artefato criado {1} _e bem-sucedido/mas com falha.	Alguém criou um artefato.		
