金丝木弓	Bow
天婵斩仙弓	Heavenly Grace Immortal Slaying Bow
梧桐神木	Phoenixwood
长生玄光桩	Longevity Dark Light  Stake
佩戴者可以提高寿元，远离疾瘴。恭祝各位新春快乐，万事如意！	Used to raise lifespan and immunity to diseases for whomever wears it. Happy Spring Festival and all the best!
万寿图	Illustration of Everlasting Longevity
佩戴者可以提高神国信仰获取加成。	Increases the wearer's Belief Gains Bonus.
神感符	Talisman of Divine Perception
佩戴者可以提高抵御水属性伤害之力。	Increases the wearer's resistance to Water Damage.
水甲符	Waterarmor Talisman
灵石玄阴圣泉	Spirit Stone Sacred Yin Spring
灵石轻纱灯	Spirit Stone Veiled Lamp
角色出生点	
逻辑点	
祝	Zhu
嬛	
寂离	Jili
李	Li
语风	Yufeng
倾国之玄女 · 灭界之妖姬	
坤元流光诀	
李晓曼真人五方咒	
武当清心咒	
壬水天星	
本源陨星诀	
紫薇流光神雷	
紫云宫覆灭	
鸿蒙五气咒	
寒月飞星真言	
惊波流光	
癸水流光	
贵客远道而来，何不入此泉洗去这一身风尘戾气？	Welcome my Guest, why not come into this spring and wash yourself.
哎，就一定要打扰本宫沐浴嘛？那一定要小施惩戒了……	Ugh, why you must disturb me washing? You shall be punished.
软弱的心	Weak Heart
法宝威力和体修防御进攻强度降低	Power of artifact and defence and attack of body cultivators are lower.
此地原为合欢派长老在别处修建的分堂，弥漫桃花瘴气，令人浑身酥软，无力反抗。	Here is a branch of the Exultant Sect, with peach miasma everywhere. A breath of it can cause someone's whole body become soft and cannot fight back.
