书	Escritura
苍莽屠神卷	Rolagem de Massacre Divino Colossal
棉花	Algodão
长生饮血线	Corda de Drenagem de Sangue da Longa Vida
棕石角料	Resíduo de Pedra Marrom
镇岳千光碎	Dardo dos Mil Raios da Colina Caída
灵石环	Chakram
云浪环	Chakram do Mar de Nuvens
灵木角料	Resíduo de Madeira Espiritual
长生霓光镖	Dardo da Luz Neon da Longa Vida
铁矿石	Minério de Ferro
庚辛飞星镇	Rocha de Estrelas Voadoras Ocidental
画	Pintura
苍莽炼魂图	Pergaminho de Refino da Alma Colossal
木料	Madeira
碧光饮血木	Madeira de Drenagem de Sangue Opalescente
铁剑	Espada de Ferro
庚辛白骨剑	Espada de Osso Branco Ocidental
玄铁锭	Barra de Ferro Escuro
断岳斩仙印	Metal de Abate Imortal da Montanha Quebrada
符纸	Papel de Talismã
炼心符	Talismã do Coração Refinado
原木	Madeira Bruta
苍莽木	Coluna Colossal de Madeira
梧桐木角料	Sobra de Madeira de Fênix
飞星镖	Fragmento de Estrelas Voadoras
虎皮	Pele de Tigre
己土鬼革	Couro de Fantasma Sombrio
铁长枪	Lança de Ferro
庚辛枪	Lança Ocidental
野猪肉	Carne de Javali
腾岳荡魔陀	Toalha de Mesa de Exorcismo do Mal da Colina Ascendente
棕石砖	Bloco de Pedra Marrom
天岭戮血阙	Dualjade de Abate da Crista Celestial
金丝木料	Madeira de Ouro
青龙天心桩	Coluna do Coração Celestial de Azuragon
木弓	Arco de Madeira
星宿冲虚弓	Arco das Constelações Frente ao Vazio
黑布休闲下裳	Calças Casuais de Tecido Preto
碧光先天衣	Camisa de Fusão Celestial Opalescente
棕石剑	Espada de Pedra Marrom
地龙万骨剑	Espada de Todos os Ossos do Dragão Terrestre
铁锭	Barra de Ferro
开天涤心阙	Metal da Criação Celestial e Purificação da Mente
大理石砖	Bloco de Mármore
天岭千光珏	Pedra dos Mil Raios da Cordilheira Celestial
牛皮休闲下裳	Calças Casuais de Couro de Boi
戊己紫云甲	Armadura de Nuvem Roxa Central
火铜锭	Barra de Igneocobre
炽凰天罡印	Metal do Grande Dipper Flamejante
麒麟魔骨罩	Capa Demoníaca de Osso de Kirin
苍龙九宫绫	Tecido dos Nove Palácios de Marinagon
棋局	Jogo de Go
苍莽局	Partida Colossal
鱼肉	Peixe
万里斩魄陀	Agregado de Abate de Almas de Longa Marcha
梧桐神木	Madeira Sagrada de Fênix
甲乙天璇柱	Estaca Merak Oriental
幻空天枢珏	Selo Dubhe Eterno
碧光无极绳	Corda Infinita Opalescente
蜜梨双冲饮	Bebida Dupla de Pêra Melosa
屠魔灵宝	Tesouro Numinoso de Abate de Demônios
苍龙异骨书	Volume de Ossos Incomuns de Marinagon
五雷驱邪碑	Tablete de Expulsão do Mal dos Cinco Trovões
粪便	Fezes
