ID	MapStoryID	DisplayName	Desc
1	Secrets_Baozang_EX1	Vale dos Vermes	Desbloqueie o segredo do Vale dos Vermes	
2	Secrets_Baozang_EX2	Tesouro de Veneno	Desbloqueie o segredo do Tesouro de Veneno	
3	Secrets_Baozang_EX3	Palácio Celestial	Desbloqueie o segredo do Palácio Celestial	
4	Secrets_Baozang_EX4	Caverna do Fogo	Desbloqueie o segredo da Caverna do Fogo	
5	Secrets_Baozang_EX5	Tesouro do Anjo	Desbloqueie o segredo do Tesouro do Anjo	
6	Secrets_Baozang_EX6	Restos Mortais do Demônio	Desbloqueie o segredo dos restos mortais do demônio	
7	Secrets_KunLunFaHui	Feira de Qi Kunlun	Participe da Feira de Qi Kunlun	
8	Secrets_GuangShouMenTu	Feira do Destino	Participe da Feira Destino Imortal	
9	Secrets_XieDiLing	Abertura da Tumba do Imperador Demônio	Testemunhe a abertura da Tumba do Imperador Demônio	
10	Secrets_DuGuiXingZong	Ye Xuan, o Jogador	Aposte contra Ye Xuan, o Jogador	
11	Secrets_TianJi	Talismã Celeste Antigo	Desbloqueie o segredo do Talismã Celeste Antigo	
12	BaoZang_QingLianShan	Montanha Lótus Azul Imortal	Desbloqueie o segredo da Montanha Lótus Azul Imortal	
13	BaoZang_XuanKong	Morada Imortal de Jade	Desbloqueie o segredo da Morada Imortal de Jade	
14	BaoZang_ChiLianYuan	Morada Imortal do Palácio Esmeralda	Desbloqueie o segredo da Morada Imortal do Palácio Esmeralda	
15	BaoZang_DengXian	Tesouro de Dong Hua	Desbloqueie o segredo do Tesouro de Dong Hua	
16	LingWu_JiuHua1	Dragão Oculto e Fênix Empoleirada	Desbloqueie o segredo por trás do Dragão Oculto e da Fênix Empoleirada	
