灵石灯柱	Luminária de Pedra Espiritual
金丝木小方桌	Mesa Quadrada de Madeira de Ouro
金丝木法座	Cushion Qi de Madeira de Ouro
角色出生点	Ponto de Nascimento do Personagem
寒精太玄冰柱	Pilar Eterno de Gelo de Essência de Gelo
天柱石钟	Campainha de Pedra Sagrada
寒精妖刑架	Gaiola Demoníaca de Essência de Gelo
玉石栅栏	Cerca de Jade
灵晶栅栏	Cerca de Cristal Espiritual
水生灵树	Árvore Espiritual Aquática
天柱石盘龙座	Cadeira de Dragão Enrolado de Pedra Sagrada
天柱石剑心玉莲	Lótus de Coração de Espada de Pedra Sagrada
天柱石假山-叠嶂	Jardim de Rochas Sagradas (Colinas)
玉树	Árvore Imortal
天柱石黄龙灯台	Porta-Lâmpada do Dragão Amarelo de Pedra Sagrada
天柱石灯柱	Luminária de Pedra Sagrada
天柱石灵地水池	Lago Espiritual de Pedra Sagrada
天柱石八卦旗	Bandeira dos Trigramas de Pedra Sagrada
逻辑点	Ponto Lógico
应天台	Altar do Eco Celestial
共鸣	Ressonar
逐应天之巅	Lutar pelo Topo do Eco Celestial
