ID	Name	Desc	MapStory	DoLua	Default	Condition1	Point1	UnLock1	Condition2	Point2	UnLock2	Condition3	Point3	UnLock3	Condition4	Point4	UnLock4
	Title	Description	解锁触发的mapstory		默认线索	条件1 动机|参与者|证据 条件的判断从左往右依次	指向1	解锁内容 隐秘|角色|线索									
1	Mysterious Figure	It has been several months since the night of Taiyi's destruction. When you returned to the ruins of Taiyi to investigate on one occasion, you spotted a mysterious figure over there. From afar, it looked like Elder Yue Qingchou from the Evenfall Abode. The presence of this individual at that moment was anything but usual. Could she know something?				1|2|3,4,5	100	2||14									
2	Mystery of Taiyi	It has been confirmed that some disciples of Mt. Hundred Insects have participated in the destruction of Taiyi for a certain treasure. But Taiyi Sect was just an average sect at the southeastern border, and can be hardly considered wealthy. What kind of treasure the sect held in possession could have motivated Mt. Hundred Insects to send out all their elites to destroy them? All this remains to be investigated.			|14|	6|14|	101	3,500||	6,7,8,9|14,15,16,17|22,23,24	102	4,500||	6,10|14,18|25	103	5,500||	6,7,8,9,10,11,12,13|14,15,16,17,18,19,20,21|22,23,24,25,26,27,28,29	104	6,500||
3	Secrets of the Past	After some investigations, it seems that everything was due to Taiyi's possession of an ancient artifact "Universe", which aroused the greed of Mt. Hundred Insects that led to their destruction. But Taiyi was a small sect that has only been established in the past hundred years, dwelling humbly at the southeast border. Why did they possess such a great treasure? Everything is not as simple as it seems.				30,40|31|32	105										
4	Secrets of the Past	After some investigations, it seems that it was because there were three evil sects, namely the Exultant Sect, Seven-Slaughtering Sect and Pit of Doom, that harbored some kind of hatred against the Taiyi Sect, hence they intentionally leaked the message to Mt. Hundred Insects and set the chain of events into motion. But Taiyi was a small sect that has only been established in the past hundred years, dwelling humbly at the southeast border; while the three evil sects are all ancient powers. Where did this hatred even come from? Everything is not as simple as it seems.			|37|	33,34,35,36,40|37|32	106										
5	Secrets of the Past	After some investigations, you surprisingly found that Mt. Hundred Insects was not the only one involved. The masters who deployed the Dragon Circle on that day turns out to be from the Purple Cloud Temple. Unlike Mt. Hundred Insects which was just greedy for the artifact, the motivation behind Purple Cloud Temple is more obscure. They seem to have some kind of trepidation and fear against Taiyi Sect, and their action was more like a move made out of precaution in the name of Mt. Hundred Insects. But Taiyi was a small sect that has only been established in the past hundred years, dwelling humbly at the southeast border; while Purple Cloud Temple is a great ancient power. Where did this fear even come from? Everything is not as simple as it seems.			|39|	38,40|39|32	107										
6	Secrets of the Past	As the investigation went on, you found that this matter has far exceeded what you had imagined. Mt. Hundred Insects was not the only one involved, the masters who deployed the Dragon Circle on that day turns out to be from the Purple Cloud Temple. What's more shocking is that behind these two sects, there were even six more sects of both good and evil Laws plotting in the shadow, namely the Exultant Sect, Seven-Slaughtering Sect, Pit of Doom, Sunshade Abode, Kunlun Palace and Purple Cloud Temple. Apart from Mt. Hundred Insects which only wanted the treasure, other sects hidden behind the scene have subtle and differing attitudes towards Taiyi Sect: The three evil sects seem to harbor some kind of hatred against them, while the four righteous sects were trepidation and fear. But Taiyi was a small sect that has only been established in the past hundred years, dwelling humbly at the southeast border; while the seven sects other than Mt. Hundred Insects are all great ancient powers. Their attitudes towards Taiyi Sect are really puzzling. No matter what, this obviously cannot be explained by simple love or hate. There is bound to be a deeper secret behind it.			|42|	40,41|42|32	108	7||									
7	First Emperor	Now all mysteries point to the last sect leader of the Eastern Palace, however he was killed by several foes. All things about him are vanished and no one remember. You feel there is only one step from the truth and have a premonition that you can find the answer at the very beginning. Suddenly, The Mini Universe come to your mind.															
100	Mysterious Figure	According to Elder Yue Qingchou of the Evenfall Abode, when doing some business overseas on that day, she saw huge flames coming out of Mt. FullMoon and came to investigate, only to discover that the whole area had been deployed a formation spanning a hundred miles. Unable to come any closer and having other matters to attend to, she left shortly afterwards. The only thing she saw was golden light all over the sky from deep inside the circle. It was Poisons of Golden Cicada, a unique magic from Mt. Hundred Insects. And all kinds of clues also show that Mt. Hundred Insects indeed had planned to seize a treasure from a certain sect around the time of Taiyi's destruction. It appears Mt. Hundred Insects most definitely has something to do with this, and should be the focus of our next investigations.															
101	Mystery of Taiyi	As the investigation went further, you found that Taiyi Sect seemed to have an invaluable artifact called "Universe" in their collection, which regards a Law of survival in the coming tribulations of future. As the saying goes, the precious stone lands its innocent possessor in jail. This must be the reason why Taiyi became a target of a big evil sect such as Mt. Hundred Insects. But Taiyi was a small sect that has only been established in the past hundred years, dwelling humbly at the southeast border. Why did they possess such a great treasure? Everything is not as simple as it seems.		WorldLua:SetWorldFlag(94,1)													
102	Mystery of Taiyi	After some investigation, you found that the reason Mt. Hundred Insects massacred Taiyi Sect appeared to be for a precious artifact called "Universe". But behind the incident, there were also traces of Exultant Sect, Seven-Slaughtering Sect and Pit of Doom agitating the matter from the shadow. Upon further investigations, you found that the motives of these three sects to be quite mysterious. Unlike Mt. Hundred Insects which was just greedy for the artifact, they seem to harbor some kind of deep hatred against the Taiyi Sect, and it was this hate that caused to unite and set the chain of events into motion.\nBut Taiyi was a small sect that has only been established in the past hundred years, dwelling humbly at the southeast border; while the three evil sects are all ancient powers. Where did this hatred even come from? Everything is not as simple as it seems.		WorldLua:SetWorldFlag(94,1)													
