农田	Campo
房间	Quarto
狼皮修行衣衫	Uniforme de Sect de Pele de Lobo
白布休闲下裳	Calças Casuais de Tecido Branco
木弓	Arco de Madeira
白布休闲衣衫	Camisa Casual de Tecido Branco
靛蓝布修行下裳	Calças de Cultivador de Tecido Índigo
木锤	Mace de Madeira
可以大幅提高寒冷抵抗的符咒。	Amuleto usado para aumentar drasticamente a resistência ao frio.
太阳符	Amuleto do Supremo Yang
棕石砖	Tijolo de Pedra Marrom
极光碑	Tablet Aurora
木墙	Parede de Madeira
木栅栏	Cerca de Madeira
木门	Porte de Madeira
木小方桌	Mesa Quadrada de Madeira
木床	Cama de Madeira
灵石炉灶	Fogão de Pedra Espiritual
木水缸	Barrel de Água de Madeira
无名之墓	Tumba Sem Nome
大理石灯笼	Lanterna de Mármore
大理石油灯	Lâmpada de Óleo de Mármore
铁虫鸟架	Caixa de Pássaro de Ferro
大理石围棋桌	Mesa de Go de Mármore
蓝布蒲团	Almofada de Tecido Azul
灵石装饰书架	Espaço de Decoração de Pedra Espiritual
灵石灯笼	Lanterna de Pedra Espiritual
角色出生点	Ponto de Nascimento do Personagem
无名	Nameless
之人	Homem
 虚	Vazio
韩	Han
诚	Cheng
西门	Ximen
雅芝	Yazhi
仇	Qiu
华	Hua
逍遥者	Vagabundo
狸	Fêmea de Gato
斄	Boie Macho
御木诀	Técnica de Controle de Madeira
玉京飞流法	Técnica de Cascata do Jade Jing
先天罡气	Energia Primordial do Céu
元磁灭绝神光	Luz Divina da Extinção Magnética Primordial
吸星掌	Palma de Absorção de Estrelas
灵息诀	Técnica de Respiração Espiritual
和光同尘	Ser como a Luz e a Poeira
回光诀	Técnica de Reflexo da Luz
五气归源	Técnica dos Cinco Qi Retornando à Origem
入定之术	Técnica de Meditação Profunda
玉清定境	Técnica de Paz de Jade Claro
祈天经	Manual de Oração ao Céu
万法归藏	Retorno de Todas as Leis
谷神大法	Técnica do Grande Espírito do Vale
庚金神雷	Trovão Divino do Metal Gêng
回春诀	Técnica de Restauração da Juventude
天水化伤术	Técnica de Cura de Ferimentos com Água Celestial
烈焰决	Técnica de Chama Intensa
厚土之盾	Escudo de Terra Sólida
醍醐灌顶之术	Técnica de Iluminação Suprema
大衍神算	Cálculo Derivado
周天神算	Previsão Universal
六壬神算	Previsão Astrológica
元始之胎	Ventre Primordial
秘宝：戊己杏黄旗	Tesouro Secreto: Bandeira Amarela de Wu Ji
玉清太虚神雷	Trovão Divino do Grande Vazio de Jade Claro
庚金元神	Origem do Espírito de Gêng Metal
庚金元神·圆满	Origem do Espírito de Gêng Metal - Completo
甲木元神	Origem do Espírito de Madeira Jia
甲木元神·圆满	Origem do Espírito de Madeira Jia - Completo
壬水元神	Origem do Espírito de Água Ren
壬水元神·圆满	Origem do Espírito de Água Ren - Completo
丙火元神	Origem do Espírito de Fogo Bing
丙火元神·圆满	Origem do Espírito de Fogo Bing - Completo
戊土元神	Origem do Espírito de Terra Wu
戊土元神·圆满	Origem do Espírito de Terra Wu - Completo
天道神丹	Pílula Divina do Caminho Celestial
天道神器	Artefato Divino do Caminho Celestial
赋灵术	Técnica de Atribuição de Espírito
五泉涤心法	Técnica das Cinco Fontes de Purificação Mental
化伤术	Técnica de Cura de Ferimentos
求雨术	Técnica de Invocação de Chuva
甘霖术	Técnica de Chuva Doce
风水鉴定	Avaliação de Feng Shui
太和御气诀	Técnica de Controle de Energia da Grande Harmonia
清心咒	Feitiço de Limpeza Mental
天霖诀	Técnica de Controle da Chuva Celestial
天一真法	Técnica Verdadeira da Grande Unicidade
采水诀	Técnica de Coleta de Água
水镜观心定	Técnica de Clareza Mental da Reflexão da Água
玄牝重生法	Técnica de Renascimento do Útero Arcano
乘风诀	Técnica de Montar o Vento
同风诀	Técnica de Andar com o Vento
奔流诀	Técnica de Correnteza
归海诀	Técnica de Retorno ao Mar
水精真形	Forma Verdadeira da Essência da Água
水气真形	Forma Verdadeira da Energia da Água
水神真形	Forma Verdadeira da Deusa da Água
暴雨术	Técnica de Tempestade
九阴真水界	Mundo da Verdadeira Água dos Nove Yin
玄魂造命	Criação de Vida da Alma Arcanja
罡煞合流	Fluxo de Qi Demoníaco
唔，吃什么呢？	Hm, o que comer hoje?
喵喵~~	Meow Meow~~
抓老鼠？我怎么就不会抓老鼠了，你别人眼看牛低！	Comprar ratos? Não consigo pegar ratos. Não me subestime.
无何有之乡	Cidade de Nenhum Lugar
界间界·虚之草庐	Cabana do Vazio entre Mundos
界间幻景，存续之所	Visão Interdimensional, um local para recuperação.
