Key	Value
看天花板	Olhando para o Teto
点击打开角色健康面板	Clique para abrir o menu de saúde.
放置物品	Colocar Item
习得符咒：{0}	Talismã aprendido: {0}
锻造	Forjar
接受	Aceitar
{0}的{1}	{0} de {1}
新建阵图	Criar
拆迁建筑时连续失误，差点弄伤自己，正感觉有点生气	Continua cometendo erros ao demolir prédios e quase se machucou; sente-se irritado
秘籍	Manual
可以预见，你对此人的劝化如[color=#ffa900]当头棒喝[/color]，直入其内心深处	Sua persuasão será [color=#ffa900]a wake-up call[/color] para essa pessoa, ressoando com ela.
准备好仪轨符具，准备练习秘法	Preparando talismãs ritualísticos e ferramentas para praticar uma Lei secreta
门派	Seitas
同意	Concordar
等物品	Itens
正兴高采烈的赶路	Caminhando alegremente
{0:N0}个小时后	{0:N0} horas depois
{0}:{1} 需求:{2}\n	{0}:{1} Requer:{2}\n
门派规模	Tamanho da Seita
将一名修行者突破到结丹境界（选择角色，通过屏幕下方的人物面板，切换至练功模式，可以专攻修炼，以提高境界。）	Ajude um cultivador a atingir o estado de Formação do Núcleo. Selecione um personagem e mude para [Train] pelo menu de personagens. Enquanto o treinamento estiver ativo, o personagem se concentrará em cultivar a si mesmo para elevar seu estado.
女人	Feminino
敌视	Hostil
技能关联:无	Vínculo de Habilidade: Nenhum
女	Feminino
金属	Metal
请选择一个合适的吸灵地点	Selecione um local adequado para absorver espírito.
圣地	Santuário
<font color=#D06508>[内丹]</font>\n	<font color=#D06508>[Núcleo Interno]</font>\n
正心不在焉的制药作业中	Fazendo remédios distraidamente
刚结束今天的筑基功课	Acabou de terminar o treinamento de fundação de hoje
土壤肥沃	Solo Fértil
分享码	Código de Compartilhamento
第{0}轮竞拍	Rodada {0}
<font color=#FFFF33>此秘籍已收录至藏经阁</font>\n	<font color=#FFFF33>Este manual foi colocado no Pavilhão de Manuais.</font>\n
练习功法	Praticar Lei
领悟值	Compreensão
规模：{0}	Tamanho: {0}
正无所事事的消磨着时光	Matando o tempo sem fazer nada
已将分享码复制到粘贴板中。	Um código de compartilhamento foi copiado para a área de transferência.
{0} 天道未选择，无法触发该天道!	{0} Dao Celestial não selecionado, impossível acionar este Dao Celestial!
犹豫不决	Hesitante
术法	Feitiço
真炁：{0:F0}/{1:F0}\n体修专属的战斗资源，会快速的恢复和消耗。真炁会随着境界的提升，身躯的淬炼而提升。	Qi Verdadeiro: {0:F0}/{1:F0}\nRecurso de combate exclusivo para cultivadores físicos. Ele se reabastece e se consome muito rapidamente. O Qi Verdadeiro aumenta conforme o estado e a remoldagem do corpo.
生成河流	Gerando corpos d'água
等轮回者	etc.
失败惩罚：	Punição:
庇护	Proteger
请选择要装备的物品	Selecione um item para equipar.
精怪 · 	Espírito Sensiente - 
境界加成：{0}\n	Bônus de Estado: {0}\n
{0}心防瓦解	{0} se abriu.
\n水量: {0}	\nÁgua: {0}
[color=#FF0000]该建筑升级需要达到{0}信仰人口[/color]	[color=#FF0000]Para atualizar este edifício, a população de fiéis precisa alcançar {0}.[/color]
献祭：{0:F0}次	Sacrifícios: {0:F0}
敌人	Inimigos
载入数据:{0}/{1}	Carregando dados: {0}/{1}
感知列表	Lista de Percepções
炼宝	Criar
\n但似乎是伪造的，效果大打折扣。	\nMas parece ser falso e seus efeitos estão bastante reduzidos.
水属性伤害减免: {0:P3}	Redução de Dano de Água: {0:P3}
坐标点	Coordenadas
请选择一个要被吞噬的物体	Selecione um item para devorar.
玄学	Metafísica
所选对话文件数据异常无法读取	Erro. Não é possível carregar o arquivo de diálogo selecionado.
是	é
在修理建筑之时，正在胡思乱想	Reparando construções; distraído com pensamentos
攻击威力: {0:F0}	Poder de Ataque: {0:F0}
所修功法：{0}({2})\n{1}\n性别：{5}\n年龄：{3:N0}\n道行：{4:N0}	Leis aprendidas: {0} ({2})\n{1}\nGênero: {5}\nIdade: {3:N0}\nRealização: {4:N0}
华丽	Magnífico
壮加	Adição Muscular
这将会打断当前工作，确认立即进行渡劫吗？	Isto interromperá o trabalho atual. Você deseja sobreviver à Tribulação?
[作者]\r\n    	[Autor]\r\n    
概率调整	Ajustar Chance
挖土	Cavar
交流	Conversar
埋葬	Enterrar
景观不错	Legal
天苍{0}年 {1} 第{2}日   {3}	{3} Dia, {2}, {1} Ano Tiancang {0}
无	Nenhum
思绪：{0}/{1}	Pensamento: {0}/{1}
祖师殿	Salão do Fundador
正在觉醒灵智	Despertar da Inteligência
不满足建筑条件	Não atende aos requisitos da construção
剩余时间：	Tempo restante:
神修在心境为“动”时，心境会自然提高，情绪越好，提高速度越快。	Quando o estado mental estiver em 'movimento', ele se elevará naturalmente, pois um humor melhor significa uma ascensão mais rápida.
当前状态无法开启灵智	Não é possível despertar a inteligência no estado atual.
瓶颈\n	Limite\n
重新建造这个建筑。	Reconstruir esta estrutura.
未知	Desconhecido
该角色无法学习此技能	Este personagem não pode aprender essa habilidade.
淬体	Refinamento Corporal
正在专心的照顾他人	Concentra-se em cuidar de alguém
居	Residência
炼制一炉丹药,需要[color=#FF0000]炼丹炉[/color]。	Criar um elixir. Requer um [color=#FF0000]Forno de Alquimia[/color].
<font color=#D06508>[原材料]</font>\n{0}\n	<font color=#D06508>[Matéria-Prima]</font>\n{0}\n
在移除工作之时，正感觉有点无聊	Removendo algo; sente-se um pouco entediado.
该角色正在被施展神通	Este personagem está realizando um milagre.
升级到中级主殿可解锁寻珍倾向。采取寻珍倾向后，采取不同方法可寻得不同珍宝。	Atualize para o Salão Principal Intermediário para desbloquear a tendência de Caça ao Tesouro. Uma vez aplicada, diferentes métodos de busca resultarão em tesouros diferentes.
凶宅	Casa Assombrada
====触发太易天道触发成功	====Ativação do Dao Celestial Tai Yi bem-sucedida
已存在同名文档，确定覆盖原存档吗？这将不可逆转。	Um arquivo com o mesmo nome já existe. Deseja sobrescrever o original? Isso é irreversível.
正在拼接图片(1)……	Juntando imagem (1)...
{0} ({1}格)	{0} ({1} Espaço)
移除	Remover
只有对炼器之道有足够的造诣（20级以上），才能将这部分感悟寄托于装备。	Somente com conhecimento suficiente na Arte da Forja (nível 20 ou superior), é possível anexar essa compreensão ao equipamento.
灵气	Qi
灵气最低的目标	Alvo com menos Qi
技能丢失	Habilidade Perdida
\n提高道行：{0}\n	\nAprimorar Cultivo: {0}\n
