牛皮薄衣衫	Bull Hide Thin Shirt
红布清凉下裳	Red Fabric Summer Pants
武当琢玉秘传	WuDang Jade Polishing Secret Method
铁矿石	Iron Ore
五雷戮血印	Five Thunders Slaughter Boulder
灵石法座	Spirit Stone Qi Cushion
天柱石神鹤灯	Holy Stone Crane Lantern
天柱石剑心玉莲	Holy Stone Swordheart Lotus
上古残迹	Ancient Ruins
寒精灯笼	Ice Essence Lantern
寒精八卦旗	Ice Essence Trigrams Flag
角色出生点	Character Spawn Point
灯笼	Lantern
神鹤灯	Crane Lantern
赑屃玄碑	Bixi Stele
鼓	Drum
云龙鼓	Dragon Drum
灵石香炉	Spirit Stone Censer
上古残木	Ancient Stump
玉石腾龙柱	Jade Dragonrising Pillar
玉石灯柱	Jade Lamp Post
天柱石钟	Holy Stone Bell
残道古像	Decrepit Statue
棕石太极旗	Brownstone Tai Chi Flag
棕石香炉	Brownstone Censer
棕石灯笼	Brownstone Lantern
火铜神鹤灯	Igneocopper Crane Lantern
火铜碑	Igneocopper Stele
奇石	Strange Rock
天柱石鼓	Holy Stone Drum
上古残骸	Ancient Remains
天柱石地母秘穴	Holy Stone Earthmother Hive
青铜祭旗	Bronze Banner
古始之光	Primordial Light
逻辑点	Logic Point
爱	Ai
伦	Lun
廖	Liao
雅绿	Yalü
时间之囚	Time prison
清心咒	
通符书	
云气汇流	
灵息诀	
剑符录	
神剑符	
玄符录	
天甲符	
咒符录	
神咒符	
结云经	
入定之术	
祈天经	
通天符法	
天真论	
无上神符	
借天符	
遮天符	
云行法	
东木分神书	
分神之术	
天道神丹	
天道神器	
太阴锻体	
少阴锻体	
玄阴锻体	
神行术	
瞬形法	
九州大法	
辟邪真法	
幽剑	
地母玄经	
凝珀诀	
摄神御鬼大法	
九幽炼神	
尘暴术	
玄牝重生法	
八极炼形诀	
灵视神观	
太虚元罡	
太虚神盾	
瞬霎诀	
太阴诀	
少阴诀	
玄阴诀	
渊狱诀	
幽狱诀	
通幽秘传	
幽淬之法	
灵淬之法	
坤元真气	
厚德篇	
虚空谒神法	
坏灭诀	
一剑	
秘宝：一剑	
再造形神之术	
本源通慧书	Intrinsic Perceptive Script
赋灵术	
五泉涤心法	
先天罡气	
化伤术	
求雨术	
甘霖术	
风水鉴定	
太和御气诀	
御木诀	
天霖诀	
天水化伤术	
天一真法	
采水诀	
水镜观心定	
乘风诀	
同风诀	
奔流诀	
归海诀	
水精真形	
水气真形	
水神真形	
暴雨术	Rainstorm
九阴真水界	
玄魂造命	
罡煞合流	
醍醐灌顶之术	
造化曳影秘法	Destiny Shadow Trail Secret Law
本源饕餮	Intrinsic Taotie
玉虚琢玉秘传	Jade Void Jade Polishing Secret Method
壹零陆贰柒柒捌零贰捌	1062778028
毕氏化伤神雷	
太上流光	
本源不坏神雷	
