拜祖师	Adoração aos Ancestrais
房间	Quarto
仓库	Armazém
木伐木斧	Machado de Madeira para Lenha
熊皮休闲衣衫	Camisa Casual de Pele de Urso
兔皮修行下裳	Calça de Cultivador de Pele de Coelho
牛皮休闲衣衫	Camisa Casual de Pele de Touro
靛蓝布休闲下裳	Calça Casual de Tecido Índigo
巧夺天工的神兵，融合制作者的心血与灵感而成。	Arma divina engenhosamente forjada, unindo o esforço vital e a inspiração do criador.
饮血	Espada de Aço Sombrio
狼皮薄衣衫	Camisa Fina de Pele de Lobo
兔皮薄下裳	Calça Fina de Pele de Coelho
灵木锤	Machado de Madeira Espiritual
熊皮	Pele de Urso
万象赤血障	Barreira Carmesim das Dez Mil Fenômenos
牛皮薄衣衫	Camisa Fina de Pele de Touro
蓝布休闲下裳	Calça Casual de Tecido Azul
火铜锭	Barra de Cobre Flamejante
炽凰天心镇	Selo Celestial do Coração da Fênix Ardente
书	Escritura
碧光鬼书	Livro Fantasma Opalescente
靛蓝布休闲衣衫	Camisa Casual de Tecido Índigo
狼皮修行下裳	Calça de Cultivador de Pele de Lobo
寒精锤	Maça de Essência de Gelo
佩戴者可以提高御器技能等级。	Aumenta o nível da habilidade de Maestria em Artefatos do usuário.
神剑符	Talismã da Espada Divina
莲藕	Raiz de Lótus
壬水炼心藕	Raiz de Lótus de Mente Refinada em Cascata
棕石砖	Bloco de Pedra Marrom
麒麟极光圭	Selo da Aurora de Quirino
虎皮薄衣衫	Camisa Fina de Pele de Tigre
红布薄下裳	Calça Fina de Tecido Vermelho
木锤	Maça de Madeira
黄布休闲衣衫	Camisa Casual
苍龙甲	Armadura Marinagon
癸水极光藕	Raiz de Lótus de Aurora Equânime
蓝布修行衣衫	Uniforme de Seita de Tecido Azul
牛皮修行下裳	Calça de Cultivador de Pele de Touro
木环	Chakram de Madeira
垃圾	Lixo
镇岳五色毒	Sedimento Prismático da Queda da Colina
金丝灵木	Madeira Dourada
长生七魄木	Coluna dos Sete Almas da Longevidade
黑布薄衣衫	Camisa Fina de Tecido Preto
麒麟磨骨碑	Estela Dualjade de Trituração Óssea de Quirino
虎皮厚制衣衫	Camisa de Inverno
万里御	Roupas de Marcha
野猪皮修行衣衫	Uniforme de Seita de Pele de Javali
可以提高炎热抵抗的符咒。	Talismã usado para aumentar a resistência ao calor.
避暑符	Talismã Resistente ao Calor
大理石砖	Bloco de Mármore
行疆落樱阙	Torre de Queda de Cerejeira Viajante
香菇	Cogumelo
长生白骨菇	Cesta de Ossos Brancos da Longevidade
琴谱	Partitura
长生三清谱	Partitura da Tripla Pureza da Longevidade
火精剑	Espada de Essência de Fogo
天火长青要诀	Instrução Eterna do Fogo Celestial
使头脑清明，提高学习能力。	Usado para clarear a mente e melhorar a capacidade de aprendizado.
文昌符	Talismã da Prosperidade Civil
铁矿石	Minério de Ferro
霹雳神圭	Estela Divina do Trovão
棕石	Pedra Marrom
天府流光石	Tablete do Tempo do Lar Celestial
熊皮薄衣衫	Camisa Fina
戊己降龙御	Roupas de Aniquilação Central do Dragão
花布薄衣衫	Camisa Fina de Tecido Estampado
寒晶弓	Arco de Cristal de Gelo
熊皮修行衣衫	Uniforme de Seita de Pele de Urso
花布修行下裳	Calça de Cultivador de Tecido Estampado
玄铁锤	Maça de Aço Sombrio
寒晶锭	Barra de Cristal de Gelo
惊波磨骨珏	Rocha de Trituração Óssea Turquesa
三才大日枝	Galho do Grande Dia dos Três Talentos
兔皮修行衣衫	Uniforme de Seita de Pele de Coelho
牛皮薄下裳	Calça Fina de Pele de Touro
佩戴者可以提高抵御水属性伤害之力。	Aumenta a resistência do usuário contra danos de Água.
水甲符	Talismã de Armadura Aquática
万里落影镇	Pedra de Queda das Sombras Marchantes
木角料	Sobra de Madeira
青龙圣镖	Dardo Sábio de Azuragon
蓝布薄衣衫	Camisa Fina de Tecido Azul
红布休闲下裳	Calça Casual de Tecido Vermelho
棉花	Algodão
碧光白骨线	Corda de Osso Branco Opalescente
虎皮休闲下裳	Calça Casual
极光甲	Veste da Aurora
黑布薄下裳	Calça Fina de Tecido Preto
棕石长枪	Lança de Pedra Marrom
兔皮	Pele de Coelho
镇岳恶魄障	Couro da Alma Maligna da Queda da Colina
蛇蛋	Ovo de Cobra
坤元万魂珠	Ovo de Todas as Almas Terrenas
野猪皮薄下裳	Calça Fina de Pele de Javali
玄机气摄密卷	Pergaminho Secreto de Absorção de Qi Ingenioso
灰石砖	Bloco de Pedra Cinzenta
行疆天璇碑	Estela Itinerante de Merak
白布清凉下裳	Calça de Verão
碧光乾坤御	Camisa do Universo Opalescente
狼皮薄下裳	Calça Fina de Pele de Lobo
木弓	Arco de Madeira
狼皮	Pele de Lobo
坤元障	Capa Terrena
龟蛋	Ovo de Tartaruga
戊土荡魔蛋	Miçanga Sombria de Exorcismo Maléfico
观音土	Argila Guanyin
天心庇世灵宝	Tesouro Numenoso Recluso do Coração Celestial
莲花炼心菇	Cesta de Cogumelos de Lótus com Mente Refinada
灵晶角料	Retalho de Cristal Espiritual
六合钉	Sucata dos Seis Caminhos
多宝琢玉秘传	Método Secreto de Polimento de Jade Duobao
己土阴魂罩	Barreira de Aparição Sombria
狼皮厚制衣衫	Camisa de Inverno
腾岳五行甲	Vestuário dos Cinco Elementos da Ascensão da Montanha
花布薄下裳	Calça Fina de Tecido Estampado
棕石锤	Maça de Pedra Marrom
木料	Madeira
苍龙五色柱	Pilar Prismático Marinagon
地龙天璇灵宝	Tesouro Numenoso de Merak do Dragão Terrestre
肉干	 Carne Seca
昙花水梨汤	Sopa de Pêra do Outono
