拜祖师	Adorando os ancestrais
清心草	Folha de Pureza
人参	Ginseng
灵芝	GanodermaLucidum
灵仙草	Folha do Espírito
麦田	Trigo
草药	Erva
储存区	Armazenamento
杂役卧室	Quarto dos Peões
外门卧室	Quarto Exterior
工作室	Sala de Trabalho
祖师殿	Salão do Fundador
藏宝楼	Sala do Tesouro
内门卧室	Quarto Interno
房间	Quarto
布修行衣衫	Uniforme de Seita de Tecido Estampado
布休闲下裳	Calças Casuais de Tecido Branco
邬谷云	Nuvem do Vale Wu
熊皮薄衣衫	Camisa fina de pele de urso
布清凉衣衫	Camisa de Verão de Tecido Preto
狼皮薄衣衫	Camisa fina de pele de lobo
熊皮薄下裳	Calças finas de pele de urso
棕石环	Chakram de Pedra Marrom
铁弓	Arco de Ferro
玉石弓	Arco de Jade
金丝木弓	Arco de Madeira Dourada
寒晶剑	Espada de Cristal de Gelo
兔皮薄下裳	Calças finas de pele de coelho
大理石刀	Lâmina de Mármore
布薄衣衫	Camisa fina de tecido vermelho
狼皮薄下裳	Calças finas de pele de lobo
木弓	Arco de Madeira
石匣	Caixa de Pedra
三清屠魔灵宝	Caixa de Abate de Demônios de Tripla Pureza
玉石农具	Ferramenta Agrícola
行疆万世锄	Enxada de Todas as Gerações
天地魔灵宝	Caixa de Demônios do Céu e da Terra
布清凉下裳	Calças de Verão
甲乙千光衣	Camisa dos Mil Raios do Oriente
火铜环	Chakram
玉衡千魂环	Chakram dos Mil Almas Alioth
火铜矿石	Minério de Igneocobre
紫火环空碑	Metal
炽凰五色圭	 Selo
玉衡莲花灵宝	Caixa de Flor de Lótus Alioth
炽凰大日珏	 Selo
石髓	Essência de Pedra
苍穹屠魔碑	A Pedra do Abate de Demônios do Firmamento Celeste
火铜剑	Espada
朱雀九宫剑	Espada do Pássaro Vermelho dos Nove Palácios
画	Pintura
长生白虹图	 Imagem
玄铁矿石	Minério de Aço Negro
断岳圣金	 Selo
斩魔灵宝	Caixa de Abate de Demônios
梧桐神木	Madeira de Fênix
长生紫薇柱	 Ramo
奔烈星宿圭	Jade Duplo
焚日斩仙剑	Espada Flamejante de Abate de Imortais
紫薇妖印	Selo do Diabo de Crape Myrtle
观音土	Argila de Guanyin
麒麟神灵宝	Tesouro Numinoso
朱雀恶魄剑	Espada do Pássaro Vermelho de Alma Maligna
碧光辟邪卷	 Imagem
天地天璇灵宝	Caixa Merak do Céu e da Terra
草	Feno
碧光霓光绳	 Corda
火铜伐木斧	Machado de Lenha
环空万魂斧	Machado Chakram de Todas as Almas
赤炎诛神剑	Espada Punitiva do Deus Flamejante
磨骨灵宝	Caixa de Moagem de Ossos
琴谱	Partitura
碧光恶魄谱	 Pergaminho
金丝木手镯	Bracelete de Madeira Dourada
幻空道德琢	Entalhe Moral Eon
棋局	Go
苍龙异骨局	Folha
玉石剑	Espada
万里天府剑	Espada Marchante do Lar Celestial
幻空灵宝	Caixa Eon
五行玄光灵宝	Caixa da Luz Sombria dos Cinco Elementos
棕石手镯	Bracelete de Pedra Marrom
戊土庇世镯	Bracelete Sombrio e Recluso
碧光斩魔甲	Armadura Opalescente de Abate de Demônios
野猪皮修行下裳	Calças de Cultivador
白虹涤心衣	Vestuário de Mente Limpa Fogbow
狼皮香囊	Sachete Perfumado
行疆幻空囊	Bolsa Eon de Jornada
兔皮休闲衣衫	Camisa Casual de Pele de Coelho
行疆甲	Roupas de Jornada
霹雳白骨碑	 Torre
青龙斩仙草	Corda
垃圾	Lixo
七魄毒	Sete Almas  Escória
苍莽飞星谱	 Pergaminho
灰石环	Chakram
腾岳辟邪环	Chakram da Colina Ascendente contra o Mal
苍龙神卷	Folha
雌蛇粪便	Fezes
母兔子粪便	Fezes
布薄下裳	Calças finas de tecido preto
兔皮薄衣衫	Camisa fina de pele de coelho
野猪皮薄下裳	Calças finas de pele de javali
星髓弓	Arco de Núcleo Lumina
