房间	Sala
蜚皮修行衣衫	Uniforme De Seita Fei Hide
蜚皮修行下裳	Calças De Cultivador Fei Hide
巧夺天工的神兵，融合制作者的心血与灵感而成。	Arma Divina Engenhosamente Feita, Fundida Com O Esforço Vital E A Inspiração Do Criador.
炼狱	Chakram De Madeira Dourada
观音土	Argila De Guanyin
四象庇世灵宝	Tesouro Numinoso Secreto Das Quatro Estátuas
小麦	Trigo
腾岳千魂丝	Corda Dos Mil Almas Da Elevação Da Colina
灵木	Madeira Espiritual
甲乙极光柱	Aurora Oriental  Coluna
提高战斗能力，提高疼痛忍耐。	Utilizado Para Melhorar As Habilidades De Combate E A Resistência À Dor.
武昌符	Talismã Da Prosperidade Militar
佩戴者可以提高抵御木属性伤害之力。	Aumenta A Resistência Do Portador Contra Dano De Madeira.
木甲符	Talismã De Armadura De Madeira
佩戴者可以提高神民上限。	Aumenta O Limite Máximo De Residentes Divinos Do Portador.
神居符	Talismã De Morada Divina
角色出生点	Ponto De Nascimento
逻辑点	Ponto De Lógica
灵石钟	Sino De Pedra Espiritual
灵石栅栏	Cerca De Pedra Espiritual
梧桐木墙	Parede De Parasol Wood
梧桐木门	Porta De Parasol Wood
天柱石栅栏	Cerca De Pedra Sagrada
天柱石门派山门	Portão Da Seita De Pedra Sagrada
天柱石床	Cama De Pedra Sagrada
黑布蒲团	Almofada De Tecido Preto
灵石香炉	Incensário De Pedra Espiritual
梧桐木小方桌	Mesa Quadrada De Parasol Wood
梧桐木装饰书架	Estante De Decoração De Parasol Wood
梧桐木油灯	Lâmpada A Óleo De Parasol Wood
灵石神鹤灯	Lanterna De Pedra Espiritual De Garça
天柱石门派石碑	Estela Da Seita De Pedra Sagrada
灵石剑心玉莲	Lótus De Coração De Espada De Pedra Espiritual
灵石炉灶	Fogão De Pedra Espiritual
梧桐木桌子	Mesa De Parasol Wood
母鸡	Galinha
公鸡	Galo
公兔子	Coelho Macho
母兔子	Coelha
雄龟	Tartaruga Macho
母牛	Vaca
公牛	Touro
严	Yan
宁	Ning
志	Zhi
赏	Shang
新波	Xinbo
利	Li
温	Wen
绿真	Lüzhen
无言的守誓者	Guardião Do Juramento Silencioso
归真金刚	Vajra Do Retorno À Verdade
本源绝杀咒	Feitiço De Extermínio Da Essência Primordial
玉虚三花	Três Flores De Jade Vazio
未来星宿落花神雷	Relâmpago Divino Da Flor Caindo Do Futuro Estelar
多宝落花真言	Verdadeiro Feitiço Da Flor Caindo Dos Múltiplos Tesouros
嵩山覆灭真言	Verdadeiro Feitiço Da Aniquilação De Songshan
赤霄宫先天一气咒	Feitiço De Qi Original Do Palácio Vermelho Celestial
御神回春神雷	Relâmpago Divino De Rejuvenescimento
造化落花神雷	Relâmpago Divino Da Flor Caindo Do Destino
万源归真化影神雷	Relâmpago Divino Da Transformação Das Sombras Do Retorno À Verdade De Mil Origens
本源陨星神雷	Relâmpago Divino Da Estrela Cadente Da Essência Primordial
御神十二都天诀	Técnica Celestial Divina Dos Doze Capitais
本源落花	Flor Caída Da Essência Primordial
断岳飞星	Estrela Voadora Da Montanha Quebrada
勾陈接天咒	Feitiço De Conexão Com O Céu De Gou Chen
太上飞星	Estrela Voadora Suprema
鸿蒙流光咒	Feitiço De Luz Fluente Do Caos Primordial
造化通天神雷	Relâmpago Divino Da Criação Que Alcança O Céu
未来星宿流光真言	Verdadeiro Feitiço De Luz Fluente Do Futuro Estelar
御神流光	Luz Fluente Divina
苍木开天诀	Técnica De Abertura Do Céu Da Madeira Ancestral
紫薇镇神	Contenção Divina De Ziwei
本源镇神真言	Verdadeiro Feitiço De Contenção Divina Da Essência Primordial
玉虚五气神雷	Relâmpago Divino Dos Cinco Qi Do Jade Vazio
