蓝布薄衣衫	Blue Fabric Thin Shirt
牛皮薄下裳	Bull Hide Thin Pants
木刀	Wood Blade
兔肉	Rabbit Meat
镇岳辟邪幕	Hill Fall Evil Deterring  Tablecloth
狼皮薄衣衫	Wolf Hide Thin Shirt
熊皮薄下裳	Bear Hide Thin Pants
棕石弓	Brownstone Bow
奇怪的蘑菇	Strange Mushroom
青龙篮	Azuragon  Mushroom
花布修行衣衫	Patterned Fabric Sect Uniform
野猪皮修行下裳	Boar Hide Cultivator Pants
火精锤	Fire Essence Mace
观音土	Guanyin Clay
己土磨骨灵宝	Dismal Bone Grinding Numinous Treasure
虎皮修行衣衫	Tiger Hide Sect Uniform
蓝布修行下裳	Blue Fabric Cultivator Pants
玄铁刀	Blade
五雷炽魂刀	Five Thunders Flame Spirit Blade
红布修行衣衫	Red Fabric Sect Uniform
狼皮修行下裳	Wolf Hide Cultivator Pants
棕石长枪	Brownstone Spear
蓝布厚制下裳	Winter Pants
苍莽流星甲	Colossal Falling Star  Robe
熊皮薄衣衫	Bear Hide Thin Shirt
狼皮休闲下裳	Wolf Hide Casual Pants
佩戴者可以提高法宝回灵倍率。	Increases the wearer's Artifact Qi Recovery Multiplier.
灵剑符	Spiritsword Talisman
莲藕	Lotus Root
天权极光藕	Megrez Aurora Lotus Root
黄布薄衣衫	Yellow Fabric Thin Shirt
红布薄下裳	Red Fabric Thin Pants
木锤	Wood Mace
牛皮休闲衣衫	Casual Shirt
坤元御	Earthbound Clothes
花布薄衣衫	Patterned Fabric Thin Shirt
黑布修行下裳	Black Fabric Cultivator Pants
化形通慧	Shapeshifting Perceptive
虎皮休闲下裳	Casual Pants
戊土天府御	Grim Heavenly Abode  Armor
被封印的凶凤之卵	Phoenix Egg
小乾坤界-门户	Mini Universe Gate
灵石腾龙柱	Spirit Stone Dragonrising Pillar
角色出生点	Born Point
逻辑点	Logic Point
闵	Min
姬	Ji
全	Quan
高	Gao
香柏	Xiangbai
飞扬	Feiyang
维	Wei
逆浪尊者	Surfing Deity
宰	Zai
盼山	Panshan
康	Kang
袁	Yuan
秀	Xiu
太初居士	Original Immortal
林	Lin
笑白	Xiaobai
航	Hang
笪	Da
盼兰	Panlan
郑	Zheng
雪柳	Xueliu
弘	Hong
苗宣	Miaoxuan
翻江飞鹰	River Flyer
毋	Wu
锦	Jin
学	Xue
费	Fei
代芹	Daiqin
紫火刀	Purple ember Knife
终	Zhong
凡松	Fansong
安	An
项	Xiang
映之	Yingzhi
陆	Lu
春	Chun
三头金剑	Three-head golden sword
殷	Yin
芳	Fang
俏银狐	Handsome Silver Fox
邓	Deng
寒松	Hansong
才	Cai
裘	Qiu
叶	Ye
莫	Mo
文	Wen
扶	Fu
墨竹	Mozhu
赤脚尊者	Shoeless Deity
齐	Qi
晓曼	Xiaoman
兴思	Xingsi
沈	Shen
巧风	Qiaofeng
於	Yu
强	Qiang
演道飞狐	Insight Flying Fox
赋灵术	
五泉涤心法	
先天罡气	
化伤术	
求雨术	
甘霖术	
风水鉴定	
太和御气诀	
清心咒	
御木诀	
天霖诀	
天水化伤术	
天一真法	
采水诀	
入定之术	
水镜观心定	
灵息诀	
玄牝重生法	
乘风诀	
同风诀	
奔流诀	
归海诀	
水精真形	
水气真形	
水神真形	
暴雨术	Rainstorm
九阴真水界	
玄魂造命	
罡煞合流	
醍醐灌顶之术	
天道神丹	
天道神器	
通符书	
云气汇流	
剑符录	
神剑符	
玄符录	
天甲符	
咒符录	
神咒符	
结云经	
祈天经	
通天符法	
天真论	
无上神符	
借天符	
遮天符	
云行法	
东木分神书	
分神之术	
心斋	
养吾经	
吸星掌	
天魔舞	
心印诀	Chant of Resonance
寄情之术	
坐忘论	
七情剑	
魂体寄生	
风月幻境	
如意幻境	
同心诀	
脱胎换骨	
长生诀	
心剑	
再造形神之术	
太上忘情	
秘宝：清宁飞羽	
慧剑斩念	
风神云体	
斩道见我	
斩念剑	
极情剑	
玉京飞流法	
元磁灭绝神光	
和光同尘	
回光诀	
五气归源	
玉清定境	
万法归藏	
谷神大法	
庚金神雷	
回春诀	
烈焰决	
厚土之盾	
大衍神算	Derivative Calculation
周天神算	Universal Foresight
六壬神算	Astrological Foresight
元始之胎	
秘宝：戊己杏黄旗	
玉清太虚神雷	
庚金元神	
庚金元神·圆满	
甲木元神	
甲木元神·圆满	
壬水元神	
壬水元神·圆满	
丙火元神	
丙火元神·圆满	
戊土元神	
戊土元神·圆满	
太阴锻体	
少阴锻体	
玄阴锻体	
神行术	
瞬形法	
九州大法	
辟邪真法	
幽剑	
地母玄经	
凝珀诀	
摄神御鬼大法	
九幽炼神	
尘暴术	
八极炼形诀	
灵视神观	
太虚元罡	
太虚神盾	
瞬霎诀	
太阴诀	
少阴诀	
玄阴诀	
渊狱诀	
幽狱诀	
通幽秘传	
幽淬之法	
灵淬之法	
坤元真气	
厚德篇	
虚空谒神法	
坏灭诀	
一剑	
秘宝：一剑	
