ItemName	Descript
Item_Dan_IncreaseLife3	Em garrafa, Prolonga a vida, Amarelo claro
Item_Dan_IncreaseLife4	Em cabaça, Prolonga a vida, Azul
Item_Dan_Ling2	Roxo, Esférico, Fundação
Item_Dan_IncreaseLife5	Tribulação Azul, Esférica e Celestial
Item_Dan_IncreaseNeckCountdown1	Cabaça, Vermelho, Tribulação Celestial
Item_ParasolWood	Madeira, Duro, Relíquia Espiritual
Item_Dan_PracticeSpeed	Fogo, Velocidade, Em garrafa
Item_Dan_Defense	Proteção, Esférico, Laranja
Item_CopperBlock1	Quadrado, Fogo, Relíquia Espiritual
Item_Dan_CureHuoDamage	Esférico, Cura feridas, Roxo
Item_Dan_CureTuDamage	Esférico, Cura feridas, Laranja
Item_Dan_CureShuiDamage	Pó, Água, Azul
Item_Dan_CureMuDamage	Esférico, Ciano, Cura a ferida
Item_Dan_CureFiveElementDamage	Em garrafa, Cura feridas, Laranja
Item_EarthEssence_1	Na cabaça, Azul, Cura a ferida
Item_Dan_FiveBaseFromLife	Esférico, Roxo, Reduz a vida útil
Item_Dan_DredgeQi	Na garrafa, Cura feridas, Terra
Item_RedGinseng	Porta-enxerto, Vermelho, Fundação
Item_LingWood	Madeira, Azul, Relíquia do Espírito
Item_HardWood	Madeira, Amarelo
Item_Dan_PracticeRate	Pelotas pequenas, Metal, Limite
Item_Dan_IncreaseLife1	Prolonga a vida, Em cabaça, Madeira
Item_Dan_IncreaseLife2	Prolonga a vida, Pó, Água
Item_BasePracticeDrug	Cinco Atributos, Na garrafa, Água
Item_LingMuXueJie	Vigor, Pó, Azul
Item_Dan_CalmDown	Estado mental, pequenas pelotas, azul
Item_Dan_Happiness	Marrom, Estado Mental, Pequenas pelotas
Item_Dan_FiveBase2	Cinco Atributos, Terra, Na garrafa
Item_Dan_FiveBase1	Cinco Atributos, Em garrafa, Dourado
Item_Dan_FiveBase3	Fogo, Cinco Atributos, Na garrafa
Item_Dan_FiveBase4	Madeira, Cinco Atributos, Em garrafa
Item_Dan_FiveBase5	Água, Cinco Atributos, Em garrafa
Item_Dan_IncreaseNeckCountdown2	Pó, Tribulação Celestial, Metal
Item_Dan_CureJinDamage	Caso, Branco, Cura a ferida
