房间	Quarto
农田	Campo
熊皮薄衣衫	Camisa Fina de Pele de Urso
靛蓝布修行下裳	Calças de Cultivador de Tecido Índigo
狼皮薄衣衫	Camisa Fina de Pele de Lobo
熊皮休闲下裳	Calças Casuais de Pele de Urso
紫布修行衣衫	Uniforme de Cultivador de Tecido Roxo
黄布薄下裳	Calças Finas de Tecido Amarelo
可以提高视野范围，并提高历练时发现新地点的速度。	Talisman usado para melhorar o alcance da visão e reduzir o tempo gasto descobrindo novos locais em aventuras.
松豪	Song Hao
千里神视符	Talisman da Visão Profética
寒精弓	Arco de Essência de Gelo
肉干	Carnes Secas
母兔子粪便	Espaço de fezes de Coelha Fêmea
木农具	Ferramenta de Agricultura de Madeira
木水井	Caixa de Água de Madeira
灵石墙	Parede de Pedra Espiritual
灵石门	Porta de Pedra Espiritual
灵石床	Cama de Pedra Espiritual
灵石油灯	Lâmpada de Óleo de Pedra Espiritual
母兔子	Coiote Fêmea
母狼	Loba Fêmea
雌蛇	Serpente Fêmea
母野猪	Porca Fêmea
母鸡	Galinha Fêmea
公鸡	Galo
雄龟	Cuidador Masculino
雌龟	Cuidadora Fêmea
雄青蛙	Frog Masculino
雌青蛙	Frog Feminino
缠	Serpenteado
碎	Quebrado
<font color=MYCOLOR>仰厚</font>在割除<font color=OBJCOLOR>野草</font>时，脑海中突然浮现<font color=OBJCOLOR>轩辕士</font>的模样。	<font color=MYCOLOR>Yang Hou</font> estava cortando a grama quando de repente a imagem de <font color=OBJCOLOR>Xuan Yuan Shi</font> surgiu em sua mente.
1天 20:49	1d 20:49
仰	Yang
厚	Hou
惊魂初定	Alma calma recuperada
致	Zhi
景	Jing
依白	Yibai
公	Gong
友菱	Youling
<font color=MYCOLOR>程雪青</font>在割除<font color=OBJCOLOR>长草</font>时满怀动力，她觉得这也是修行的一环。	<font color=MYCOLOR>Cheng Xueqing</font> estava cortando a grama alta com motivação, achando que isso também fazia parte de seu treinamento.
1天 17:07	1d 17:07
<font color=MYCOLOR>程雪青</font>好像听到有谁在喊自己的名字。	<font color=MYCOLOR>Cheng Xueqing</font> parecia ouvir alguém chamando seu nome.
1天 19:13	1d 19:13
程	Cheng
雪青	Xueqing
胜	Sheng
贺	He
珊	Shan
毕	Bi
绍	Shao
<font color=MYCOLOR>轩辕士</font>踩到了什么东西。	<font color=MYCOLOR>Xuan Yuan Shi</font> pisou em algo.
1天 10:07	1d 10:07
<font color=MYCOLOR>轩辕士</font>打了个嗝。	<font color=MYCOLOR>Xuan Yuan Shi</font> deu um arroto.
3天 06:27	3d 06:27
轩辕	Xuanyuan
士	Shi
兴业	Xingye
言	Yan
诗蕊	Shirui
公兔子	Macho de Coelho
药物储量不足	Reservas de medicamentos insuficientes.
存档写入完成	Jogo salvo
松豪遇到瓶颈	Song Hao atingiu um limite.
仰厚需要砍伐工具	Yang Hou precisa de uma ferramenta para cortar
食物储量不足	Reservas de comida insuficientes.
化形镇神神雷	Relâmpago Divino de Transformação e Controle de Espíritos
丙火金刚真言	Verdadeiro Mantra do Diamante do Fogo
奔烈覆天神雷	Relâmpago Divino de Fogo Abrasador
天火飞星神雷	Relâmpago Divino das Estrelas Caindo do Céu
奠基宝典	Livro Fundacional
少量的	Quantidade Pequena
奠基秘册	Manual Secreto dos Fundamentos
奠基经	Clássico Fundacional
金刚宝典	Livro do Diamante
五戒奠基秘法	Técnica Secreta dos Fundamentos dos Cinco Preceitos
中量的	Quantidade Média
辟谷要诀	Técnica Essencial de Eliminação de Comida
微草佛心宝典	Livro do Coração Budista da Grama Suave
黄芽合一册	Livro da União do Broto Amarelo
五内琢玉通卷	Volume Integral de Lapidação de Jade Interior
凌霄决意神功	Técnica Espiritual de Determinação de Ascensão
大量的	Grande Quantidade
奔烈合一要诀	Técnica Essencial da União do Fogo Abrasador
凌霄摄神	Controle Espiritual de Ascensão
海量的	Quantidade Massiva
御木诀	Técnica de Controle de Madeira
元坤妙法	Técnica Maravilhosa de Origem e Terra
醍醐灌顶之术	Técnica do Néctar Divino da Iluminação
凌霄沃野密卷	Volume Secreto dos Campos Fertilizantes de Ascensão
赋灵术	Técnica de Infusão Espiritual
五泉涤心法	Técnica dos Cinco Poços de Purificação da Alma
先天罡气	Energia Primordial da Força
化伤术	Técnica de Cura
天霖诀	Técnica da Chuva Celestial
天一真法	Técnica Verdadeira do Céu Único
水镜观心定	Técnica da Reflexão da Mente no Espelho da Água
同风诀	Técnica da União dos Ventos
归海诀	Técnica do Retorno ao Mar
九阴真水界	Reino das Verdadeiras Águas do Nove Yin
罡煞合流	Fluxo Conjunto do Qi Vital e da Energia Mortal
