蜚皮休闲衣衫	Fei Hide Casual Shirt
蜚皮修行下裳	Fei Hide Cultivator Pants
寒精弓	Ice Essence Bow
大理石砖	Marble Block
行疆镇	Trekking  Stele
金丝木农具	Farming Tool
青龙白骨锄	Azuragon White Bone Hoe
五彩蘑菇拼	Fine Meal
青龙八极灵宝	Azuragon The Eight Poles Numinous Treasure
佩戴者可以提高护体之力。	Increases the wearer's Protection.
玄甲符	Darkarmor Talisman
可以一定程度上隐匿自己的气息，使自己外出历练时不那么容易被认出身份，以降低声望的获取。	Talisman used to hide your presence to some extent, become less identifiable by others during adventure, and reduce chances of obtaining reputation.
匿踪符	Talisman of Invisibility
提高制作物的品质。	Used to improve quality of crafted items.
天工符	Talisman of Craftsmanship
上古残迹	Ancient Ruins
灵石灯柱	Spirit Stone Lamp Post
角色出生点	Born Point
逻辑点	Logic Point
西	Xi
劫	Jie
夏	Xia
腾	Teng
项	Xiang
晓巧	Xiaoqiao
梁丘	Liangqiu
半芹	Banqin
家	Jia
锦	Jin
肃界之拯救者	
玉虚飞星诀	
冷月四象神雷	
造化飞星	
金雷金刚诀	
嵩山镇神	
什么？好不容易才把修行者杀干净，怎么又冒出来一个？	What! It is really hard to kill all the cultivators, now another one come?
真是让人不得空闲，但你与他们一样，一样值得拯救。	It is a busy job. But you are the same with them, need salvation.
末法的代言人	Spokesman of the Law End
禁止自动恢复灵气	Automatic recovery of Qi is banned
此地原本是梧桐神木生长的地方，灵气充沛，适合天地灵根生长。可惜千年之内灵气就被修行者汲取得一干二净。	This place used to be a place for Phoenixwood, full of Qi and is suitable to grow spirit roots. But all Qi here are absorbed by cultivators entirely in only 1000 years.
