拜祖师	Venerar os ancestrais
房间	Quarto
仓库	Armazém
木伐木斧	Machado de Corte de Madeira
熊皮休闲衣衫	Camisa Casual de Couro de Urso
兔皮修行下裳	Calças de Cultivo de Couro de Coelho
牛皮休闲衣衫	Camisa Casual de Couro de Touro
靛蓝布休闲下裳	Calças Casuais de Tecido Índigo
巧夺天工的神兵，融合制作者的心血与灵感而成。	Arma divina de artesanato impecável, forjada a partir do esforço e da inspiração de seu criador.
饮血	Espada Bebedora de Sangue
狼皮薄衣衫	Camisa Fina de Couro de Lobo
兔皮薄下裳	Calças Finas de Couro de Coelho
灵木锤	Maça de Madeira Espiritual
熊皮	Couro de Urso
万象赤血障	Barreira de Sangue Carmesim dos Dez Mil Fenômenos
牛皮薄衣衫	Camisa Fina de Couro de Touro
蓝布休闲下裳	Calças Casuais de Tecido Azul
火铜锭	Lingote de Cobre Ígneo
炽凰天心镇	Selo do Coração Celestial da Fênix Ardente
书	Livro
碧光鬼书	Escritos Fantasmas Opalescentes
靛蓝布休闲衣衫	Camisa Casual de Tecido Índigo
狼皮修行下裳	Calças de Cultivo de Couro de Lobo
寒精锤	Maça de Essência Gélida
佩戴者可以提高御器技能等级。	Aumenta o nível da habilidade de Maestria em Artefatos do usuário.
神剑符	Talismã da Espada Divina
莲藕	Raiz de Lótus
壬水炼心藕	Raiz de Lótus de Água Ren que Refina a Mente
棕石砖	Tijolo de Pedra Marrom
麒麟极光圭	Placa Aurora do Qilin
虎皮薄衣衫	Camisa Fina de Couro de Tigre
红布薄下裳	Calças Finas de Tecido Vermelho
木锤	Maça de Madeira
黄布休闲衣衫	Camisa Casual de Tecido Amarelo
苍龙甲	Armadura do Dragão Azure
癸水极光藕	Raiz de Lótus Aurora de Água Gui
蓝布修行衣衫	Uniforme de Seita de Tecido Azul
牛皮修行下裳	Calças de Cultivo de Couro de Touro
木环	Aro de Madeira
垃圾	Lixo
镇岳五色毒	Veneno Prismático Supressor de Montanha
金丝灵木	Madeira Espiritual de Fios Dourados
长生七魄木	Madeira das Sete Almas da Longevidade
黑布薄衣衫	Camisa Fina de Tecido Preto
麒麟磨骨碑	Estela de Moagem de Ossos do Qilin
虎皮厚制衣衫	Casaco de Inverno de Couro de Tigre
万里御	Veste Marchante
野猪皮修行衣衫	Uniforme de Seita de Couro de Javali
可以提高炎热抵抗的符咒。	Talismã usado para aumentar a resistência ao calor.
避暑符	Talismã Contra o Calor
大理石砖	Tijolo de Mármore
行疆落樱阙	Torre da Jornada das Cerejeiras Caindo
香菇	Cogumelo
长生白骨菇	Cogumelo de Ossos Brancos da Longevidade
琴谱	Partitura
长生三清谱	Partitura das Três Purezas da Longevidade
火精剑	Espada de Essência do Fogo
天火长青要诀	Manual do Fogo Celestial Eterno
使头脑清明，提高学习能力。	Usado para clarear a mente e melhorar a capacidade de aprendizado.
文昌符	Talismã de Prosperidade Acadêmica
铁矿石	Minério de Ferro
霹雳神圭	Placa Divina do Trovão
棕石	Pedra Marrom
天府流光石	Pedra de Fluxo Luminoso da Mansão Celestial
熊皮薄衣衫	Camisa Fina de Couro de Urso
戊己降龙御	Veste de Subjugar Dragões (Wu-Ji)
花布薄衣衫	Camisa Fina de Tecido Estampado
寒晶弓	Arco de Cristal de Gelo
熊皮修行衣衫	Uniforme de Seita de Couro de Urso
花布修行下裳	Calças de Cultivo de Tecido Estampado
玄铁锤	Maça de Ferro Negro
寒晶锭	Lingote de Cristal de Gelo
惊波磨骨珏	Jade de Moagem de Ossos da Onda Surpreendente
三才大日枝	Ramo do Grande Sol dos Três Talentos
兔皮修行衣衫	Uniforme de Seita de Couro de Coelho
牛皮薄下裳	Calças Finas de Couro de Touro
佩戴者可以提高抵御水属性伤害之力。	Aumenta a resistência do usuário a dano de Água.
水甲符	Talismã de Armadura de Água
万里落影镇	Selo das Sombras Caídas de Dez Mil Li
木角料	Aparas de Madeira
青龙圣镖	Dardo Sagrado do Dragão Azure
蓝布薄衣衫	Camisa Fina de Tecido Azul
红布休闲下裳	Calças Casuais de Tecido Vermelho
棉花	Algodão
碧光白骨线	Linha de Osso Branco Opalescente
虎皮休闲下裳	Calças Casuais de Couro de Tigre
极光甲	Armadura Aurora
黑布薄下裳	Calças Finas de Tecido Preto
棕石长枪	Lança de Pedra Marrom
兔皮	Couro de Coelho
镇岳恶魄障	Barreira de Alma Maligna Supressora de Montanha
蛇蛋	Ovo de Cobra
坤元万魂珠	Orbe de Kun-Yuan das Dez Mil Almas
野猪皮薄下裳	Calças Finas de Couro de Javali
玄机气摄密卷	Pergaminho Secreto de Absorção de Qi (Xuanji)
灰石砖	Tijolo de Pedra Cinza
行疆天璇碑	Estela Merak da Jornada
白布清凉下裳	Calças Frescas de Tecido Branco
碧光乾坤御	Veste do Universo Opalescente
狼皮薄下裳	Calças Finas de Couro de Lobo
木弓	Arco de Madeira
狼皮	Couro de Lobo
坤元障	Barreira Kun-Yuan
龟蛋	Ovo de Tartaruga
戊土荡魔蛋	Esfera Exorcizante do Mal (Terra Wu)
观音土	Argila Guanyin
天心庇世灵宝	Tesouro Numinoso do Coração Celestial que Protege o Mundo
莲花炼心菇	Cogumelo de Lótus que Refina a Mente
灵晶角料	Aparas de Cristal Espiritual
六合钉	Prego das Seis Direções
多宝琢玉秘传	Método Secreto de Lapidação de Jade Duobao
己土阴魂罩	Manto de Alma Sombria (Terra Ji)
狼皮厚制衣衫	Casaco de Inverno de Couro de Lobo
腾岳五行甲	Armadura dos Cinco Elementos da Ascensão da Montanha
花布薄下裳	Calças Finas de Tecido Estampado
棕石锤	Maça de Pedra Marrom
木料	Madeira
