拜祖师	Culto aos Ancestrais
房间	Quarto
仓库	Depósito
木伐木斧	Machado de Madeira para Lenha
熊皮休闲衣衫	Camisa Casual de Pele de Urso
兔皮修行下裳	Calça de Cultivador de Pele de Coelho
牛皮休闲衣衫	Camisa Casual de Pele de Touro
靛蓝布休闲下裳	Calça Casual de Tecido Índigo
巧夺天工的神兵，融合制作者的心血与灵感而成。	Arma Divina de Artesanato Supremo, Forjada com o Sangue e Inspiração do Criador
饮血	Espada de Aço Sombrio
狼皮薄衣衫	Camisa Fina de Pele de Lobo
兔皮薄下裳	Calça Fina de Pele de Coelho
灵木锤	Martelo de Madeira Espiritual
熊皮	Pele de Urso
万象赤血障	Barreira Carmesim de Todos os Fenômenos
牛皮薄衣衫	Camisa Fina de Pele de Touro
蓝布休闲下裳	Calça Casual de Tecido Azul
火铜锭	Barra de Cobre Ígneo
炽凰天心镇	Metal do Coração Celestial Abrasador
书	Livro
碧光鬼书	Livro Fantasma Opalescente
靛蓝布休闲衣衫	Camisa Casual de Tecido Índigo
狼皮修行下裳	Calças de Cultivador de Pele de Lobo
寒精锤	Maça da Essência Gélida
佩戴者可以提高御器技能等级。	Aumenta o nível da habilidade de Maestria em Artefatos do portador.
神剑符	Talismã da Espada Divina
莲藕	Raiz de Lótus
壬水炼心藕	Raiz de Lótus Refinada da Água Rén
棕石砖	Tijolo de Pedra Marrom
麒麟极光圭	Tablete da Aurora do Quilin
虎皮薄衣衫	Camisa Fina de Pele de Tigre
红布薄下裳	Calças Finas de Tecido Vermelho
木锤	Maça de Madeira
黄布休闲衣衫	Camisa Casual de Tecido Amarelo
苍龙甲	Armadura do Dragão Azul
癸水极光藕	Raiz de Lótus da Aurora da Água Guǐ
蓝布修行衣衫	Túnica de Cultivador de Tecido Azul
牛皮修行下裳	Calças de Cultivador de Couro de Touro
木环	Chakram de Madeira
垃圾	Lixo
镇岳五色毒	Pó Prismático da Queda da Colina
金丝灵木	Madeira Espiritual de Fios Dourados
长生七魄木	Madeira das Sete Almas da Longevidade
黑布薄衣衫	Camisa Fina de Tecido Preto
麒麟磨骨碑	Tablete de Trituração Óssea do Quilin
虎皮厚制衣衫	Camisa Grossa de Pele de Tigre
万里御	Camisa de Marcha
野猪皮修行衣衫	Túnica de Cultivador de Pele de Javali
可以提高炎热抵抗的符咒。	Talismã usado para aumentar a resistência ao calor.
避暑符	Talismã de Resistência ao Calor
大理石砖	Tijolo de Mármore
行疆落樱阙	Pedra da Expedição das Cerejeiras Caídas
香菇	Cogumelo
长生白骨菇	Cogumelo Branco Ósseo da Longevidade
琴谱	Partitura
长生三清谱	Partitura da Tríplice Pureza da Longevidade
火精剑	Espada da Essência de Fogo
天火长青要诀	Instrução Eterna do Fogo Celestial
使头脑清明，提高学习能力。	Usado para clarear a mente e melhorar a capacidade de aprendizado.
文昌符	Talismã da Prosperidade Literária
铁矿石	Minério de Ferro
霹雳神圭	Selo Divino do Trovão
棕石	Pedra Marrom
天府流光石	Tablete do Tempo da Morada Celestial
熊皮薄衣衫	Camisa Fina de Pele de Urso
戊己降龙御	Camisa de Subjugação do Dragão Central
花布薄衣衫	Camisa Fina de Tecido Estampado
寒晶弓	Arco de Cristal Gélido
熊皮修行衣衫	Túnica de Cultivador de Pele de Urso
花布修行下裳	Calças de Cultivador de Tecido Estampado
玄铁锤	Maça de Ferro Sombrio
寒晶锭	Barra de Cristal Gélido
惊波磨骨珏	Torre de Trituração Óssea Turquesa
三才大日枝	Estaca do Grande Sol dos Três Talentos
兔皮修行衣衫	Túnica de Cultivador de Pele de Coelho
牛皮薄下裳	Calças Finas de Pele de Touro
佩戴者可以提高抵御水属性伤害之力。	Aumenta a resistência do portador contra dano de atributo Água.
水甲符	Talismã da Armadura de Água
万里落影镇	Selo das Sombras Caídas da Marcha
木角料	Aparas de Madeira
青龙圣镖	Fragmento Sagrado do Dragão Azul
蓝布薄衣衫	Camisa Fina de Tecido Azul
红布休闲下裳	Calças Casuais de Tecido Vermelho
棉花	Algodão
碧光白骨线	Fio Ósseo Branco Opalescente
虎皮休闲下裳	Calças Casuais de Pele de Tigre
极光甲	Armadura da Aurora
黑布薄下裳	Calças Finas de Tecido Preto
棕石长枪	Lança de Pedra Marrom
兔皮	Pele de Coelho
镇岳恶魄障	Couro da Alma Maligna da Queda da Colina
蛇蛋	Ovo de Cobra
坤元万魂珠	Conta de Todas as Almas da Terra
野猪皮薄下裳	Calças Finas de Pele de Javali
玄机气摄密卷	Pergaminho Secreto da Absorção de Qi Misterioso
灰石砖	Tijolo de Pedra Cinza
行疆天璇碑	Tablete Merak da Expedição
白布清凉下裳	Calças Leves de Tecido Branco
碧光乾坤御	Armadura do Universo Opalescente
狼皮薄下裳	Calças Finas de Pele de Lobo
木弓	Arco de Madeira
狼皮	Pele de Lobo
坤元障	Cobertura da Terra
龟蛋	Ovo de Tartaruga
戊土荡魔蛋	Ovo Exorcista do Solo Wu
观音土	Argila Guanyin
天心庇世灵宝	Tesouro Espiritual da Proteção Celestial
莲花炼心菇	Cesto de Lótus do Refinamento da Mente
灵晶角料	Aparas de Cristal Espiritual
六合钉	Fragmento das Seis Direções
多宝琢玉秘传	Método Secreto de Polimento de Jade de Duobao
己土阴魂罩	Couro da Alma Sombria do Solo Ji
狼皮厚制衣衫	Camisa Grossa de Pele de Lobo
腾岳五行甲	Armadura dos Cinco Elementos da Montanha Elevada
花布薄下裳	Calças Finas de Tecido Estampado
棕石锤	Maça de Pedra Marrom
木料	Madeira Bruta
苍龙五色柱	Coluna Prismática do Dragão Azul
地龙天璇灵宝	Tesouro Numinógeno do Dragão Terrestre Merak
肉干	Carne Seca
昙花水梨汤	Sopa de Pera com Epiphyllum
可以大幅提高寒冷抵抗的符咒。	Talismã usado para aumentar drasticamente a resistência ao frio.
太阳符	Talismã do Supremo Yang
可以大幅提高炎热抵抗的符咒。	Talismã usado para aumentar drasticamente a resistência ao calor.
太阴符	Talismã do Supremo Yin
花布清凉衣衫	Camisa Leve de Tecido Estampado
紫布休闲衣衫	Camisa Casual de Tecido Roxo
蓝布厚制衣衫	Camisa de Inverno de Tecido Azul
龙鳞法衣	Túnica de Escamas de Dragão
阴寰法衣	Túnica Sombria
烬灭法衣	Túnica das Cinzas Extintas
蔽天法衣	Túnica do Véu Celestial
阳华羽衣	Túnica de Plumas Radiantes
日炎金袍	Manto Dourado das Chamas Solares
火浣衣	Túnica de Banho de Fogo
玄海流仙袍	Manto do Fluxo Místico
幽玄法衣	Túnica Espectral
青鹤云裳	Manto da Garça Azul
可以一定程度上隐匿自己的气息，使自己外出历练时不那么容易被认出身份，以降低声望的获取。	Talismã usado para ocultar parcialmente sua presença, tornando-se menos identificável durante aventuras e reduzindo a obtenção de reputação.
匿踪符	Talismã da Invisibilidade
七巧蒸洪藕	Lótus ao Vapor com Sete Recheios
牛肉丸	Almôndegas de Carne Bovina
雌龟粪便	Fezes de Tartaruga Fêmea
干栋	Feixe Seco
灵石墙	Parede de Pedra Espiritual
灵石门	Porta de Pedra Espiritual
灵石灯笼	Lanterna de Pedra Espiritual
灵石置物台	Prateleira de Pedra Espiritual
傀儡停放点	Ponto de Estacionamento de Marionetes
灵石床	Cama de Pedra Espiritual
灵石手工桌	Mesa de Artesanato de Pedra Espiritual
灵石制药桌	Mesa de Medicina de Pedra Espiritual
灵石缝纫桌	Mesa de Costura de Pedra Espiritual
灵石画符桌	Mesa de Talismãs de Pedra Espiritual
灵石纺织机	Tear de Pedra Espiritual
灵石石匠台	Bancada de Trabalho em Pedra Espiritual
灵石磨坊	Moinho de Pedra Espiritual
灵石水井	Poço de Pedra Espiritual
灵石丹炉	Forno de Alquimia de Pedra Espiritual
木砍柴处	Área de Corte de Madeira
灵石炼宝台	Mesa de Fabricação de Tesouros de Pedra Espiritual
灵石熔炉	Forno de Pedra Espiritual
灵石锻铁台	Forja de Pedra Espiritual
灵石观星台	Observatório de Pedra Espiritual
灵石炉灶	Fogão de Pedra Espiritual
灵石桌子	Mesa de Pedra Espiritual
灵石小方桌	Mesinha Quadrada de Pedra Espiritual
灵石水缸	Tonel de Água de Pedra Espiritual
练功点	Ponto de Treinamento
灵石祖师牌位	Santuário Ancestral de Pedra Espiritual
红布蒲团	Almofada Vermelha de Tecido
历练归来点	Ponto de Recompensa
灵石钟	Sino de Pedra Espiritual
灵石门派山门	Portão da Seita de Pedra Espiritual
灵石神鹤灯	Lanterna da Garça Sagrada de Pedra Espiritual
灵石鼓	Tambor de Pedra Espiritual
灵石黄龙灯台	Castiçal do Dragão Dourado de Pedra Espiritual
灵石琴台	Mesa de Cítara de Pedra Espiritual
灵石香炉	Incensário de Pedra Espiritual
灵石假人桩	Boneco de Treinamento de Pedra Espiritual
灵石鼎	Caldeirão de Pedra Espiritual
灵石围棋桌	Mesa de Go de Pedra Espiritual
灵石烟花-龙歌	Fogos de Artifício de Pedra Espiritual (Canção do Dragão)
灵石护山剑阵	Formação de Espadas Protetoras da Montanha de Pedra Espiritual
母猫	Gata
<font color=MYCOLOR>钭世</font>因<font color=OBJCOLOR>房间风水好</font>心情不错，忍不住来<font color=OBJCOLOR>随便看看</font>抒怀。	<font color=MYCOLOR>钭世</font> por ter <font color=OBJCOLOR>bom feng shui no quarto</font> está de bom humor, não pôde evitar <font color=OBJCOLOR>dar uma olhada</font> para expressar seus sentimentos.
2天 09:36	2d 09:36
隅中时分，<font color=MYCOLOR>钭世</font>在<font color=OBJCOLOR>看天花板</font>时，突然发出一声长叹。	No momento em que estava no canto, <font color=MYCOLOR>钭世</font> ao <font color=OBJCOLOR>olhar para o teto</font>, de repente soltou um longo suspiro.
3天 10:47	3d 10:47
<font color=MYCOLOR>钭世</font>被<font color=OBJCOLOR>睡在地上</font>的情绪困扰，只能<font color=OBJCOLOR>读书品卷</font>来放空心灵。	<font color=MYCOLOR>钭世</font> por estar perturbado pelas emoções de <font color=OBJCOLOR>dormir no chão</font>, só pôde <font color=OBJCOLOR>ler livros e pergaminhos</font> para esvaziar a mente.
3天 15:18	3d 15:18
钭	Tou
世	Shi
建立门派	Estabelecer uma Seita
私塾学子	Estudante de Escola Privada
朋	Peng
米	Mi
秋灵	Qiuling
双	Shuang
晓霜	Xiaoshuang
贺	He
扇错	Shancuo
庄	Zhuang
安	An
<font color=MYCOLOR>晏春翠</font>很喜欢<font color=OBJCOLOR>晴天</font>。	<font color=MYCOLOR>晏春翠</font> gosta muito de <font color=OBJCOLOR>dias ensolarados</font>.
4天 08:02	4d 08:02
晏	Yan
春翠	Chuncui
彪	Biao
晁	Chao
碧彤	Bitong
万里无云，<font color=MYCOLOR>酆刚</font>刚因周围绝美的风景而发出一声叹息，看<font color=HECOLOR>晏春翠</font>刚好在旁边，就拉着她一起聊天。聊到<font color=OBJCOLOR>灵石灯笼</font>的时候，两人竟然颇有共鸣，越谈越深。	Sem nuvens por todos os cantos, <font color=MYCOLOR>酆刚</font> soltou um suspiro devido à paisagem deslumbrante ao redor; ao ver <font color=HECOLOR>晏春翠</font> bem próxima, puxou-a para conversar. Ao falar sobre <font color=OBJCOLOR>lanterna de pedra espiritual</font>, os dois encontraram grande sintonia, conversando cada vez mais profundamente.
2天 14:10	2d 14:10
门派中，<font color=MYCOLOR>酆刚</font>看<font color=HECOLOR>晏春翠</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>猫</font>的事。	Dentro da seita, <font color=MYCOLOR>酆刚</font> achou que <font color=HECOLOR>晏春翠</font> estava entediada, então puxou-a para conversar sobre <font color=OBJCOLOR>gatos</font>.
2天 21:14	2d 21:14
酆	Feng
刚	Gang
清	Qing
水	Shui
