ID	Name	Desc
ID	Name	Description
-1	Antecedentes Misteriosos	A história de [NAME] foi perdida, assim como todas as informações a respeito. (Empty)
1	Educado em Casa	[NAME] recebeu uma educação cultural completa quando criança. A educação domiciliar permitiu [ENHIM] compreender vários e diversos campos de informação, e também permitiu [ENHIM] desenvolver uma forma refinada graças aos muitos livros disponíveis.
2	criança Rei	[NAME] nasceu em uma pequena vila nas montanhas e foi um arrivista desde o início, mas a capacidade de liderança também era abundante. [NAME] muitas vezes levava um bando de crianças montanha abaixo para brincar e lutar com crianças de aldeias vizinhas também.
3	Órfão	Os pais de [NAME] morreram ainda jovens e, portanto, tiveram que descobrir sobreviver sem mais ninguém para fornecer apoio. Uma vida tão difícil deu [ENHIM] um físico mais impressionante e tempo de reação muito mais rápido do que outras crianças da mesma idade.
4	Perda de memória	[NAME] memória de infância completamente perdida [ITS]. Toda vez que [NAME] tentava se lembrar de alguma coisa, dores de cabeça lancinantes eram a única coisa que ganhava com o esforço. Em um esforço para descobrir a verdade, [NAME] gastou bastante esforço investigando lendas. Embora nenhuma causa tenha sido encontrada até o momento, a experiência ainda deu [ENHIM] mais do que alguns iniciadores de conversa.
5	Herdeiro mais velho	[NAME] é o herdeiro mais velho de uma família rica, que teve uma infância sem desejos. [NAME] nunca precisou sujar [ITS] as mãos, e recebeu apenas a melhor educação.
6	Herdeira mais velha	[NAME] é a filha mais velha de uma família rica, que teve uma infância sem desejos. [IT] nunca precisou sujar [ITS] as mãos, e recebeu apenas a melhor educação.
7	Família Intelectual	[NAME] nasceu em uma família de intelectuais e, portanto, é bem versado na cultura. Mas os anos de escrita deixaram [NAME] faltando em termos de físico.
8	Família de artistas marciais	[NAME] nasceu em uma família de artistas marciais e recebeu treinamento altamente regimentado desde tenra idade. Crescer cercado por artistas marciais deixou uma compreensão extremamente profunda da batalha.
9	Juventude Assassina	[NAME] era um órfão que foi criado por assassinos para ser um assassino a sangue frio. O órfão só conseguiu escapar dessa vida quando a organização de assassinos foi derrubada.
10	nascido em um bordel	[NAME] nasceu num bordel, sem qualquer conhecimento da identidade dos próprios pais. Crescer nas ruas fez com que [ENHIM] entendesse verdadeiramente o significado do que é necessário para sobreviver.
11	Um artesão nato	[NAME] cresceu em uma família de artistas e cresceu fazendo todo tipo de coisa à mão.
12	Filho de Açougueiro	[NAME] cresceu em uma família de açougueiros e ajudava de vez em quando. Esta experiência fez [ENHIM] selvagem e forte.
13	Família de fazendeiros	[NAME] é o filho mais velho de uma família de agricultores. As lutas da vida na fazenda fizeram com que [ENHIM] compreendesse os caminhos do mundo desde tenra idade.
14	Doutor em treinamento	[NAME] cresceu com um curandeiro viajante, [IT] percorreu toda a terra juntos. Essas experiências emprestaram [ENHIM] uma impressionante amplitude de conhecimento.
15	Família de Funcionários	[NAME] cresceu em uma família de funcionários do governo, então a fachada falsa que mascara as lutas pelo poder é muito familiar. [NAME] passou a explorar a sinceridade e a bondade nos outros desde tenra idade, mas esse tipo de infância torna difícil baixar a guarda.
16	Observador de estrelas	[NAME] cresceu em uma família de astrônomos e por isso tem um grande interesse pelo cosmos desde tenra idade. Como resultado, [NAME] cresceu com um nariz em livros e gráficos de estrelas.
17	Viajante	O pai de [NAME] era emissário para o ocidente e com tanta frequência o acompanhava em suas viagens ao exterior. Como resultado, [NAME] tem um grande interesse e anseio por todos os cantos do mundo.
18	Sugar Baby	[NAME] foi criado por um rico aristocrata. As vivências desse tipo de infância causaram [ENHIM] pavor nas relações entre homens e mulheres.
19	Criança ferreiro	[NAME] foi vendido a um ferreiro desde jovem para trabalhar como trabalhador infantil, cresceu ouvindo os sons de uma forja em funcionamento e desejando crescer para se tornar um ferreiro.
20	Um com o mar	[NAME] cresceu em um barco e naturalmente amava a água. Tal infância deixou [ENHIM] com um físico robusto.
21	Gênio da música	[NAME] nasceu em uma família de músicos, herdou genes excelentes e por isso é um gênio excepcional quando se trata de música.
22	Filho(a) de um Demônio	A mãe de [NAME] foi enganada por Demônios Caídos e ficou grávida de [ENHIM]. [NAME] possui sangue de demônio, tornando assim [ENHIM] difícil de olhar para dizer o mínimo e um assunto de discriminação para arrancar.
23	Abençoado(a)	[NAME] nasceu em um mundo de boa sorte, é como se a noite fosse dia para este. O destino de [NAME] é abençoado.
24	Assassino(a) das Estrelas	[NAME] é a reencarnação das sete estrelas assassinas no céu e assim nasceu para trazer a matança ao campo de batalha.
25	Líder entre os Homens	[NAME] é inteligente além da comparação, este é um gênio único nesta terra. [NAME] domina qualquer assunto com facilidade. Infelizmente, embora [NAME] tenha nascido com uma deficiência, especificamente os Meridianos Quebrados fazem com que este não possa se envolver na Prática.
26	Jovem pastor	[NAME] cuidava do rebanho do senhorio desde tenra idade. Mas [NAME] sempre sentiu que esse destino era injusto e que estava destinado a algo maior.
27	Espirito forte	[NAME] nasceu com uma deficiência no intelecto, este não falava até os cinco anos como resultado e não aprendeu a andar até os 10 anos. Os pais de [NAME] praticaram paciência infinita. \nEmbora [NAME] seja bastante inepto quando o intelecto é necessário, mas este tem um interesse incrível em aprender, não importa o tópico. [NAME] está disposto a colocar várias vezes o esforço que outros estariam dispostos a colocar no estudo de um tópico.
28	Criança mendiga	[NAME] foi abandonado desde jovem e acabou sendo criado por um bando de mendigos. Uma vez que [NAME] começou a entender os caminhos do mundo, essa criança começou a implorar para sobreviver. \nUma vida de mendicância permitiu [NAME] ver a fria indiferença da humanidade e também permitiu [ENHIM] tornar-se perito em ler o coração das pessoas.
29	Colecionador de Conchas	[NAME] cresceu em uma vila de pescadores pobre à beira-mar. [NAME] carecia de qualquer tipo de entretenimento durante a infância e, portanto, o único passatempo que se apresentava era coletar conchas à beira-mar.
30	Criança espiã	[NAME] tem uma aparência sedutora e por isso foi escolhido pela corte para servir como espião político e por isso foi despachado para a capital inimiga para realizar espionagem. \nDurante o treinamento, [NAME] enfatizou o estudo de espionagem, de ocultar seus métodos e de como assumir a culpa se descoberto.
31	Filho(a) do proprietário	[NAME] nasceu em uma família de proprietários e não teve que trabalhar ou aprender sobre coisas práticas. \n[NAME] acabou tendo relações com um servo desde muito jovem e encontrou felicidade nisso, mas também fez [ENHIM] ainda mais fraco do que antes.
32	Vendedor(a) de flores	Os pais de [NAME] administravam uma floricultura. [NAME] começou a vender flores de uma cesta de flores depois de entender como o mundo funciona. [NAME] desenvolveu carisma e tornou-se mais extrovertido e animado graças a ter que lidar constantemente com as pessoas na rua.
33	Uma Infância Feliz	Os pais de [NAME] são uma ramificação de uma família proeminente. Apesar de não terem esperanças de herdar os negócios da família, [ITS] os pais sempre se contentaram em não se preocupar com o não atendimento das necessidades materiais. \nComo resultado, [NAME] foi levado por toda a terra por esses mesmos pais, foi uma infância bastante feliz.
34	Criança selvagem	[NAME] nasceu em uma aldeia de montanha, [ITS] os pais foram vítimas de um ataque de lobo desde cedo. \n[NAME] cresceu com o mingau que as pessoas eram gentis o suficiente para distribuir, embora ninguém realmente se importasse com a criança, e então os dias dessa criança foram gastos na selva vagando pelas montanhas, se não na aldeia . [NAME] nunca teve nenhum amigo crescendo, além de um cachorro que é.
35	Criança Serva	[NAME] cresceu na pobreza e foi enviado para servir álcool na taberna local desde tenra idade. \nHavia muitos bêbados na taverna e por isso [NAME] era frequentemente espancado e repreendido. Houve até uma vez que a perna [ITS] acabou sendo quebrada por um cliente.
36	Filho(a) de Fazendeiro	A família de [NAME] dependia da agricultura para subsistir. e assim foi levado para os campos desde tenra idade. Como resultado, [NAME] tem bastante o polegar verde.
37	Filho(a) de Fazendeiro	Os pais de [NAME] eram arrendatários. Eles tinham um pedaço de terra e alguns porcos. [NAME] começou a ir ao campo ajudar a trabalhar a terra com [ITS] pais a partir dos sete ou oito anos de idade. [NAME] cuidava dos porcos e forrageava enquanto [ITS] o pai plantava. \nHouve uma vez, enquanto alimentava os porcos, que [NAME] não estava prestando atenção e um deles arrancou um dedo.
38	Filho(a) de Fazendeiro	A família de [NAME] era arrendatária. O trabalho agrícola teve um impacto significativo no corpo do pai [ITS] desde o início e, portanto, foi incapaz de fazer pagamentos. Sem outras opções, [NAME] foi vendido para ajudar na dívida. \nAquele que [NAME] foi vendido para castigado [ENHIM] e trabalhou a criança até os ossos.
39	Jovem capacitado	Havia três gerações de generais seguidas na família de [NAME] e, portanto, essa criança passou por um treinamento e estudo exaustivos para poder viver de acordo com o nome da família. \nMetade da [ITS] infância foi passada em campos de treinamento militar, isso feito [ITS] ossos parecem ser feitos de aço.
40	Família Militar	A mãe de [NAME] faleceu cedo e seu pai era um veterano de anos de campanhas ocidentais. Depois que a atividade militar se acalmou, [ITS] o pai tornou-se instrutor para os militares e assim [NAME] viveu em acampamentos militares por um bom tempo. \nEnquanto acompanhava [ITS] o pai para suprimir alguns ocultistas, [NAME] viu algumas magias estranhas sendo empregadas e assim ficou bastante interessado na prática como resultado.
41	Criança lobo	[NAME] foi criado por um lobo e não foi descoberto até a idade de cinco anos, quando algumas pessoas encontraram a criança na cova dos lobos. [NAME] ficou com uma sensação de alienação na sociedade humana devido ao crescimento com lobos e até passou muitos anos praticando antes de poder falar normalmente.
42	Aristocrata Caído	A família de [NAME] já foi conhecida como uma família de arquitetos qualificados. Eles acabaram sendo invadidos durante a queda da última dinastia e nunca se recuperaram. Durante a queda da dinastia, [ITS] o pai foi torturado e morto. Essa mudança drástica no estilo de vida deixou [ENHIM] introvertido e de posse de um complexo de inferioridade.
43	Órfão	[NAME] é um órfão que teve que crescer nas sombras da cidade, mendigando e roubando para subsistir. \nViver muitos anos como um vagabundo levou [ITS] os nervos a se tornarem excessivamente sensíveis e incapazes de dormir por longos períodos de tempo.
44	Bebê Abandonado	[NAME] foi deixado abandonado em uma pilha de lixo. Este bebê foi encontrado por um catador que acabou criando [ENHIM]. \nCondições extremamente precárias levaram [ENHIM] a contrair uma condição que deixou a criança com uma perspectiva ruim para [ITS] saúde e longevidade.
45	Criança da Aldeia	[NAME] nasceu em uma aldeia de montanha devido a [ITS] pais terem fugido para lá do caos da guerra. Como resultado, [NAME] foi ensinado a rejeitar a violência e a guerra desde tenra idade. Isso deixou [ENHIM] com extrema aversão à violência física e aqueles que a empregariam.
46	Filho do campo de batalha	[NAME] era um órfão que foi encontrado no campo de batalha. [NAME] foi criado por um centurião e por isso passou por treinamento militar e estudou os caminhos da guerra com os adultos desde tenra idade. A infância de \n[NAME] foi passada treinando e matando inimigos até que as tropas foram emboscadas. [NAME] teve a sorte de sair vivo e assim começou a refletir sobre o significado da vida.
47	Dinastia anterior	[NAME] cresceu em uma casa Siheyuan, estilo pátio, estudando e brincando com as crianças do bairro. \nO que ninguém sabia era que [NAME] era na verdade o imperador da dinastia anterior que estava silenciosamente esperando os rebeldes virem buscar [ENHIM] e retomar o trono.
48	Sobrevivente	[NAME] é o sobrevivente de um massacre. Quando [NAME] acordou para uma montanha de cadáveres e mar de sangue, tudo antes da criança se tornou o pesadelo que atormentaria toda a vida.
49	Defeito congênito	Os pais de [NAME] eram irmão e irmã e, portanto, nasceu com um defeito congênito como resultado. Isso deixou [ENHIM] frágil e debilitado.
50	Criança madura	[NAME] cresceu em uma família que forneceu recursos abundantes para as crianças. [NAME] acabou sendo popular com o sexo oposto desde tenra idade e amadureceu muito mais cedo do que seus pares. Como resultado, encantar uma sala cheia de pessoas não é problema para este.
