/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Areas.Areas.1.Name	灵植影响范围	1	_ReplaceAreaName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.0._hd.Ss.1	鹿蜀皮休闲衣衫	0.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.1._hd.Ss.1	鹿蜀皮薄下裳	1.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.2._hd.Ss.1	梧桐木弓	2.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.3.Fabao.OName	棋局	3	_ReplaceFabaoOName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.3._hd.Ss.1	甲乙无上谱	3.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.4.Fabao.OName	黑布手帕	4	_ReplaceFabaoOName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.4._hd.Ss.1	碧光玄光帕	4.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.5.Fabao.OName	寒晶角料	5	_ReplaceFabaoOName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.5._hd.Ss.1	冰银引魂碎	5.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.6.m_sDesc	可以提高移动速度的符咒。	6	_ReplaceThingDesc
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.6._hd.Ss.1	轻身符	6.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.7.m_sDesc	可以提高移动速度的符咒。	7	_ReplaceThingDesc
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.7._hd.Ss.1	轻身符	7.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.8.m_sDesc	佩戴者可以提高法宝回灵倍率。	8	_ReplaceThingDesc
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.8._hd.Ss.1	灵剑符	8.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.293._hd.Ss.1	角色出生点	293.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.294._hd.Ss.1	逻辑点	294.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.295.ExDesc	天地共土	295	
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.295._hd.Ss.1	渊土神碑	295.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.296._hd.Ss.1	灵石栅栏	296.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.297._hd.Ss.1	灵石栅栏	297.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.298._hd.Ss.1	灵石栅栏	298.1	_ReplaceThingName
