房间	Room
仓库	Storage
蓝布休闲衣衫	Blue Fabric Casual Shirt
野猪皮休闲下裳	Boar Hide Casual Pants
紫布修行衣衫	Purple Fabric Sect Uniform
野猪皮修行下裳	Boar Hide Cultivator Pants
肉干	 Dried Meat
狼皮薄衣衫	Wolf Hide Thin Shirt
可以提高炼制法宝成功率的符咒。	Talisman used to improve success rate of artifact crafting.
太上通宝符	Talisman of Riches
熊皮香囊	Scented Sachet
戊己囊	Central Bag
垃圾	Rubbish
戊土屠神散	Grim God Slaughtering Powder
灵石墙	Spirit Stone Wall
灵石门	Spirit Stone Door
灵石床	Spirit Stone Bed
灵石灯笼	Spirit Stone Lantern
练功点	Training Spot
公兔子	Male Rabbit
雌龟	Female Turtle
雄龟	Male Turtle
雌青蛙	Female Frog
雄青蛙	Male Frog
钟离	Zhongli
舒	Shu
惊魂初定	
建立门派	Establish a Sect
和	He
慕容	Murong
碧彤	Bitong
<font color=MYCOLOR>田纨</font>在吃<font color=OBJCOLOR>熊胆</font>时，突然思绪万千。	
1天 08:46	1d 08:46
田	Tian
纨	Wan
博	Bo
冯	Feng
亦云	Yiyun
支	Zhi
飞扬	Feiyang
史	Shi
妍	Yan
保	Bao
越	Yue
婷	Ting
青青	Qingqing
左丘	Zuoqiu
半芹	Banqin
麻	Ma
紫文	Ziwen
赤脚蛇	No Shoes Snake
教学	
门	School
药物储量不足	Insufficient medicine reserves.	
存档写入完成	Game Saved	
钮影感到危险	
敌人出现	
田纨筑基成功	Tian Zhi succeeded in laying foundation.
钟离舒筑基成功	Zhong Lishu succeeded in laying foundation.
食物储量不足	Insufficient food reserves.	
化影诀	
太乙不朽神雷	
坤元秘要	
少量的	Slightly 
千钧	
混元式	
苍龙迅击密卷	
中量的	Visibly	
微草归祖神功	
甲乙鲸吞秘要	
紫云宫神视纪要	
大量的	Greatly 
天妖化血术	
忘情佛心记	
己土飞星咒	
麒麟不朽咒	
初解三花	
五台五气	
奠基要诀	
奠基经	
奠基密卷	
地龙奠基密卷	
天岭金刚经	
黄芽奠基秘册	
坤元金刚秘册	
鬼手	
入道鬼手宝册	
五戒合一册	
戊己合一记	
镇岳气摄	
地龙摄神记	
海量的	Massively	
玄关通慧秘法	
驱云诀	
阴神夺舍	Lesser Possession
形容之蚀	
形容返照	
血骨炼形	
龟息诀	
五感之蚀	
五感返照	
冥灵真法	
蛰命法	
献祭	Sacrifice Offering
神智之蚀	
神智返照	
鼎炉吸真术	
天魔解体大法	
欺天	
窃天	
阳神夺舍	Greater Possession
气运之蚀	
气运返照	
九幽返照	
浊之躯	
元坤妙法	
护体血罡	
凝血神盾	
伐毛洗髓之术	
偷天	
换日	
秘宝：偷天七绝针	
天道神丹	
天道神器	
冷月鲸吞秘法	
飞星诀	
彻法绝杀神雷	
五内流光咒	
镇神神雷	
曳影	
迅影式	
圆转决	
坤元剑	
坤元迅击	
五戒圆转十三式	
御气坤元	
赤日曳影	
天岭蓄神十式	
金丹圆转剑	
万里破灭秘要	
戊己圆转式	
决意	
己土摄神典	
坤元琢玉秘传	
己土沃野宝册	
镇岳归祖神功	
己土通慧记	
行疆琢玉秘传	
灵淬之法	
雷暴术	
灵犀咒	
武当四象诀	
混元十三式	
千钧秘诀	
蓄神十三式	
混元秘法	
气摄	
凌霄妙手通卷	
玄关神龟纪要	
霹雳妙手丹方	
蜀山通慧典	
庚金鲸吞神功	
搜魂大法	
赋灵术	
五内镇神神雷	
金刚真言	
不朽诀	
戊己流光真言	
行疆流光诀	
奠基宝典	
金刚	
行疆奠基宝典	
戊己金刚经	
天岭奠基密卷	
天岭金刚密卷	
气摄秘传	
长生多宝	
现在贤琢玉通卷	
新境摄神	
天岭多宝要诀	
三才琢玉	
玄机神佑册	
归真多宝纲要	
天魔化身术	
乙木陨星	
急诵秘法	
百炼	
真丹百炼	
长生摄神册	
苍莽百炼秘传	
醍醐灌顶之术	
慧剑斩念	
太上摄神记	
阴阳落花神雷	
金丹不朽真言	
碧光震地咒	
迅击要诀	
迅击秘法	
圆转剑诀	
长生迅影十三式	
乙木千钧十三式	
微草坤元七式	
紫薇曳影式	
玄关破灭宝典	
炎神殿圆转宝典	
饕餮宝典	
寒月妙手	
华山饕餮	
东海辟谷神功	
长生饕餮宝典	
御灵术	
他化自在大法	
入定之术	
余氏八极	
落花咒	
归源陨星神雷	
归藏卷	
壬癸妙手卷	
万古神功	
金丹神视纪要	
微草摄神宝典	
南海鬼手要诀	
忘情辟谷神功	
白帝宫决意	
摄神御鬼大法	
六壬神算	Astrological Foresight
化伤术	
真武录	
清心咒	
司南经	
洞心咒	
吸星掌	
玄牝重生法	
天枢诀	
天枢剑意	
秘宝：天枢剑	
天璇诀	
天璇剑意	
秘宝：天璇剑	
天玑诀	
天玑剑意	
秘宝：天玑剑	
天权诀	
天权剑意	
秘宝：天权剑	
玉衡诀	
玉衡剑意	
秘宝：玉衡剑	
开阳诀	
开阳剑意	
秘宝：开阳剑	
摇光诀	
摇光剑意	
秘宝：摇光剑	
劫心咒	
赦心咒	
北斗剑界	
星斗之眼	
北斗绝式-七星诀	
北斗绝式-北极剑	
北斗绝式-归一剑	
周天神算	Universal Foresight
天心正法	
长生佛心记	
