talk	notarget	int	string	float	thing
NotEat_Item_WuDang_HuangJingFen	I will not eat the Soil Essence Powder				
NotEat_Item_Dan_WuQiNoHunger2	I will not eat the Qi Fasting Pill				
NotEat_Item_Dan_SanHuaHuangJing	I will not eat the Trimerous Essence Pill				
WannaEat_Item_WuDang_HuangJingFen	I want to eat the Soil Essence Powder				
WannaEat_Item_Dan_WuQiNoHunger2	I want to eat the Qi Fasting Pill				
WannaEat_Item_Dan_SanHuaHuangJing	I want to eat the Trimerous Essence Pill				
DoTalkEat_Item_WuDang_HuangJingFen					I'm eating the Soil Essence Powder
DoTalkEat_Item_Dan_WuQiNoHunger2					I'm eating the Qi Fasting Pill
DoTalkEat_Item_Dan_SanHuaHuangJing					I'm eating the
CantEat_Item_WuDang_HuangJingFen	I cannot find a Soil Essence Powder				
CantEat_Item_Dan_WuQiNoHunger2	I cannot find a Qi Fasting Pill to eat				
CantEat_Item_Dan_SanHuaHuangJing	I cannot find a Trimerous Essence Pill to eat				
