熊皮薄衣衫	Bear Hide Thin Shirt
靛蓝布修行下裳	Indigo Fabric Cultivator Pants
狼皮薄衣衫	Wolf Hide Thin Shirt
熊皮休闲下裳	Bear Hide Casual Pants
紫布修行衣衫	Purple Fabric Sect Uniform
黄布薄下裳	Yellow Fabric Thin Pants
兔皮薄衣衫	Rabbit Hide Thin Shirt
狼皮修行下裳	Wolf Hide Cultivator Pants
可以提高视野范围，并提高历练时发现新地点的速度。	Talisman used to improve range of views, and reduce time spent discovering a new location in adventure.
松豪	
千里神视符	Talisman of Foreseer
母兔子	Female Rabbit
母狼	Female Wolf
雌蛇	Female Snake
母野猪	Female Boar
母鸡	Female Chicken
公鸡	Male Chicken
雄龟	Male Turtle
雌龟	Female Turtle
雄青蛙	Male Frog
雌青蛙	Female Frog
缠	Sinuous
碎	Shattered
仰	Yang
厚	Hou
致	Zhi
景	Jing
依白	Yibai
公	Gong
友菱	Youling
程	Cheng
雪青	Xueqing
胜	Sheng
贺	He
珊	Shan
毕	Bi
绍	Shao
<font color=MYCOLOR>轩辕士</font>踩到了什么东西。	
1天 10:07	1d 10:07
轩辕	Xuanyuan
士	Shi
兴业	Xingye
言	Yan
诗蕊	Shirui
食物储量不足	Insufficient food reserves.	
药物储量不足	Insufficient medicine reserves.	
存档写入完成	Game Saved	
松豪遇到瓶颈	Song Hao reached a limit.
化形镇神神雷	
丙火金刚真言	
奔烈覆天神雷	
天火飞星神雷	
奠基宝典	
少量的	Slightly 
奠基秘册	
奠基经	
金刚宝典	
五戒奠基秘法	
中量的	Visibly	
辟谷要诀	
微草佛心宝典	
黄芽合一册	
五内琢玉通卷	
凌霄决意神功	
大量的	Greatly 
奔烈合一要诀	
凌霄摄神	
海量的	Massively	
御木诀	
元坤妙法	
醍醐灌顶之术	
凌霄沃野密卷	
赋灵术	
五泉涤心法	
先天罡气	
化伤术	
天霖诀	
天一真法	
水镜观心定	
同风诀	
归海诀	
九阴真水界	
罡煞合流	
