ID	Values
	Total
1	Corvo Dourado Primordial | Besta da Maré | Pipa Etérea | Dragão Kármico | Pássaro da Ira | Nether Sombrio | Pássaro Sem Rosto | Caos
2	Ravina Ventosa | Mar de Nuvens | Pico Soberano | Planície Colossal | Cidade Imortal
3	Imperador da Serpente do Vazio Roxo da Selva Oriental | Naga Cabeça Grande do Mar Revolto | Gralha Caída da Planície Dourada | Bambu Ancião da Caverna Goldpond da Lei da Neve Negra
4	Verdade do Caos Primordial | Verdade do Yin-Yang | Verdade dos Cinco Elementos | Verdade do Assassinato
5	Fruto Sem Vida | Suco Dissipador de Deuses | Lótus Nirvana | Fruto da Causalidade
6	Vórtice da Reencarnação | Mar do Campo Estelar | Vale dos Ciclos | Mar da Infinidade
7	Cidade da Desolação | Paisagem Marinha | Costas do Rio | Vila Cauda de Cobra | Cidade da Abundância | Vila Lucian | Dunas | Cidade Galepeak | Cidade Sunstop | Vila Ratoon | Queda das Flores | Vila dos Juncos | Vila do Sul
8	Cidade da Desolação | Paisagem Marinha | Costas do Rio | Vila Cauda de Cobra | Cidade da Abundância | Vila Lucian | Dunas | Cidade Galepeak | Cidade Sunstop | Vila Ratoon | Queda das Flores | Vila dos Juncos | Vila do Sul | Mt. Sombrio do Sol | Mt. Kunlun | Pico Heavenstep | Mt. Lucian | Montanha Pata de Tigre | Mt. Shu | Mt. Nelumbo | Mt. Cem Insetos | Mt. Pedra Negra | Ilha da Reunião | Grande Deserto | Sul Selvagem | a Grande Terra da Neve | Planícies da Margem do Rio | Planícies Centrais | Caverna da Supremacia Clara | Precipício do Sombrio do Sol | Lago dos Cinco Dragões | Cume Imortal | Caverna do Dragão | Ravina Nimbus | Passagem Celeste | Poço do Wyvern | Penhasco da Fênix | Cachoeiras do Skypass | Floresta de Névoa | Penhasco de Jadestone | Caverna do Trovão | Caverna Brilhante | Caverna da Fonte de Gemas | Tumba do Ferreiro de Lâminas | Lago Celestial | Floresta Tropical Pearlwood | Caverna do Sino da Morte | Poço da Serpente | Caverna da Besta | Abismo | Floresta Millspine | Mares da Proteção | Lago do Dragão Venenoso | Templo da Daemonia | Terras Desérticas da Miragem | Ninho Flamejante | Palácio da Nuvem Roxa | Tumba do Navio | Ilha da Tartaruga | Grande Abismo | Cume do Oceano | Olho do Mar | Poço Desolado | Lago Tempestuoso | Pântanos Antigos | Tumba do Imperador Demônio | Vale Wrought do Vermes | Vale da Concha Skye | Lago de Jadestone | Planícies de Neve | Mt. Cassia | Montanha Rue | Mt. Alcance das Nuvens | Pico do Alquimista | Mt. Mesa | Mt. Lua Cheia | Mt. Árido | Mt. Tumba de Cobre | Ruínas de Taiyi | Praia Negra
9	Residência Sombrio do Sol | Palácio Kunlun | Palácio da Cúpula Celestial | Templo da Nuvem Roxa | Seita da Unidade Mística | Templo do Lótus Azul | Residência do Crepúsculo | Mt. Cem Insetos | Poço da Desgraça | Seita dos Sete Massacres | Seita Exultante | Templo da Daemonia
10	Dragão da Inundação | Phoenoxica | Dragão Tocha
11	Lótus Prismático | Fruto da Sabedoria | Essência Ocre | Vinha Encaracolada | Fruto Carmesim
12	Raiz do Espírito da Água: Lótus Prismático | Raiz do Espírito do Metal: Fruto da Sabedoria | Raiz do Espírito da Terra: Essência Ocre | Raiz do Espírito da Madeira: Vinha Encaracolada | Raiz do Espírito do Fogo: Fruto Carmesim
13	Touro Serpente | Amfitrião | Fênix Gralha
14	Cidade da Desolação | Paisagem Marinha | Costas do Rio | Vila Cauda de Cobra | Cidade da Abundância | Vila Lucian | Dunas | Cidade Galepeak | Cidade Sunstop | Vila Ratoon | Queda das Flores | Vila dos Juncos | Vila do Sul
15	Residência Sombrio do Sol | Palácio Kunlun | Palácio da Cúpula Celestial | Templo da Nuvem Roxa | Seita da Unidade Mística | Templo do Lótus Azul | Residência do Crepúsculo | Mt. Cem Insetos | Poço da Desgraça | Seita dos Sete Massacres | Seita Exultante | Templo da Daemonia
16	Mt. Cem Insetos | Poço da Desgraça | Seita dos Sete Massacres | Seita Exultante
17	Residência Sombrio do Sol | Palácio Kunlun | Templo da Nuvem Roxa | Seita da Unidade Mística | Templo do Lótus Azul | Residência do Crepúsculo
