阳鱼	Yang Fish
阴鱼	Yin Fish
阳眼	Yang Eye
阴眼	Yin Eye
蜚皮休闲衣衫	Fei Hide Casual Shirt
蜚皮薄下裳	Fei Hide Thin Pants
巧夺天工的神兵，融合制作者的心血与灵感而成。	
狂战	Wood Blade
梧桐神木	Phoenixwood
枝	 Branch
梧桐木角料	Phoenixwood Offcut
甲乙诛神钉	Eastern God Punishing Nail
观音土	Guanyin Clay
冲虚魔灵宝	Facing the Void Demon Numinous Treasure
狼皮	Wolf Hide
行疆千魂障	Trekking Thousand Souls  Barrier
天柱石	Holy Stone
坤元七魄镇	Earthbound Seven Souls Stone
垃圾	Rubbish
万里饮血渣	Marching Blood Draining  Dreg
佩戴者可以从根本上提高法术威力，法术灵气消耗。	Fundamentally increases the wearer's Spell Power and Qi Cost.
圣咒符	Sacredcurse Talisman
佩戴者可以从根本上提高法宝威力，并全面提高法宝能力。	Fundamentally increases the wearer's Artifact Power, and comprehensively improves Artifact abilities.
圣剑符	Sacredsword Talisman
提高饮气辟谷的效率。	Used to raise efficiency of Qi absorption and fasting.
饮气符	Talisman of Qi Absorption
可以提高炼制法宝成功率的符咒。	Talisman used to improve success rate of artifact crafting.
太上通宝符	Talisman of Riches
角色出生点	Born Point
逻辑点	Logci Point
天	Sky
法道	Law
通	Tong
刚	Gang
宗政	Zongzheng
秋灵	Qiuling
道法源流	Taoist Origin
紫霄清心咒	
华山落花诀	
丙丁开天咒	
多宝七星	
归真八极诀	
壬水七星	
丙丁飞星	
太上天星神雷	
御神化伤神雷	
腾岳震地诀	
太上通天诀	
本源回魂诀	
华山震地咒	
震雷天星神雷	
奔烈陨星	
嵩山清心	
麒麟落花	
凝光甘霖真言	
乙木落花神雷	
行疆镇神真言	
现在贤先天一气诀	
造化落花真言	
太上飞星诀	
紫薇流光咒	
吾成道太初，观无极二分，化天地万物，有感于心，开辟道法修行之路。本望生灵能超脱天地之锢…	I have got immortality when the time began, watched chaos sepreated, all things formed, created laws for cultivation. I meaned to make a way for livings to break the jail of heaven and earth.
然世间因修行超脱者寡，沉沦者众……流毒自吾而始…便由吾而终罢……	But there are faw ones who can detach, most ones being fallen...Since the toxic starts by me, it shall be ended by me.
