ItemName	Descript
Item_Dan_IncreaseLife3	In bottle, Prolongs life, Light yellow
Item_Dan_IncreaseLife4	In gourd, Prolongs life, Blue
Item_Dan_Ling2	Purple, Spherical, Foundation
Item_Dan_IncreaseLife5	Blue, Spherical, Heavenly Tribulation
Item_Dan_IncreaseNeckCountdown1	Gourd, Red, Heavenly Tribulation
Item_ParasolWood	Wood, Hard, Spirit Relic
Item_Dan_PracticeSpeed	Fire, Speed, In bottle
Item_Dan_Defense	Protection, Spherical, Orange
Item_CopperBlock1	Square, Fire, Spirit Relic
Item_Dan_CureHuoDamage	Spherical, Heals wound, Purple
Item_Dan_CureTuDamage	Spherical, Heals wound, Orange
Item_Dan_CureShuiDamage	Powder, Water, Blue
Item_Dan_CureMuDamage	Spherical, Cyan, Heals wound
Item_Dan_CureFiveElementDamage	In bottle, Heals wound, Orange
Item_EarthEssence_1	In gourd, Blue, Heals wound
Item_Dan_FiveBaseFromLife	Spherical, Purple, Reduces life
Item_Dan_DredgeQi	In bottle, Heals wound, Earth
Item_RedGinseng	Rootstock, Red, Foundation
Item_LingWood	Wood, Blue, Spirit Relic
Item_HardWood	Wood, Yellow
Item_Dan_PracticeRate	Small pellets, Metal, Limit
Item_Dan_IncreaseLife1	Prolongs life, In gourd, Wood
Item_Dan_IncreaseLife2	Prolongs life, Powder, Water
Item_BasePracticeDrug	Five Attributes, In bottle, Water
Item_LingMuXueJie	Stamina, Powder, Blue
Item_Dan_CalmDown	Mental State, Small pellets, Blue
Item_Dan_Happiness	Brown, Mental State, Small pellets
Item_Dan_FiveBase2	Five Attributes, Earth, In bottle
Item_Dan_FiveBase1	Five Attributes, In bottle, Golden
Item_Dan_FiveBase3	Fire, Five Attributes, In bottle
Item_Dan_FiveBase4	Wood, Five Attributes, In bottle
Item_Dan_FiveBase5	Water, Five Attributes, In bottle
Item_Dan_IncreaseNeckCountdown2	Powder, Heavenly Tribulation, Metal
Item_Dan_CureJinDamage	Case, White, Heals wound
Item_ShuiEssence	White, Spherical, Spiritual
Item_HuoEssence	Fire, Spherical, Spiritual
Item_JinEssence	Brown, Spherical, Spiritual
Item_MuEssence	Brown, Spiritual, Wood
Item_TuEssence	Brown, Earth, Spiritual
Item_LifeStream	Fluid, Prolongs life, Red
Item_EarthEssence	Fluid, Transparent, Foundation
Item_SkyStone	Rock, Spiritual, Earth
Item_StarEssence	Spiritual, Rock, Metal
Item_SoulPearl	Spiritual, Water, Spherical
Item_EarthEssence1	Foundation, Fluid, Red
Item_Dan_LongDan1	Blue, Spherical, Water
Item_Dan_FengDan1	Red, Spherical, Fire
