灵木锤	Marreta de Madeira Espiritual
青龙荡魔锤	Marreta Exorcizadora do Mal do Dragão Azul
猪妖的精肉	Carne Essencial do Demônio Porco
镇岳干	Essência Seca da Montanha Sagrada
妖兽的韧皮	Pele Resistente da Fera Demoníaca
麒麟无极革	Couro Infinito do Qilin
梧桐木锤	Marreta de Madeira de Parasol
甲乙庇世锤	Marreta Protetora do Mundo Jia-Yi
镇岳千光干	Essência Seca das Mil Luzes da Montanha Sagrada
腾岳罩	Barreira Ascendente da Montanha
火精锤	Marreta da Essência do Fogo
丙丁玄光锤	Marreta da Luz Misteriosa Bing-Ding
坤元天心干	Essência Seca do Coração Celestial de Kunyuan
麒麟炽魂障	Barreira da Alma Ardente do Qilin
