蜚皮修行衣衫	Fei Hide Sect Uniform
蜚皮薄下裳	Fei Hide Thin Pants
灵木弓	Spiritwood Bow
大理石	Marble
镇岳圭	Hill Fall  Stele
垃圾	Rubbish
己土散	Dismal  Poison
观音土	Guanyin Clay
麒麟魂灵宝	Kirin Soul Numinous Treasure
花布香囊	Scented Sachet
苍龙天心囊	Marinagon Heavenly Heart Bag
棉花	Cotton
青龙四象丝	Azuragon The Four Statues  Rope
万里圭	Marching  Boulder
可以提高视野范围，并提高历练时发现新地点的速度。	Talisman used to improve range of views, and reduce time spent discovering a new location in adventure.
千里神视符	Talisman of Foreseer
佩戴者可以从根本上提高法宝威力，并全面提高法宝能力。	Fundamentally increases the wearer's Artifact Power, and comprehensively improves Artifact abilities.
圣剑符	Sacredsword Talisman
佩戴者可以提高护体之力。	Increases the wearer's Protection.
玄甲符	Darkarmor Talisman
角色出生点	Born Point
逻辑点	Logic Point
灵石天水莲台	Spirit Stone Lotus Platform
汪	Wang
海安	Haian
冠	Guan
融	Rong
欣	Xin
曹	Cao
尘霜	Chenshuang
海之子	Son of the ocean
庚金燃灵神雷	
归真绝杀真言	
纵然掌握如此强大的力量，我依然能感到内心的怯懦和恐惧。故作凶恶的外表也无法欺骗自己……	Though I can manage such power, I can feel weak and horror in my heart. Try to wear a terrifying mask cannot cheat myself.
我真的很失败……不是么？但如果是在这里，那也没什么好怕的了！	I am really a loser! Am I? But if it is here, then there is nothing to fear!
