Key	Value
分享码错误或者召唤失败，请重新再试	Invalid Code or Summon fail, try again
请输入分享码	Enter Share code
拍卖功能还未激活	Auction function not yet activated
这一次拍卖还没开启	Auction has not yet begun
还有赎金没交,拍卖行拒绝了你	Money has not been submitted, the auction house rejected you.
[NAME]什么都不想做，还是离开这里吧。	[NAME] didn't want to do a thing but leave.
他们被吓跑了，奇观建设继续进行。	They were frightened off, and so wonder construction continues.
辩论旷日持久，最终也没有个结果，奇观建设被耽误了。	Debate dragged on, and so wonder construction was delayed.
他们骂了几句就走了，奇观建设继续进行。	They swore and left, and so wonder construction continues.
来的人越来越多，很多人甚至还对建筑设计评头论足，奇观建设被耽误了。	More and more came to critique the design, and so the consruction of the wonder was delayed.
他们居然还责备我们不领情，奇观建设继续进行。估计他们明天也不会来了。	They left, accusing us of being ungrateful, and wonder construction continued. They probably won't come tomorrow either.
他们说了好半天话，最终给了我们一朵纸做的红花，奇观建设被耽误了。	They talked for ages and gave us a badge made of paper, so the wonder construction was delayed.
{0}大显神通，召唤了大雨，灾难缓解了不少。	{0} performed a miracle, heavy rain was called forth, and the disaster relief was aided quite a bit.
我方赈灾进度增加了{0}。	Our relief progress increased {0}.
{0}大显神通，又减少了食物的产量，灾难加剧了。	{0} performed a miracle, food production decreased, and the disaster worsened.
赈灾需求提高了{0}。	Disaster Relief requirements increased {0}.
{1}发动神力，直达灾民心怀。我方赈灾进度增加了{0}。	{1} used extraordinary power to touch the hearts of the victims. Our relief progress increased {0}.
{0}大显神通，用土封住了洪水，灾难缓解了不少。	{0} performed a miracle, used earth to stop the flooding, and the disaster relief was aided quite a bit.
{0}大显神通，又招来一些洪水，灾难加剧了。	{0} performed a miracle, there was more flooding, and the disaster worsened.
{0}大显神通，加热了此地的空气，灾难缓解了不少。	{0} performed a miracle, the air heated up, and the disaster relief was aided quite a bit.
{0}大显神通，又降低了温度，灾难加剧了。	{0} performed a miracle, the temperature dropped even further, and the disaster worsened.
{0}大显神通，直接修复了一些人家的房屋，灾难缓解了不少。	{0} performed a miracle, restored some homes, and the disaster relief was aided quite a bit.
{0}大显神通，又发动了一次小地震，灾难加剧了。	{0} performed a miracle, there was another small earthquake, and the disaster worsened.
{0}只是将部分食物分给灾民。	{0} shared a portion of Food with the victims.
{0}想要安抚难民，但危机情况下嘴皮子还是不够实在。	{0} wanted to clam the refugees down, but word only go so far during a crisis.
{0}抓了一些难民，把食物强行给他们，只有少数人拿了食物。	{0} thrust Food at the refugees, but only a few took some.
{0}大张旗鼓地做了很多美食，放在路边，喊道：“加我们，食物免费拿！”因为在紧要关头，群众纷纷选择拿了食物。	{0} made a lot of delicious food, put in on the side of the road, and shouted: "Join us and the food's free! " Loads grabbed food due to the desperate times.
{0}想要动脑筋如何更快地赈灾，可时间不等人，白白错过了许多灾民	{0} stop and try to think about how to provide disaster relief quicker, yet the victims only piled up.
众人把食物一抢而空，许多难民都拿到了食物。	The crowd grabbed up all of the Food, many refugees managed to get some.
{0}准备将灵石分给灾民。	{0} prepared to give Spirit Stones to refugees.
但没人知道这是什么。	Yet no one knew what the glittering stones were.
{0}准备将木头分给灾民。	{0} prepared to give wood to refugees.
但没人需要这么大一根木棍。	No one needed such a large, wooden club though.
{0}准备将石料分给灾民。	{0} prepared to give Stone to refugees.
但没人需要这么大一块石头。	No one needed such a large Rock though.
{0}看了一眼众弟子，让他们分头去帮助灾民。	{0} sent the Disciples to help the refugees.
{0}只是将部分石料分给灾民。	{0} shared a portion of Stone with the victims.
{0}抓了一些难民，把赈灾石料强行给他们，只有少数人拿了石料。	{0} grabbed some refugees, thrust Stone at them, though only a few took some.
{0}将石料放在路边，向群众喊道：“成为我们的信徒即可免费领石料！”虽然看起来像趁火打劫，但群众也管不了那么多了。	{0} put Stone by the side of the road and shouted at the crowd: "Become a Follower and we'll give you Stone for free! " Everyone knew they were being taken advantage of, but they all wanted Stone.
虽然有人缺食物，但修建堤坝才是要紧的事情。	Some people don't have enough to eat, but dams are necessary.
但没人需要这些木头。	But no one needed the wood.
{0}号召弟子将石料直接用于修建防洪工程。	{0} called on the Disciples to use the Stone to build flood control structures.
{0}只是将部分赈灾木材分给灾民。	{0} gave a portion of the Wood to the refugees.
{0}抓了一些难民，把木材强行给他们，只有少数人拿了食物。	{0} grabbed some refugees, thrust Wood at them, though a few took Food.
{0}将木材摆上街头，说道：“只要加入我们，木材免费拿！”灾民实在冷得不行，拿了很多木头回家当柴了。	{0} put wood on the street and said: "If you join us, we'll give you some Wood for free! " The refugees were cold and took a load of wood back to use as firewood.
{0}准备将食物分给灾民。但他们并不缺食物。	{0} prepared to give Food to the refugees. They weren't lacking food though.
{0}将木材砍成柴火直接送到灾民手里。	{0} chopped the Wood up and gave it to the refugees to use as firewood.
但没人需要石头。	No one needed Rock though.
{0}号召弟子将石料直接用于重建群众的家园。	{0} called on the Disciples to use the Stone to rebuild the people's homes.
[NAME]仔细观摩了此建筑的模样。	[NAME] analyzed the building's architecture.
解锁：武当红墙。	Unlock: Wudang Red Wall
我们已经知晓了此物如何建造。	We already know about how to construct this.
解锁：%s	Unlocks: %s
[NAME]心灵虔诚地拜了拜，感受到了祝福。	[NAME] prayed sincerely and sensed a blessing.
一年一度的龙头香祭拜已经结束，请明年首日再来	Dragon Incense Ceremony is over this year. Please come again on the first day of the next year.
[NAME]贪婪地拜了拜，感受到了不祥的气息。	[NAME] prayed greedily and sensed an ominous air.
[NAME]的五维大幅降低了。	The five base properties of [NAME] is significantly decreased.
[NAME]想了想，还是算了。	[NAME] though it over and decided to forget it.
[NAME]脑海中出现了真武大帝年幼时参悟大道的景象。恍惚之间，身边多了一张神符，应该是真武神念所化。	[NAME] pictured how the young Perfected Warrior used to meditate and attain enlightenment. Then a talisman appeared all of a sudden, probably conjured up with the divine will.
其中已没有了回应。	There was no response.
[NAME]脑海中出现了真武大帝练习御剑的景象。恍惚之间，身边多了一柄飞剑，应该是真武神念所化。	[NAME] pictured how the young Perfected Warrior used to practice sword control. Then a sword appeared all of a sudden, probably conjured up with the divine will.
玄天	Nimbus
剑气锐利无比，神魔都无法抵挡。	The sword aura is so acute that even gods and demons can't defend again it.
[NAME]脑海中出现了真武大帝炼丹的景象。恍惚之间，身边多了一颗丹药，应该是真武神念所化。	[NAME] pictured how the young Perfected Warrior used to practice alchemy. Then an elixir appeared all of a sudden, probably conjured up with the divine will.
灵玉吸收了一些灵气，忽然化作一道青光飞向附近，一只玄武身形显露了出来。	The spiritual jade absorbed some Qi, before suddenly turning into a streak of blue light and flying nearby, revealing the shape of a Black Tortoise.
冥冥之中有一人对[NAME]说到：原来你就是有缘人！我的遗骨赐予你，希望你好好利用。	A disembodied voice spoke to [NAME]: ""So you're the lucky one! I'll leave my remains to you. Hope you'll make good use of it.""
冥冥之中有一人对[NAME]说到：故有宜果，其味如蜜。晾之檐上，以待佳期。此物味道甚好，分你一些。	A disembodied voice spoke to [NAME]: ""There's a fine fruit sweet as honey. Wait for its season, and we hang it above the eaves. Here, have some of these delectable fruits.""
冥冥之中有一人对[NAME]说到：以静制动，以柔克刚。你看起来有点悟性，这枚天道神丹助你修行。	A disembodied voice spoke to [NAME]: ""Counter motion with stillness, strength with flexibility. You're an intelligent cultivator. Take the Erudite Pill to better your training.""
冥冥之中有一丝回应，似乎想让[NAME]继续。	A disembodied voice responded, seemingly wishing for [NAME] to continue.
其中没有任何回应。	There was no response.
[NAME]靠近蕴灵树后感受其中玄妙，自身灵气运转更加流畅了。	[NAME] feel the mystery nearby the Illumitree, Qi flows more fluently。
[NAME]掳走了几个凡人。幸运的是，此事滴水不漏，无人察觉。	[NAME] had captured a few souls. Luckily, this is foolproof, no one's going to find out.
[NAME]掳走了几个凡人。不幸的是，此事走漏了风声，宣扬开来。	[NAME] had captured a few souls. Unfortunately, it looks like the cat's out of the bag on this one.
[NAME]掳走了几个凡人。不幸的是，此事走漏了风声，竟然被一伙正派人士知晓，竟然一路追索，找上门来。	[NAME] had captured a few souls. Unfortunately, it looks like the cat's out of the bag on this one. What's more, it's a bunch of decent people that know and they're not going to let up.
[SCHOOL]的弟子见到[NAME]，想起自家门派遭遇。虽有万般不满，但依然一脸笑容的上来拜见。	[SCHOOL]'S Disciples saw [NAME] and were reminded of what befell their Sect. Although resentful, they smiled and greeted our sect member.
[SCHOOL]的弟子见到[NAME]连忙上来拜见，[NAME]心情不错，顺手指点了这些晚辈一些修为上的事。分别时，[SCHOOL]的弟子恭敬的邀请你来他们门派做客。	The disciples of [SCHOOL] saw [NAME] and hurried on up to greet [ENHIM]. [NAME] was in a good mood and gave some advice to those less experienced. When departing, the disciples of [SCHOOL] respectfully invited [NAME] to pay a visit to their school.
[NAME]和[SCHOOL]的弟子热情的交谈，双方一起到附近有名的酒楼畅饮一番。临分别时，[SCHOOL]的弟子硬是送了你一些当地特产的礼物，并邀请你有空再来[SCHOOL]转转。	The ardent discussion between [NAME] and the disciples of [SCHOOL] led them to a famous restaurant nearby for a few drinks. As they were getting ready to part ways, the disciples of [SCHOOL] sent [NAME] away with some local specialties and welcomed [ENHIM] to come back to [SCHOOL] any time.
[NAME]和[SCHOOL]的弟子打了声招呼，大家在路边聊了聊修行界最近发生的趣事，并约好下次互相拜访。	[NAME] was greeted by the disciples of [SCHOOL] and they had a chat by the roadside about the latest goings on, and they even arranged when to pay a visit next time.
[NAME]对[SCHOOL]的弟子点头示意，对方看了[NAME]一眼，也点了点头。	[NAME] nodded to the disciples of [SCHOOL]. They looked at [NAME] and nodded back.
[SCHOOL]的弟子很愤怒，并放出狠话让[NAME]和他的宗门最近小心点。	The disciples of [SCHOOL] were enraged, they let loose with some harsh words that had made [NAME] and those close to them take care recently.
[SCHOOL]的弟子很诧异的看了[NAME]一眼，不知道为何他会说出这无礼的言论。	The disciples of [SCHOOL] looked on at [NAME] with astonishment, confounded as to why [ENHIM] would make such rude remarks.
[SCHOOL]的弟子冷笑两声，掏出法宝向[NAME]发起了攻击。[NAME]考虑身处敌人门派所在地，不欲恋战，施了个手法脱身而去。	The disciples of [SCHOOL] sneered and took out what appear to be artifacts and then attacked [NAME]. [NAME] realizes [IT] was in the enemy faction. As [IT] was not eager to fight, [IT] played a trick and escaped.
[SCHOOL]的弟子勃然大怒，掏出法宝准备动手，但似乎顾忌什么，最终留下狠话悻悻离开。	The disciples of [SCHOOL] flew into a rage and took out their artifacts, readying them. They seemed to have some misgivings though and in the end they left while spouting a few not so kind words.
[NAME]忙于赶路，匆匆离去了。	[NAME] was eager to get on the road and hurriedly made [ITS] way off.
[SCHOOL]的弟子上来跟[NAME]打了个招呼，却见[NAME]神色冷漠的匆匆离去，心中略有不满。	The disciples of [SCHOOL] made their way up and greeted [NAME], though upon seeing the cold look on [NAME]'s face and [ITS] hurried departure, they felt dissatisfied.
[SCHOOL]的弟子勃然大怒，祭出法宝斩向[NAME]。[NAME]以一对多，不慌不忙，施展出师门所传的剑法对敌。一时间天空剑气纵横。	The disciples of [SCHOOL] flew into a rage, whipped out their artifacts and swung them at [NAME]. [NAME] took on one too many, though unhurriedly, and showed them [ITS] swordsmanship. There was a flurry of swords for a spell.
[NAME]技高一筹，瞅准一个破绽，将对方领头的弟子一剑枭首，对方溃败，作鸟兽散。	[NAME]'s ability was a cut above the rest, [IT] found a flaw and took care of their leader's head in one swipe. Leaderless, the rest fled.
[SCHOOL]的弟子勃然大怒，祭出法宝斩向[NAME]。[NAME]也祭出法宝对敌，双方战作一团。	The disciples of [SCHOOL] flew into a rage, whipped out their artifacts and swung them at [NAME]. [NAME] whipped out an artifact and the two sides fought.
双方斗了几个回合，[NAME]感觉灵气不继，一时疏忽被对方破了法术。[NAME]慌乱中夺路逃窜，虽然中了对方两招，但顺利逃脱了性命。	They fought for many rounds. [NAME] felt a lapse of their Qi, and in a moment of carelessness, [ITS] spell was broken. [NAME] fled in confusion, although the enemy landed two blows on [ENHIM], [IT] was able to escape with [ITS] life intact.
[SCHOOL]的弟子勃然大怒，挥手放出七八道阴森森的剑光向[NAME]杀来。[NAME]以一对多，不慌不忙，施展出师门所传的剑法对敌。一时间天空剑气纵横。	The disciples of [SCHOOL] flew into a rage, there was a flash of swords, as if there was a forest of them, all coming to kill [NAME]. [NAME] took on one too many, though unhurriedly, and showed them [ITS] swordsmanship. There was a flurry of swords for a spell.
[SCHOOL]的弟子勃然大怒，挥手放出七八道阴森森的剑光向[NAME]杀来。[NAME]也祭出法宝对敌，双方战作一团。	The disciples of [SCHOOL] flew into a rage, there was a flash of swords, as if there was a forest of them, all coming to kill [NAME]. [NAME] whipped out an artifact and the two sides fought.
[SCHOOL]的弟子恨恨的看了看你，但摄于你的修为，并没有做什么过激的事。	The disciples of [SCHOOL] bitterly eyed [NAME], but they were taken aback by [ITS] ability and took no rash action.
[NAME]选择无视对面，可[SCHOOL]的几名弟子却冷笑一声，祭出法宝向[NAME]发动了猛烈的攻击。	[NAME] chose to ignore the other side, but some of the disciples of [SCHOOL] sneered, took out their artifacts, and launched a ferocious attack on [NAME].
[SCHOOL]的弟子看到[NAME]大怒，喊了一声魔头受死便结成阵势向[NAME]杀来。	The disciples of [SCHOOL] saw [NAME] and was in great rage, yelled and formed up to come seeking [NAME]'s head.
[NAME]狞笑一声，运起真力，一道匹练似的剑光纵横飞斩，转眼间就破了敌人的攻势，对面几人被一剑一个当了[NAME]的剑下亡魂。。	A hideous grin appeared on [NAME]'s face, with some real force, and a glinting flurry of strokes, the enemy was brought to heel in the blink of an eye as various members of the opposing side went to see their maker at [NAME]'s hands.
