ID	Secret	Title	Type	BeiZhu	Source	Txt	RelationEvidence	RelationMotivation
	对应的类型	内容	动机0参与者1证据2	备注				
1	1	Mysterious Figure	0		Evenfall Abode Elder - Gan Ming	According to Elder Gan Ming of the Evenfall Abode, the disciples of Mt. Hundred Insects suddenly started to keep a low profile at [desc_daytime=-20]. They seemed to be plotting to seize some treasure from a certain sect. And it was just around the time when Taiyi Sect was attacked. If this proved to be true, it could explain the involvement of Mt. Hundred Insects.	5	
2	1	Mysterious Figure	1		Evenfall Abode Elder - Yue Qingchou	According to Eldar Yue Qingchou of the Evenfall Abode, when doing some business overseas at [desc_daytime=-20], they saw huge flames coming out of Mt. FullMoon and came to investigate, only to discover that the whole area had been deployed a formation spanning a hundred miles. Unable to come any closer, the only thing they saw was golden light all over the sky from deep inside the circle. It was Poisons of Golden Cicada, a unique magic from Mt. Hundred Insects. If there is evidence to prove that what she said is truth, then Mt. Hundred Insects must be involved in the destruction of Taiyi.	3|4	1
3	1	Mysterious Figure	2		Evenfall Abode Disciple - Lin Siyuan	According to Lin Siyuan, a disciple of the Evenfall Abode, he once found an ancient Immortal Abode oversea with very powerful prohibition mechanisms. If it weren't for Elder Yue Qingchou coming to his rescue, he would have been killed then and there. And it was just around the time when Taiyi Sect was attacked. So it seems Elder Yue Qingchou was indeed just a bystander, not a murderer.		
4	1	Mysterious Figure	2		Evenfall Abode Elder - Ning Xiao	According to Elder Ning Xiao of the Evenfall Abode, Elder Yue Qingchou harbors a personal grudge against Mt. Hundred Insects, having fought them god know how many times in the past, and neither side could gain an advantage. Hence they are very familiar with Mt. Hundred Insects magic. Judging from this, Elder Yue Qingchou could not have got it wrong. It was indeed the disciples from Mt. Hundred Insects who took part in Taiyi's destruction.		
5	1	Mysterious Figure	2		Mt. Hundred Insects Disciple - Ba Han	According to Ba Han, a disciple of Mt. Hundred Insects, the elders in the sect went out together for some reason at [desc_daytime=-20]. When they came back, they walked straight into their Artifact Pavilion, as if having obtained something very valuable or important. Judging from this, it seems believable that Mt. Hundred Insects might have sent their elites to destroy Taiyi Sect for a certain treasure.		
6	2	Mystery of Taiyi	0	Hundred Insects	Mt. Hundred Insects Master - Qidiao Zhuo	According to Master Qidiao Zhuo of Mt. Hundred Insects, they obtained an ancient artifact called "Universe" at [desc_daytime=-20]. Disciples of Mt. Hundred Insects can used this artifact to create a Miniverse to carry around with them, which is very suitable for keeping Poisonous Golden Cicadas. Their wicked power of poison will feed back to them and greatly increase their cultivation.		
7	2	Mystery of Taiyi	0	Seven Slaughters	Seven-Slaughtering Sect Master - Chi Danqiu	According to Master Chi Danqiu of the Seven-Slaughtering Sect, she proudly mentioned that she devised a plan to destroy a certain sect at [desc_daytime=-20]. There was a deep hatred in her words, as if the destruction of said sect is something delightful. And that was exactly around the time when Taiyi Sect was destroyed. Is this a coincidence?		
8	2	Mystery of Taiyi	0	Exultant	Exultant Sect Master - Qing Yulan	When mentioned that a sect was destroyed in the southeast at [desc_daytime=-20], Master Qing Yulan of the Exultant Sect appeared to be quite knowledgeable on the matter. There was a deep hatred in her words, as if the destruction of said sect is something delightful. It makes you feel something is fishy.		
9	2	Mystery of Taiyi	0	Doom	Pit of Doom Master - Zhongli De	When mentioned that a sect was destroyed in the southeast at [desc_daytime=-20], a flash of fear and hatred appeared in the eyes of Master Zhongli De of Pit of Doom for a split second. They then pretended to not care about it, saying things like the weak deserved to be crushed. Very suspicious.		
10	2	Mystery of Taiyi	0	Purple Cloud	Purple Cloud Temple Master - Shentu Xi	When mentioned that a sect was destroyed in the southeast at [desc_daytime=-20], Master Shentu Xi of the Purple Cloud Temple became dodgy about the subject, with some kind of trepidation and fear, which is quite unusual.		
11	2	Mystery of Taiyi	0	True Unity	Mystic Unity Sect Master - Li Sunbo	When mentioned that a sect was destroyed in the southeast at [desc_daytime=-20], Master Li Sunbo of the Mystic Unity Sect glazed for a second before saying that he did not know. However, the momentary expression seemed to imply some kind of trepidation and fear, which is quite unusual.		
