ID	Flag	Desc	Txt	Pic	Link	Voice
ID	实装flag 无意义	Description: Has no practical effect	[Content]	说明图片	链接到帮助系统的位置	语音
1	1	Selecione um personagem pela primeira vez.	O Menu Personagem exibe a condição do personagem, por exemplo, [color=#D06508]Fome[/color] e [color=#D06508]Humor[/color]. O jogador também pode usar o [color=#D06508]botão de interação[/color] do Menu de Personagem para dar comandos diretamente ao personagem.	ui\Help2_en\001	21	m1
2	1	Clique nos comandos de coleta de recursos na parte inferior da tela pela primeira vez.	Os jogadores podem dar comandos para coletar recursos usando os comandos na parte inferior: [color=#D06508]Clique[/color] em um recurso uma vez para comandar um alvo para coletá-lo. [color=#D06508]Arraste[/color] sobre uma área para comandar o alvo para coletar os recursos naquela área.	ui\Help2_en\002	33	m2
3	1	Clique em explorar na parte inferior da tela pela primeira vez.	Use o comando explorar em uma área coberta de neblina, personagens que [color=#D06508]Caçar[/color] irão explorar a área. Observe que explorar consome mais [color=#D06508]Energia[/color], que só pode ser restaurada dormindo.	ui\Help2_en\003		m3
4	1	Selecione Planta/Item/Mineral, etc. pela primeira vez.	Depois de selecionar Item, o botão de interação pode ser usado na parte superior do menu Item para dar comandos de acordo. Os detalhes do item podem ser vistos passando o mouse sobre o item.	ui\Help2_en\004		m4
5	1	Abra o menu Trabalho pela primeira vez.	As tarefas dos discípulos externos podem ser organizadas no menu Trabalho. No menu de trabalho, a prioridade das tarefas desce da [color=#D06508]esquerda para a direita[/color], mas os jogadores podem selecionar um personagem e dar uma tarefa [color=#D06508]prioridade especial[/color]. O comportamento do discípulo interno não é restringido pelo menu de trabalho.	ui\Help2_en\005	31	m5
6	1	Abra o menu Seita pela primeira vez.	Quando um personagem termina o Treinamento da Fundação, ele se torna um discípulo interno e pode usar o Estabelecimento no menu da Seita. Usando o menu da seita, o jogador pode gerenciar a seita, acessar os dados da seita e outras operações.	ui\Help2_en\006	611	m6
7	1	Abra o menu Mundo pela primeira vez.	Após o término do Estabelecimento, os discípulos internos podem ser enviados para a Aventura usando este menu. Enquanto um personagem está em uma Aventura, ele pode encontrar uma Aventura Fortuita que pode ter vários benefícios, como aumentar sua reputação ou obter acesso a um Recurso raro.	ui\Help2_en\007	610	m7
8	1	Clique no botão Construir pela primeira vez.	As construções que podem ser construídas podem ser encontradas no menu Construir. A partir deste menu, a ordem de construção também pode ser fornecida. Conforme você progride no jogo, mais opções serão desbloqueadas. Observe que alguns edifícios exigem um [color=#D06508] ponto de construção [/color], certifique-se de deixar espaço para o ponto de construção ao escolher a localização da estrutura.	ui\Help2_en\008	41	m8
9	1	Construir um observatório pela primeira vez.	Você construiu um observatório, agora você pode verificar o Feng Shui usando o símbolo Yin Yang no canto inferior esquerdo. O Feng Shui afeta indiretamente todos os aspectos do jogo, por isso deve ser levado em consideração na construção da Seita.	ui\Help2_en\009	51	m9
10	1	Construa uma Plataforma de Artefatos pela primeira vez.	Você construiu uma Crafting Table. Agora você pode criar artefatos usando o botão de criação no Menu de Personagem do Discípulo Interno. Qualquer item pode ser usado para criar artefatos. Itens diferentes têm propriedades diferentes que influenciam as estatísticas do artefato que é criado.	ui\Help2_en\010	68	m10
