拜祖师	Venerar os Ancestrais
仓库	Armazém
房间	Quarto
木伐木斧	Machado de Lenhador
熊皮休闲衣衫	Camisa Casual de Couro de Urso
兔皮修行下裳	Calças de Cultivo de Couro de Coelho
牛皮休闲衣衫	Camisa Casual de Couro de Touro
靛蓝布休闲下裳	Calças Casuais de Tecido Índigo
巧夺天工的神兵，融合制作者的心血与灵感而成。	Arma divina de artesanato impecável, forjada a partir do esforço e da inspiração de seu criador.
饮血	Espada de Aço Negro
狼皮薄衣衫	Camisa Fina de Couro de Lobo
兔皮薄下裳	Calças Finas de Couro de Coelho
灵木锤	Maça de Madeira Espiritual
熊皮	Couro de Urso
万象赤血障	Barreira do Sangue Carmesim de Todos os Fenômenos
牛皮薄衣衫	Camisa Fina de Couro de Touro
蓝布休闲下裳	Calças Casuais de Tecido Azul
火铜锭	Lingote de Cobre Ígneo
炽凰天心镇	Torre do Coração Celestial em Chamas
书	Livro
碧光鬼书	Livro Fantasma Opalescente
靛蓝布休闲衣衫	Camisa Casual de Tecido Índigo
狼皮修行下裳	Calças de Cultivo de Couro de Lobo
寒精锤	Maça de Essência de Gelo
佩戴者可以提高御器技能等级。	Aumenta o nível da habilidade de Maestria em Artefatos do portador.
神剑符	Talismã da Espada Divina
莲藕	Raiz de Lótus
壬水炼心藕	Raiz de Lótus da Mente Refinada em Cascata
棕石砖	Bloco de Pedra Marrom
麒麟极光圭	Tabuleta da Aurora Kirin
虎皮薄衣衫	Camisa Fina de Couro de Tigre
红布薄下裳	Calças Finas de Tecido Vermelho
木锤	Maça de Madeira
黄布休闲衣衫	Camisa Casual de Tecido Amarelo
苍龙甲	Armadura Marinagon
癸水极光藕	Raiz de Lótus da Aurora Equável
蓝布修行衣衫	Uniforme da Seita de Tecido Azul
牛皮修行下裳	Calças de Cultivo de Couro de Touro
木环	Chakram de Madeira
垃圾	Lixo
镇岳五色毒	Pó Prismático da Queda da Colina
金丝灵木	Madeira Dourada
长生七魄木	Madeira das Sete Almas da Longevidade
黑布薄衣衫	Camisa Fina de Tecido Preto
麒麟磨骨碑	Tabuleta Kirin de Moer Ossos
虎皮厚制衣衫	Camisa de Inverno de Couro de Tigre
万里御	Roupas de Marcha
野猪皮修行衣衫	Uniforme da Seita de Couro de Javali
可以提高炎热抵抗的符咒。	Talismã usado para aumentar a resistência ao calor.
避暑符	Talismã de Resistência ao Calor
大理石砖	Bloco de Mármore
行疆落樱阙	Selo da Jornada das Flores de Cerejeira Caídas
香菇	Cogumelo
长生白骨菇	Cogumelo de Osso Branco da Longevidade
琴谱	Partitura
长生三清谱	Pergaminho da Tríplice Pureza da Longevidade
火精剑	Espada de Essência de Fogo
天火长青要诀	Instrução Eterna do Fogo Celestial
使头脑清明，提高学习能力。	Usado para clarear a mente e melhorar a capacidade de aprendizado.
文昌符	Talismã da Prosperidade Literária
铁矿石	Minério de Ferro
霹雳神圭	Estela Divina do Raio
棕石	Pedra Marrom
天府流光石	Estela do Tempo da Morada Celestial
熊皮薄衣衫	Camisa Fina de Couro de Urso
戊己降龙御	Armadura Central de Subjugar Dragões
花布薄衣衫	Camisa Fina de Tecido Estampado
寒晶弓	Arco de Cristal de Gelo
熊皮修行衣衫	Uniforme da Seita de Couro de Urso
花布修行下裳	Calças de Cultivo de Tecido Estampado
玄铁锤	Maça de Aço Negro
寒晶锭	Lingote de Cristal de Gelo
惊波磨骨珏	Selo Turquesa de Moer Ossos
三才大日枝	Estaca do Grande Sol dos Três Talentos
兔皮修行衣衫	Uniforme da Seita de Couro de Coelho
牛皮薄下裳	Calças Finas de Couro de Touro
佩戴者可以提高抵御水属性伤害之力。	Aumenta a resistência do portador a dano de Água.
水甲符	Talismã de Armadura Aquática
万里落影镇	Estela das Sombras Caídas da Marcha
木角料	Retalho de Madeira
青龙圣镖	Dardo Sagrado do Azuragon
蓝布薄衣衫	Camisa Fina de Tecido Azul
红布休闲下裳	Calças Casuais de Tecido Vermelho
棉花	Algodão
碧光白骨线	Linha de Osso Branco Opalescente
虎皮休闲下裳	Calças Casuais de Couro de Tigre
极光甲	Armadura da Aurora
黑布薄下裳	Calças Finas de Tecido Preto
棕石长枪	Lança de Pedra Marrom
兔皮	Couro de Coelho
镇岳恶魄障	Barreira da Alma Maligna da Queda da Colina
蛇蛋	Ovo de Cobra
坤元万魂珠	Orbe de Todas as Almas Vinculado à Terra
野猪皮薄下裳	Calças Finas de Couro de Javali
玄机气摄密卷	Pergaminho Secreto de Absorção de Qi Engenhosa
