拜祖师	Adorar os ancestrais
房间	Quarto
仓库	Armazém
木伐木斧	Machado de Madeira
熊皮休闲衣衫	Camisa Casual de Pele de Urso
兔皮修行下裳	Calças de Cultivador de Pele de Coelho
牛皮休闲衣衫	Camisa Casual de Pele de Touro
靛蓝布休闲下裳	Calças Casuais de Tecido Índigo
巧夺天工的神兵，融合制作者的心血与灵感而成。	Arma divina magistralmente forjada, unindo esforço e inspiração do criador.
饮血	Espada de Aço Sombrio
狼皮薄衣衫	Camisa Fina de Pele de Lobo
兔皮薄下裳	Calças Finas de Pele de Coelho
灵木锤	Machado de Madeira Espiritual
熊皮	Pele de Urso
万象赤血障	Barreira de Sangue Carmesim de Todos os Fenômenos
牛皮薄衣衫	Camisa Fina de Pele de Touro
蓝布休闲下裳	Calças Casuais de Tecido Azul
火铜锭	Barra de Cobre Ígneo
炽凰天心镇	Rocha do Coração Celestial Flamejante
书	Livro
碧光鬼书	Livro Fantasma de Luz Opalescente
靛蓝布休闲衣衫	Camisa Casual de Tecido Índigo
狼皮修行下裳	Calças de Cultivador de Pele de Lobo
寒精锤	Machado de Essência de Gelo
佩戴者可以提高御器技能等级。	Aumenta o nível da habilidade de Domínio de Artefatos do portador.
神剑符	Talismã da Espada Divina
莲藕	Raiz de Lótus
壬水炼心藕	Raiz de Lótus de Mente Refinada em Água Renshui
棕石砖	Bloco de Pedra Marrom
麒麟极光圭	Jade Dupla de Aurora do Quilin
虎皮薄衣衫	Camisa Fina de Pele de Tigre
红布薄下裳	Calças Finas de Tecido Vermelho
木锤	Machado de Madeira
黄布休闲衣衫	Camisa Casual
苍龙甲	Armadura de Dragão Azul
癸水极光藕	Raiz de Lótus de Aurora Equilibrada em Água Guishui
蓝布修行衣衫	Uniforme de Seita de Tecido Azul
牛皮修行下裳	Calças de Cultivador de Pele de Touro
木环	Chakram de Madeira
垃圾	Lixo
镇岳五色毒	Pó Prismático de Queda de Colina
金丝灵木	Madeira Espiritual Dourada
长生七魄木	Estaca das Sete Almas da Longevidade
黑布薄衣衫	Camisa Fina de Tecido Preto
麒麟磨骨碑	Estela de Moagem Óssea do Quilin
虎皮厚制衣衫	Casaco de Inverno
万里御	Túnica de Marcha
野猪皮修行衣衫	Uniforme de Seita de Pele de Javali
可以提高炎热抵抗的符咒。	Talismã usado para aumentar a resistência ao calor.
避暑符	Talismã Contra o Calor
大理石砖	Bloco de Mármore
行疆落樱阙	Dualjade de Fronteira e Queda de Flores de Cerejeira
香菇	Cogumelo
长生白骨菇	Cesta de Osso Branco da Longevidade
琴谱	Partitura
长生三清谱	Partitura dos Três Puros da Longevidade
火精剑	Espada de Essência de Fogo
天火长青要诀	Instrução Eterna do Fogo Celestial
使头脑清明，提高学习能力。	Usado para clarear a mente e melhorar a capacidade de aprendizado.
文昌符	Talismã da Prosperidade Civil
铁矿石	Minério de Ferro
霹雳神圭	Selo Divino do Trovão
棕石	Pedra Marrom
天府流光石	Rocha Temporal da Morada Celestial
熊皮薄衣衫	Camisa Fina
戊己降龙御	Vestimenta de Subjugação do Dragão Central
花布薄衣衫	Camisa Fina de Tecido Estampado
寒晶弓	Arco de Cristal de Gelo
熊皮修行衣衫	Uniforme de Seita de Pele de Urso
花布修行下裳	Calças de Cultivador de Tecido Estampado
玄铁锤	Machado de Aço Obscuro
寒晶锭	Barra de Cristal de Gelo
惊波磨骨珏	Estela de Moagem Óssea de Turquesa
三才大日枝	Galho do Grande Sol dos Três Talentos
兔皮修行衣衫	Uniforme de Seita de Pele de Coelho
牛皮薄下裳	Calças Finas de Pele de Touro
佩戴者可以提高抵御水属性伤害之力。	Aumenta a resistência do portador contra Dano de Água.
水甲符	Talismã de Armadura da Água
万里落影镇	Rocha das Sombras Caídas de Marcha
木角料	Retalho de Madeira
青龙圣镖	Dardo Sagrado do Dragão Azul
蓝布薄衣衫	Camisa Fina de Tecido Azul
红布休闲下裳	Calças Casuais de Tecido Vermelho
棉花	Algodão
碧光白骨线	Corda de Osso Branco de Luz Opalescente
虎皮休闲下裳	Calças Casuais
极光甲	Armadura de Aurora
黑布薄下裳	Calças Finas de Tecido Preto
棕石长枪	Lança de Pedra Marrom
兔皮	Pele de Coelho
镇岳恶魄障	Barreira da Alma Maligna da Queda de Colina
蛇蛋	Ovo de Cobra
坤元万魂珠	Germe das Mil Almas Terrestres
野猪皮薄下裳	Calças Finas de Pele de Javali
玄机气摄密卷	Rolo Secreto de Absorção de Qi Engenhoso
灰石砖	Bloco de Pedra Cinza
行疆天璇碑	Rocha Merak da Fronteira
白布清凉下裳	Calças de Verão
碧光乾坤御	Túnica Universal de Luz Opalescente
狼皮薄下裳	Calças Finas de Pele de Lobo
木弓	Arco de Madeira
狼皮	Pele de Lobo
坤元障	Barreira Terrestre
龟蛋	Ovo de Tartaruga
戊土荡魔蛋	Esfera Exorcizante do Solo Wutu
观音土	Argila Guanyin
天心庇世灵宝	Tesouro Numinosa do Coração Celestial Protetor do Mundo
莲花炼心菇	Cogumelo de Lótus da Mente Refinada
灵晶角料	Retalho de Cristal Espiritual
六合钉	Prego das Seis Direções
多宝琢玉秘传	Método Secreto de Polimento de Jade Duobao
己土阴魂罩	Barreira de Aparição Sombria do Solo Jitu
狼皮厚制衣衫	Casaco de Inverno
腾岳五行甲	Armadura dos Cinco Elementos da Montanha Ascendente
花布薄下裳	Calças Finas de Tecido Estampado
棕石锤	Machado de Pedra Marrom
木料	Madeira Serrada
苍龙五色柱	Coluna Prismática do Dragão Azul
地龙天璇灵宝	Tesouro Numinosa de Merak do Dragão Terrestre
