Jobp	Desc1	Desc2	Desc3	Desc4	Desc5	Fat1	Fat2	Fat3	Fat4	Fat5	Str1	Str2	Str3	Str4	Str5
EatShit	Eu jamais comeria fezes, a menos que me fossem servidas	Eu raramente como fezes	Eu ocasionalmente como fezes	Eu às vezes como fezes	Eu frequentemente como fezes										
EatEssence	Eu jamais comeria a Raiz Espiritual, a menos que me fosse servida	Eu raramente como a Raiz Espiritual	Eu ocasionalmente como a Raiz Espiritual	Eu às vezes como a Raiz Espiritual	Eu frequentemente como a Raiz Espiritual										
EatDrug	Eu jamais petiscaria meus Elixires, a menos que me fossem servidos	Eu raramente petiscaria meus Elixires	Eu ocasionalmente petiscaria meus Elixires	Eu às vezes petiscaria meus Elixires	Eu frequentemente petiscaria meus Elixires										
EatWheat	Eu só comeria Trigo se minha vida dependesse disso	Eu raramente como Trigo	Eu ocasionalmente como Trigo	Eu às vezes como Trigo	Eu frequentemente como Trigo										
EatDryMeat	Eu só comeria Carne Seca se minha vida dependesse disso	Eu raramente como Carne Seca	Eu ocasionalmente como Carne Seca	Eu às vezes como Carne Seca	Eu frequentemente como Carne Seca										
EatPear	Eu só comeria uma pera se minha vida dependesse disso	Eu raramente como peras	Eu ocasionalmente como peras	Eu às vezes como peras	Eu frequentemente como peras		
EatMeat	Eu só comeria Carne Crua se minha vida dependesse disso	Eu raramente como Carne Crua	Eu ocasionalmente como Carne Crua	Eu às vezes como Carne Crua	Eu frequentemente como Carne Crua										
EatCook	Eu jamais comeria Comida Cozida, nem que minha vida dependesse disso	Eu raramente como Comida Cozida	Eu ocasionalmente como Comida Cozida	Eu às vezes como Comida Cozida	Eu frequentemente como Comida Cozida										
EatWeight	Eu só como quando estou morrendo de fome	Eu como quando estou com muita fome	Eu vou comer algo quando estiver com fome	Eu como quando começo a sentir fome	Eu como quando fico até um pouco com fome	-1	-1	0	1	1					
BiteBuilding	Eu jamais atacaria edifícios	Eu raramente ataco edifícios	Eu ocasionalmente ataco edifícios	Eu às vezes ataco edifícios	Eu frequentemente ataco edifícios sem piedade										
BiteClothes	Eu jamais atacaria roupas	Eu raramente ataco roupas	Eu ocasionalmente ataco roupas	Eu às vezes ataco roupas	Eu frequentemente ataco roupas sem piedade										
BiteOuter	Eu jamais atacaria Discípulos Externos	Eu raramente ataco Discípulos Externos	Eu ocasionalmente ataco Discípulos Externos	Eu às vezes ataco Discípulos Externos	Eu frequentemente ataco Discípulos Externos sem piedade										
BiteInner	Eu jamais atacaria Discípulos Internos	Eu raramente ataco Discípulos Internos	Eu ocasionalmente ataco Discípulos Internos	Discípulo Interno ataca Discípulos Internos	Eu frequentemente ataco Discípulos Internos sem piedade										
BiteVisitor	Eu jamais atacaria visitantes	Eu raramente ataco visitantes	Eu ocasionalmente ataco visitantes	Eu às vezes ataco visitantes	Eu frequentemente ataco visitantes sem piedade										
BiteIncoming	Eu jamais atacaria convidados	Eu raramente ataco convidados	Eu ocasionalmente ataco convidados	Eu às vezes ataco convidados	Eu frequentemente ataco convidados sem piedade										
AtkEnemy	Eu jamais atacaria inimigos, a menos que eles tivessem dado o primeiro movimento	Eu raramente ataco inimigos	Eu ocasionalmente ataco inimigos	Eu às vezes ataco inimigos	Assim que o inimigo ataca, eu também ataco										
AtkDizzyOuter	Eu jamais atacaria Discípulos Externos inconscientes	Eu raramente ataco Discípulos Externos inconscientes	Eu ocasionalmente ataco Discípulos Externos inconscientes	Eu às vezes ataco Discípulos Externos inconscientes	Eu frequentemente ataco Discípulos Externos inconscientes										
